Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2021,1615.00,1631.00,1615.00,1625.40,1625.848625854296931801,41262,1845,67085766.00,12266,29.73,16.00,10.40
31-December-2020,1654.00,1654.00,1612.30,1618.40,1625.578281801647587461,46735,2554,75971401.00,8218,17.58,41.70,-35.60
30-December-2020,1619.75,1652.00,1600.00,1648.00,1624.931183972389410328,47518,2031,77213480.00,7387,15.55,52.00,28.25
29-December-2020,1639.00,1639.00,1606.65,1615.80,1618.546102606053523431,25671,1366,41549697.00,4600,17.92,32.35,-23.20
28-December-2020,1649.00,1649.00,1600.35,1621.25,1613.980137923173372848,35092,1777,56637791.00,6730,19.18,48.65,-27.75
24-December-2020,1685.30,1692.95,1600.20,1613.25,1643.812634241951744910,159693,10304,262505371.00,40743,25.51,92.75,-72.05
23-December-2020,1558.00,1585.50,1538.20,1579.65,1566.951983654009875702,29365,3233,46013545.00,5254,17.89,47.30,21.65
22-December-2020,1569.65,1588.10,1520.75,1564.35,1554.810427384690764125,44901,1701,69812543.00,5573,12.41,67.35,-5.30
21-December-2020,1650.00,1650.00,1490.00,1569.65,1585.762454675310405449,91010,7148,144320241.00,24276,26.67,160.00,-80.35
18-December-2020,1644.40,1654.55,1626.00,1649.35,1639.436177432290702696,32418,1822,53147242.00,9377,28.93,28.55,4.95
17-December-2020,1645.00,1659.90,1634.85,1639.00,1649.257420832644579309,42347,1721,69841104.00,5379,12.70,25.05,-6.00
16-December-2020,1640.00,1650.85,1625.00,1632.60,1633.875614719348821434,35382,1640,57809787.00,4324,12.22,25.85,-7.40
15-December-2020,1630.00,1638.50,1608.70,1634.35,1625.266347289074561801,44044,2701,71583231.00,12975,29.46,29.80,4.35
14-December-2020,1615.00,1629.60,1609.40,1615.15,1619.259570389581101651,35474,1785,57441614.00,6085,17.15,20.20,0.15
11-December-2020,1636.00,1649.00,1601.70,1607.45,1620.334578566425402755,55679,3347,90218609.00,13962,25.08,47.30,-28.55
10-December-2020,1628.00,1650.00,1619.05,1631.95,1632.013767564289493038,77501,4107,126482699.00,14102,18.20,30.95,3.95
9-December-2020,1692.10,1698.90,1653.10,1656.20,1666.723268580538163866,77783,4811,129642736.00,22481,28.90,45.80,-35.90
8-December-2020,1664.20,1700.60,1655.00,1685.60,1682.105875622472728218,76911,4200,129372445.00,10050,13.07,45.60,21.40
7-December-2020,1689.30,1689.30,1636.85,1660.05,1655.814956913002430548,49783,2979,82431436.00,8717,17.51,52.45,-29.25
4-December-2020,1724.00,1732.20,1655.00,1664.00,1682.860675783589538830,80144,4484,134871186.00,20268,25.29,77.20,-60.00
3-December-2020,1740.00,1742.25,1706.60,1717.35,1720.030837433624007404,20527,1375,35307073.00,4000,19.49,35.65,-22.65
2-December-2020,1747.00,1748.10,1701.80,1728.85,1726.318288245084487573,35449,2467,61196257.00,7469,21.07,46.30,-18.15
1-December-2020,1719.50,1788.05,1706.85,1747.45,1753.521315010782887807,79756,4797,139853846.00,8257,10.35,81.20,27.95
27-November-2020,1708.70,1719.60,1672.70,1703.25,1701.227216263112232825,101432,6010,172558879.00,28757,28.35,46.90,-5.45
26-November-2020,1650.05,1700.45,1650.05,1693.15,1674.474455785855640037,38404,2490,64306517.00,6913,18.00,50.40,43.10
25-November-2020,1708.70,1715.00,1660.95,1663.55,1690.412802170695609274,40540,2839,68529335.00,9890,24.40,54.05,-45.15
24-November-2020,1735.00,1739.10,1692.85,1696.70,1718.969031895461570886,35585,2493,61169513.00,7596,21.35,46.25,-38.30
23-November-2020,1710.00,1757.25,1692.00,1724.15,1735.277634408602150537,97650,6333,169449861.00,25758,26.38,65.25,14.15
20-November-2020,1680.00,1713.90,1680.00,1687.45,1693.645065650148242270,56664,3268,95968704.00,20538,36.25,33.90,7.45
19-November-2020,1685.00,1718.55,1667.75,1679.25,1699.411040758134854075,47696,3247,81055109.00,20330,42.62,50.80,-5.75
18-November-2020,1692.70,1708.60,1673.45,1684.65,1695.659904774066439243,54817,2736,92950989.00,18373,33.52,35.15,-8.05
17-November-2020,1658.00,1723.45,1658.00,1691.50,1704.080380645969999582,95732,3811,163135023.00,17479,18.26,65.45,33.50
14-November-2020,1690.00,1690.00,1658.55,1666.75,1669.843646623856781474,10278,401,17162653.00,3551,34.55,31.45,-23.25
13-November-2020,1653.50,1684.10,1653.50,1675.95,1667.792328752415718273,37256,1736,62135271.00,11464,30.77,30.60,22.45
12-November-2020,1677.00,1685.10,1653.00,1674.05,1672.573167854277759426,42382,2202,70886996.00,12577,29.68,32.10,-2.95
11-November-2020,1676.00,1679.80,1648.85,1670.80,1664.878713036512916360,29962,2228,49883096.00,7814,26.08,30.95,-5.20
10-November-2020,1678.50,1697.05,1647.95,1659.45,1675.305924216195422196,20796,1802,34839662.00,3947,18.98,49.10,-19.05
9-November-2020,1672.00,1681.95,1648.00,1668.75,1665.199525204940836084,26959,2123,44892114.00,4898,18.17,33.95,-3.25
6-November-2020,1705.00,1705.00,1649.20,1651.95,1668.738262243285939968,31650,1779,52815566.00,7529,23.79,55.80,-53.05
5-November-2020,1690.00,1703.20,1670.00,1699.35,1693.104719276053322954,51385,3087,87000186.00,20650,40.19,33.20,9.35
4-November-2020,1665.30,1681.70,1658.40,1675.95,1670.416082771265797917,45813,2878,76526772.00,14425,31.49,23.30,10.65
3-November-2020,1675.00,1688.10,1644.80,1661.50,1660.009413589953246535,47697,3568,79177469.00,19779,41.47,43.30,-13.50
2-November-2020,1660.00,1670.00,1631.05,1665.45,1656.827189145764527358,44812,2854,74245740.00,12056,26.90,38.95,5.45
30-October-2020,1658.80,1698.35,1623.45,1648.40,1663.816443103780245170,77905,4745,129619620.00,11598,14.89,74.90,-10.40
29-October-2020,1615.00,1658.00,1614.95,1653.30,1645.307278492286864512,56138,3462,92364260.00,7995,14.24,43.05,38.30
28-October-2020,1664.00,1679.90,1620.60,1640.10,1660.020195607752891463,50407,3900,83676638.00,14673,29.11,59.30,-23.90
27-October-2020,1599.40,1700.90,1583.95,1686.80,1657.774756352245040027,91936,6528,152409180.00,18817,20.47,116.95,87.40
26-October-2020,1604.00,1614.65,1575.10,1578.70,1594.709625156491641505,27158,1532,43309124.00,5841,21.51,39.55,-25.30
23-October-2020,1636.00,1636.00,1595.50,1604.20,1620.569977796381902231,27473,2113,44521919.00,4848,17.65,40.50,-31.80
22-October-2020,1615.00,1636.85,1604.80,1629.70,1621.246540235776524859,56579,3415,91728508.00,10234,18.09,32.05,14.70
21-October-2020,1591.95,1624.95,1582.00,1620.85,1599.143266351911561492,69472,4738,111095681.00,19744,28.42,42.95,28.90
20-October-2020,1579.95,1622.00,1561.75,1578.85,1585.660096419821386232,189795,11658,300950358.00,29086,15.32,60.25,-1.10
19-October-2020,1565.10,1574.00,1539.00,1562.80,1555.595839692499010796,53073,3247,82560138.00,10623,20.02,35.00,-2.30
16-October-2020,1523.00,1565.00,1513.20,1561.40,1541.751649670065986802,46676,2677,71962800.00,11579,24.81,51.80,38.40
