Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2021,484.70,507.50,483.00,503.50,495.504261091944658935,282322,4585,139891754.00,33278,11.79,24.50,18.80
31-December-2020,485.45,490.60,481.00,483.55,486.765298575156649036,214971,3973,104640423.00,63406,29.50,9.60,-1.90
30-December-2020,485.00,487.15,478.45,485.45,483.158271702448481367,111416,1917,53831562.00,13446,12.07,8.70,0.45
29-December-2020,485.00,489.70,464.45,483.00,478.894970648897350468,762663,5270,365235475.00,542936,71.19,25.25,-2.00
28-December-2020,480.05,492.85,480.05,483.75,487.244900984628156645,371003,5136,180769320.00,60041,16.18,12.80,3.70
24-December-2020,476.00,482.75,465.85,478.30,476.459937582515041673,297673,6910,141829259.00,110050,36.97,16.90,2.30
23-December-2020,463.55,476.60,462.95,471.40,470.812340923161587672,174444,2867,82130388.00,36394,20.86,13.65,7.85
22-December-2020,445.00,470.50,434.90,468.25,455.104358621085565027,278712,4933,126843046.00,52837,18.96,35.60,23.25
21-December-2020,461.90,467.00,427.60,444.20,459.906246844067538683,722845,5316,332440931.00,96073,13.29,39.40,-17.70
18-December-2020,467.85,472.75,458.50,463.10,463.514289293750873355,207533,3983,96194511.00,49447,23.83,14.25,-4.75
17-December-2020,476.00,478.50,466.05,467.85,470.551780344191453337,237426,3750,111721227.00,48960,20.62,12.45,-8.15
16-December-2020,478.00,480.25,473.30,475.55,476.267577677138271038,139552,2389,66464093.00,22117,15.85,6.95,-2.45
15-December-2020,465.35,479.90,461.65,475.55,474.596247289238275955,590240,13675,280125689.00,154243,26.13,18.25,10.20
14-December-2020,478.00,478.00,463.30,467.00,467.591969733085166270,197179,3228,92199317.00,23554,11.95,14.70,-11.00
11-December-2020,472.00,474.75,462.80,466.25,467.798998125525176135,154710,2692,72373183.00,25585,16.54,11.95,-5.75
10-December-2020,463.15,473.90,457.15,470.95,466.269619643716899374,180699,3261,84254454.00,36204,20.04,16.75,7.80
9-December-2020,465.55,469.80,458.30,463.15,464.908262647020243977,182968,2804,85063335.00,18704,10.22,11.50,-2.40
8-December-2020,473.50,475.15,457.75,463.10,464.088404788852316031,288921,5410,134084886.00,64507,22.33,17.40,-10.40
7-December-2020,460.25,474.90,460.00,471.45,469.121170479711454469,665129,10412,312026095.00,94554,14.22,14.90,11.20
