Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2021,123.70,124.80,123.45,123.60,124.031499202551834130,2508,125,311071.00,1289,51.40,1.35,-0.10
31-December-2020,123.85,126.45,123.25,123.95,124.747368898566503356,22044,623,2749931.00,12282,55.72,3.20,0.10
30-December-2020,120.85,123.05,119.65,121.80,120.579126730564430244,4695,149,566119.00,3152,67.14,3.40,0.95
29-December-2020,120.20,122.50,119.45,121.55,121.199692255086339545,5849,287,708897.00,1797,30.72,3.05,1.35
28-December-2020,120.10,121.50,117.80,120.50,119.660670788832677534,5337,265,638629.00,3784,70.90,3.70,0.40
24-December-2020,125.90,125.90,117.35,118.50,119.559636118598382749,5936,207,709706.00,3467,58.41,8.55,-7.40
23-December-2020,119.00,120.60,117.45,118.90,119.043451652386780905,13072,527,1556136.00,8422,64.43,3.15,-0.10
22-December-2020,115.00,118.40,108.30,117.05,114.093865968129229425,9162,362,1045328.00,5497,60.00,10.10,2.05
21-December-2020,126.55,127.45,113.05,115.55,120.332785268003946070,9123,364,1097796.00,5543,60.76,14.40,-11.00
18-December-2020,130.00,130.55,126.20,126.75,127.644335511982570806,11016,325,1406130.00,4981,45.22,4.35,-3.25
17-December-2020,125.05,129.00,125.05,125.60,127.021465452224865115,17237,704,2189469.00,11991,69.57,3.95,0.55
16-December-2020,128.10,128.35,125.50,125.80,126.625657559816731715,5893,311,746205.00,3674,62.35,2.85,-2.30
15-December-2020,131.60,132.00,126.85,127.25,129.008424908424908424,16380,397,2113158.00,7454,45.51,5.15,-4.35
14-December-2020,127.00,128.00,125.15,125.55,126.194436223734832790,3379,133,426411.00,2160,63.92,2.85,-1.45
11-December-2020,131.00,131.50,125.00,126.10,128.075882694282015801,22403,794,2869284.00,11660,52.05,6.50,-4.90
10-December-2020,123.15,130.45,123.15,128.95,127.323957546084842112,30433,1344,3874850.00,20699,68.01,7.30,5.80
9-December-2020,129.50,134.70,125.85,131.60,131.648332093912673961,112956,3223,14870469.00,57545,50.94,8.85,2.10
8-December-2020,126.80,127.20,120.50,123.65,123.653416149068322981,9660,344,1194492.00,5812,60.17,6.70,-3.15
7-December-2020,118.30,126.90,118.00,125.80,122.258435473948227722,21131,946,2583443.00,11744,55.58,8.90,7.50
4-December-2020,118.30,118.55,115.45,115.75,116.553160571566965366,4129,203,481248.00,2544,61.61,3.10,-2.55
3-December-2020,116.70,119.50,115.40,116.50,117.219859620148637489,4844,218,567813.00,2411,49.77,4.10,-0.20
2-December-2020,117.10,118.00,113.70,115.45,115.937849318131008271,8946,320,1037180.00,6589,73.65,4.30,-1.65
1-December-2020,116.35,118.90,116.10,117.05,117.383153064568993772,3051,146,358136.00,1640,53.75,2.80,0.70
27-November-2020,113.45,123.90,112.90,117.50,118.821856054717861029,64330,1544,7643810.00,30594,47.56,11.00,4.05
26-November-2020,117.70,117.70,111.00,114.70,114.888380603842634949,5465,197,627865.00,2498,45.71,6.70,-3.00
25-November-2020,115.00,115.00,111.70,114.20,114.098978911180666016,19489,688,2223675.00,12382,63.53,3.30,-0.80
24-November-2020,112.40,114.60,112.30,114.05,113.181444991789819376,1218,69,137855.00,903,74.14,2.30,1.65
23-November-2020,115.00,115.00,110.80,111.75,112.473970944309927360,6608,310,743228.00,4109,62.18,4.20,-3.25
20-November-2020,113.00,113.60,111.55,112.00,112.239679605668515095,1623,91,182165.00,1154,71.10,2.05,-1.00
19-November-2020,113.00,114.80,111.75,111.80,113.513801585132549877,3659,160,415347.00,2046,55.92,3.05,-1.20
18-November-2020,112.00,113.80,111.35,112.70,112.771762870514820592,6410,267,722867.00,4428,69.08,2.45,0.70
17-November-2020,118.00,118.00,111.95,112.50,113.119548872180451127,3990,194,451347.00,3476,87.12,6.05,-5.50
14-November-2020,108.10,115.00,108.10,114.55,114.239054525919957023,3723,145,425312.00,2883,77.44,6.90,6.45
13-November-2020,115.90,117.40,114.10,114.55,115.392697252228200599,24347,658,2809466.00,9342,38.37,3.30,-1.35
12-November-2020,110.45,114.70,109.65,111.95,111.910420886788206167,4443,275,497218.00,1795,40.40,5.05,1.50
11-November-2020,113.25,113.25,108.50,109.20,109.527498063516653756,2582,110,282800.00,1571,60.84,4.75,-4.05
10-November-2020,108.00,111.10,108.00,109.40,109.452971271153089334,10164,575,1112480.00,5792,56.99,3.10,1.40
9-November-2020,112.45,112.45,107.75,108.50,109.945260615818072046,4969,232,546318.00,3838,77.24,4.70,-3.95
6-November-2020,115.85,116.50,111.00,111.55,113.161057751660452828,40501,1476,4583136.00,23305,57.54,5.50,-4.30
5-November-2020,101.40,118.70,101.35,116.00,113.527505866179990993,84382,2752,9579678.00,45244,53.62,17.35,14.60
4-November-2020,97.00,101.65,97.00,100.55,100.079194808634617931,7551,307,755698.00,3622,47.97,4.65,3.55
3-November-2020,103.25,103.25,99.50,100.10,100.732553099263112267,2307,189,232390.00,1517,65.76,3.75,-3.15
2-November-2020,104.70,104.70,101.95,102.40,103.096215522771007055,1559,110,160727.00,1054,67.61,2.75,-2.30
30-October-2020,105.40,107.05,104.50,105.00,105.432909470487758587,5269,258,555526.00,2721,51.64,2.55,-0.40
29-October-2020,105.85,107.00,104.95,105.10,106.235944700460829493,1085,91,115266.00,768,70.78,2.05,-0.75
28-October-2020,108.15,108.15,105.85,106.00,106.481733220050977060,1177,83,125329.00,800,67.97,2.30,-2.15
27-October-2020,109.90,109.90,107.00,107.70,107.551031200423056583,3782,192,406758.00,3093,81.78,2.90,-2.20
26-October-2020,105.40,109.95,105.40,108.30,108.027013025458851391,13512,358,1459661.00,7691,56.92,4.55,2.90
23-October-2020,109.20,109.60,108.60,108.80,109.065082059988681380,3534,134,385436.00,2367,66.98,1.00,-0.40
22-October-2020,109.60,109.75,108.10,108.40,108.931277533039647577,3405,110,370911.00,2885,84.73,1.65,-1.20
21-October-2020,113.40,113.40,108.30,109.10,109.519739519739519739,2457,129,269090.00,1413,57.51,5.10,-4.30
20-October-2020,112.85,112.85,108.95,109.10,109.550665054413542926,4135,129,452992.00,3695,89.36,3.90,-3.75
19-October-2020,109.00,112.60,109.00,110.35,111.271544859316935055,11302,471,1257591.00,7691,68.05,3.60,1.35
16-October-2020,108.00,111.00,108.00,108.95,109.207818109293976864,7521,331,821352.00,3891,51.74,3.00,0.95
15-October-2020,111.90,111.90,108.50,108.70,109.652884294764921640,2999,157,328849.00,2187,72.92,3.40,-3.20
14-October-2020,113.70,114.00,111.45,111.75,112.262993467764839534,3521,129,395278.00,1996,56.69,2.55,-1.95
13-October-2020,115.00,115.00,111.10,111.90,112.086705202312138728,8650,371,969550.00,5513,63.73,3.90,-3.10
12-October-2020,116.95,116.95,111.85,112.45,113.009641458270563422,6638,301,750158.00,4935,74.34,5.10,-4.50
9-October-2020,115.10,116.00,113.25,114.25,114.913970210580380071,3894,212,447475.00,2105,54.06,2.75,-0.85
8-October-2020,114.40,114.40,112.40,112.80,113.216993131518697532,3931,186,445056.00,2865,72.88,2.00,-1.60
7-October-2020,114.20,115.60,113.45,113.60,114.385127635960044395,901,58,103061.00,465,51.61,2.15,-0.60
6-October-2020,113.60,116.55,113.60,114.95,115.217520858164481525,3356,177,386670.00,2674,79.68,2.95,1.35
5-October-2020,116.30,117.50,113.50,115.25,115.272783441458140253,6474,308,746276.00,4048,62.53,4.00,-1.05
1-October-2020,115.75,117.50,114.30,115.00,115.101509550215650030,6492,155,747239.00,3181,49.00,3.20,-0.75
30-September-2020,119.80,119.80,114.00,114.30,114.933979858261842596,2681,128,308138.00,968,36.11,5.80,-5.50
29-September-2020,119.60,120.35,114.30,115.35,117.614773396115361977,3398,126,399655.00,2107,62.01,6.05,-4.25
28-September-2020,120.00,120.00,116.15,117.25,117.472072072072072072,6660,329,782364.00,4002,60.09,3.85,-2.75
25-September-2020,116.85,117.15,111.60,114.20,114.080029189978107516,4111,159,468983.00,2591,63.03,5.55,-2.65
24-September-2020,105.30,114.05,105.30,110.55,111.494685767097966728,8656,467,965098.00,6331,73.14,8.75,5.25
23-September-2020,115.00,117.95,113.70,114.65,115.192270531400966183,5175,215,596120.00,3662,70.76,4.25,-0.35
22-September-2020,117.65,117.70,109.40,114.20,113.311652223059532780,21232,847,2405833.00,14409,67.86,8.30,-3.45
21-September-2020,126.00,129.40,116.00,117.50,121.186222896404033193,11207,593,1358134.00,6757,60.29,13.40,-8.50
18-September-2020,114.00,131.75,113.50,126.95,128.156874027662340430,93846,3240,12027010.00,32013,34.11,18.25,12.95
17-September-2020,113.95,116.60,113.95,114.85,115.474823137744486059,7209,267,832458.00,5745,79.69,2.65,0.90
16-September-2020,117.90,118.50,115.25,117.30,116.616872984500156038,9613,371,1121038.00,5671,58.99,3.25,-0.60
15-September-2020,118.15,118.15,116.30,117.05,116.781971830985915492,1775,82,207288.00,1195,67.32,1.85,-1.10
14-September-2020,116.75,119.00,115.30,117.05,117.354960127591706539,15675,511,1839539.00,10599,67.62,3.70,0.30
