Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2021,25.25,25.25,22.70,23.65,22.848333333333333333,600,12,13709.00,560,93.33,2.55,-1.60
31-December-2020,23.00,24.00,23.00,23.00,23.380000000000000000,1000,26,23380.00,988,98.80,1.00,0.00
30-December-2020,25.35,25.40,21.40,23.20,23.318799646954986760,5665,91,132101.00,3000,52.96,4.00,-2.15
29-December-2020,24.40,24.40,22.70,23.50,23.843933588761174968,3915,34,93349.00,3685,94.13,1.70,-0.90
28-December-2020,24.40,24.40,22.05,23.80,23.441467770742003572,6159,114,144376.00,4898,79.53,2.35,-0.60
24-December-2020,22.90,23.40,21.00,23.30,22.588436537803626411,2923,68,66026.00,2361,80.77,2.40,0.40
23-December-2020,21.00,21.50,19.00,21.50,21.072440944881889763,635,13,13381.00,587,92.44,2.50,0.50
22-December-2020,19.90,19.90,19.00,19.75,19.289610389610389610,770,29,14853.00,670,87.01,0.90,-0.15
21-December-2020,21.60,21.60,19.00,19.15,20.606060606060606060,5181,82,106760.00,4581,88.42,2.60,-2.45
18-December-2020,21.75,21.75,20.00,20.15,20.566953316953316953,3256,55,66966.00,1981,60.84,1.75,-1.60
16-December-2020,18.50,20.15,18.50,20.15,18.666666666666666666,63,3,1176.00,57,90.48,1.65,1.65
15-December-2020,20.30,20.30,20.30,20.30,20.300000000000000000,230,7,4669.00,230,100.00,0.00,0.00
14-December-2020,19.85,19.85,19.85,19.85,19.840000000000000000,50,5,992.00,50,100.00,0.00,0.00
10-December-2020,18.50,19.35,18.50,19.35,18.990253411306042884,513,46,9742.00,491,95.71,0.85,0.85
9-December-2020,18.30,19.40,18.30,18.45,18.511221945137157107,401,81,7423.00,393,98.00,1.10,0.15
8-December-2020,17.80,18.75,16.50,18.00,17.537139349294045426,1629,49,28568.00,1396,85.70,2.25,0.20
7-December-2020,16.55,17.95,16.55,17.90,17.400219298245614035,912,43,15869.00,669,73.36,1.40,1.35
4-December-2020,18.30,18.30,17.40,18.30,17.718750000000000000,32,4,567.00,32,100.00,0.90,0.00
3-December-2020,18.30,18.30,18.30,18.30,18.000000000000000000,2,1,36.00,2,100.00,0.00,0.00
2-December-2020,18.60,18.60,18.35,18.35,18.463276836158192090,177,3,3268.00,177,100.00,0.25,-0.25
1-December-2020,18.00,18.00,17.80,17.80,17.750000000000000000,4,2,71.00,2,50.00,0.20,-0.20
27-November-2020,16.05,17.25,16.05,17.20,17.193548387096774193,310,3,5330.00,310,100.00,1.20,1.15
26-November-2020,15.50,16.65,15.50,16.65,16.385080645161290322,496,16,8127.00,400,80.65,1.15,1.15
25-November-2020,15.50,16.20,15.50,16.20,15.540603248259860788,431,28,6698.00,406,94.20,0.70,0.70
24-November-2020,16.95,16.95,16.20,16.20,16.575609756097560975,410,21,6796.00,310,75.61,0.75,-0.75
17-November-2020,16.90,16.95,16.90,16.95,16.500000000000000000,2,2,33.00,1,50.00,0.05,0.05
13-November-2020,17.45,17.45,16.95,16.95,17.313043478260869565,115,5,1991.00,110,95.65,0.50,-0.50
12-November-2020,16.90,16.90,16.75,16.80,16.800000000000000000,5,3,84.00,3,60.00,0.15,-0.10
10-November-2020,16.90,16.90,16.90,16.90,16.000000000000000000,1,1,16.00,1,100.00,0.00,0.00
5-November-2020,17.20,17.20,17.20,17.20,17.000000000000000000,1,1,17.00,1,100.00,0.00,0.00
29-October-2020,17.25,17.25,15.70,17.20,16.250000000000000000,8,4,130.00,7,87.50,1.55,-0.05
28-October-2020,16.45,16.45,16.45,16.45,16.450000000000000000,1000,12,16450.00,1000,100.00,0.00,0.00
26-October-2020,17.15,18.00,17.10,17.30,17.222222222222222222,9,8,155.00,3,33.33,0.90,0.15
20-October-2020,18.00,18.00,18.00,18.00,18.000000000000000000,3,1,54.00,3,100.00,0.00,0.00
19-October-2020,18.35,18.35,18.35,18.35,18.000000000000000000,1,1,18.00,1,100.00,0.00,0.00
16-October-2020,17.65,17.65,17.65,17.65,17.000000000000000000,1,1,17.00,1,100.00,0.00,0.00
7-October-2020,17.00,17.00,17.00,17.00,17.000000000000000000,2,1,34.00,2,100.00,0.00,0.00
23-September-2020,17.30,17.30,15.80,17.10,16.065573770491803278,122,5,1960.00,101,82.79,1.50,-0.20
22-September-2020,16.65,16.65,16.55,16.55,16.600000000000000000,10,2,166.00,10,100.00,0.10,-0.10
21-September-2020,15.95,15.95,15.95,15.95,15.000000000000000000,1,1,15.00,1,100.00,0.00,0.00
18-September-2020,16.00,16.70,15.90,15.95,15.980716253443526170,363,23,5801.00,363,100.00,0.80,-0.05
14-September-2020,16.65,16.65,16.65,16.65,16.650000000000000000,100,1,1665.00,100,100.00,0.00,0.00
9-September-2020,16.65,16.65,16.65,16.65,16.649275362318840579,690,2,11488.00,690,100.00,0.00,0.00
8-September-2020,18.50,18.50,17.35,17.35,18.093023255813953488,43,2,778.00,28,65.12,1.15,-1.15
7-September-2020,18.10,19.45,18.05,18.05,18.073267326732673267,505,5,9127.00,501,99.21,1.40,-0.05
4-September-2020,18.95,19.05,18.95,19.00,18.996039603960396039,1010,5,19186.00,1010,100.00,0.10,0.05
31-August-2020,18.55,18.55,18.45,18.45,18.488000000000000000,250,5,4622.00,250,100.00,0.10,-0.10
28-August-2020,18.60,19.80,18.45,19.40,18.808910891089108910,1010,9,18997.00,500,49.50,1.35,0.80
27-August-2020,18.70,19.40,18.00,19.40,18.498796340876263842,2077,18,38422.00,1716,82.62,1.40,0.70
26-August-2020,19.50,19.50,18.65,18.65,19.287671232876712328,219,4,4224.00,219,100.00,0.85,-0.85
25-August-2020,17.85,19.60,17.85,19.30,19.069536423841059602,302,14,5759.00,292,96.69,1.75,1.45
24-August-2020,20.00,20.50,18.65,18.75,18.992987804878048780,3280,159,62297.00,2089,63.69,1.85,-1.25
21-August-2020,17.50,19.60,17.50,19.60,19.415372518183605268,5087,23,98766.00,4500,88.46,2.10,2.10
20-August-2020,16.85,17.85,16.85,17.85,17.553094832481544576,1761,141,30911.00,1250,70.98,1.00,1.00
19-August-2020,16.15,16.30,15.15,16.25,16.056188027910392948,2723,41,43721.00,2375,87.22,1.15,0.10
18-August-2020,16.90,16.90,15.25,16.00,15.786363636363636363,220,5,3473.00,150,68.18,1.65,-0.90
17-August-2020,17.00,17.00,14.55,16.05,15.176029962546816479,534,11,8104.00,474,88.76,2.45,-0.95
14-August-2020,14.75,16.00,14.75,15.90,15.231517509727626459,1028,6,15658.00,1000,97.28,1.25,1.15
13-August-2020,15.75,15.75,15.75,15.75,15.740000000000000000,50,1,787.00,50,100.00,0.00,0.00
