Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2021,8920.00,8957.95,8836.65,8874.50,8901.369330129167918293,6658,1645,59265317.00,1347,20.23,121.30,-45.50
31-December-2020,8999.95,9026.80,8845.00,8904.45,8926.532555596062705067,13715,2772,122427394.00,2426,17.69,181.80,-95.50
30-December-2020,8990.00,9016.50,8919.75,8959.45,8972.510790039963110974,16265,4416,145937888.00,3351,20.60,96.75,-30.55
29-December-2020,9050.00,9054.30,8900.00,8977.55,8977.991198144104803493,14656,3420,131581439.00,3288,22.43,154.30,-72.45
28-December-2020,9035.00,9114.90,8974.00,8996.65,9034.761946133796698523,8057,1818,72793077.00,1731,21.48,140.90,-38.35
24-December-2020,9140.00,9140.00,8966.45,8992.25,9027.802713902657024457,12307,2701,111105168.00,2455,19.95,173.55,-147.75
23-December-2020,8940.10,9143.75,8875.10,9010.15,9037.480054875474883917,18952,2235,171278322.00,2500,13.19,268.65,70.05
22-December-2020,8840.00,8968.55,8616.70,8937.30,8779.619296613791196359,39779,9381,349244476.00,11592,29.14,351.85,97.30
21-December-2020,9197.00,9240.75,8578.50,8847.90,8964.804757256985865596,27663,5855,247993394.00,5132,18.55,662.25,-349.10
18-December-2020,9250.00,9309.20,9128.95,9212.95,9220.078348729792147806,17320,3109,159691757.00,2112,12.19,180.25,-37.05
17-December-2020,9319.00,9398.95,9211.40,9290.65,9301.332347780882448502,30778,4380,286276407.00,5918,19.23,187.55,-28.35
16-December-2020,9370.00,9453.05,9211.70,9257.55,9320.995477921617308033,45112,6798,420488748.00,6536,14.49,241.35,-112.45
15-December-2020,8915.00,9332.95,8876.00,9301.85,9134.762231657473909765,50402,7190,460410286.00,8290,16.45,456.95,386.85
14-December-2020,9020.00,9060.00,8902.90,8930.80,8975.687311255566361263,19537,3702,175358003.00,6821,34.91,157.10,-89.20
11-December-2020,9026.00,9137.40,8951.35,8998.65,9053.007389738552920817,21381,3096,193562351.00,2570,12.02,186.05,-27.35
10-December-2020,8961.00,9073.30,8940.00,9026.50,9008.088143145582399220,14363,2677,129383170.00,3302,22.99,133.30,65.50
9-December-2020,8980.00,9078.30,8951.40,9008.30,9010.790832502944107256,11039,2248,99470120.00,1976,17.90,126.90,28.30
8-December-2020,9045.00,9081.60,8903.20,8967.05,8993.103779565959522067,20505,3509,184403593.00,2990,14.58,178.40,-77.95
7-December-2020,9097.00,9124.90,8959.20,9048.05,9043.683511103339744710,22876,4874,206883304.00,2782,12.16,165.70,-48.95
4-December-2020,9197.00,9239.60,8975.00,9048.75,9111.281326909078304273,28849,6037,262851355.00,4146,14.37,264.60,-148.25
3-December-2020,8845.00,9181.00,8813.05,9112.60,8999.452198022880686161,77183,14876,694604719.00,24097,31.22,367.95,267.60
2-December-2020,8795.00,8879.95,8671.85,8803.20,8783.230576804553529347,27583,5052,242267849.00,3642,13.20,208.10,8.20
1-December-2020,8815.00,8825.00,8720.00,8739.40,8765.463022508038585209,14617,3621,128124773.00,4752,32.51,105.00,-75.60
27-November-2020,8869.00,8935.15,8685.05,8755.20,8851.575314000738825267,43312,9638,383379430.00,8319,19.21,250.10,-113.80
26-November-2020,8759.90,8845.35,8666.90,8817.15,8748.905957611491793202,43927,11609,384313192.00,11010,25.06,178.45,57.25
25-November-2020,8949.00,9005.85,8647.60,8723.50,8862.373363949483352468,43550,9432,385956360.00,6179,14.19,358.25,-225.50
24-November-2020,8839.00,8899.60,8703.55,8859.45,8805.041856767170203657,81755,11480,719856197.00,39660,48.51,196.05,20.45
23-November-2020,8730.00,9100.00,8625.00,8773.45,8797.778497529578016854,96947,21630,852918232.00,21624,22.30,475.00,43.45
20-November-2020,7900.00,8585.00,7850.00,8536.50,8197.112689049110285728,247158,23700,2025981978.00,127638,51.64,735.00,636.50
19-November-2020,7800.00,8197.90,7752.15,7822.40,8021.079166537423617357,128956,22175,1034366285.00,19893,15.43,445.75,22.40
18-November-2020,7396.00,7849.75,7319.50,7778.25,7612.397695471088278960,76111,10605,579387201.00,9735,12.79,530.25,382.25
17-November-2020,7399.00,7399.45,7255.10,7364.70,7346.280828614957818859,43977,7170,323067392.00,8641,19.65,144.35,-34.30
14-November-2020,7360.00,7440.80,7250.00,7327.10,7365.124989828301733257,12289,2188,90510021.00,4142,33.70,190.80,-32.90
13-November-2020,7000.55,7299.00,6941.10,7257.80,7177.949104964580700155,68042,9379,488402013.00,8183,12.03,357.90,257.25
12-November-2020,6910.00,7057.10,6850.00,7024.55,6963.155245997873994510,63029,11570,438880712.00,17401,27.61,207.10,114.55
11-November-2020,6701.00,6981.10,6582.25,6950.60,6824.008410721236723572,71932,14212,490864573.00,11972,16.64,398.85,249.60
10-November-2020,6424.00,6731.15,6310.60,6686.95,6584.095986653826852391,73729,12748,485438813.00,14145,19.19,420.55,262.95
9-November-2020,6320.00,6440.85,6261.15,6282.45,6335.179380068101239161,28487,5793,180470255.00,4553,15.98,179.70,-37.55
6-November-2020,6000.05,6350.00,6000.05,6280.75,6240.638957844894957017,87012,17549,543010477.00,38085,43.77,349.95,280.70
5-November-2020,5899.95,6081.15,5850.00,6055.80,5980.848432477273512840,57862,12561,346063852.00,33265,57.49,231.15,155.85
4-November-2020,5743.00,5838.00,5717.95,5818.35,5779.930104351250246111,10158,2573,58712530.00,2475,24.36,120.05,75.35
3-November-2020,5725.00,5808.95,5698.30,5742.90,5764.400866133482345545,28633,6560,165052090.00,9901,34.58,110.65,17.90
2-November-2020,5605.00,5723.30,5563.45,5701.85,5653.188509339882414229,13437,2650,75961894.00,2518,18.74,159.85,96.85
30-October-2020,5672.00,5672.00,5514.85,5573.40,5571.386864564007421150,13475,2992,75074438.00,3007,22.32,157.15,-98.60
29-October-2020,5630.00,5689.65,5610.00,5621.30,5642.414165879017013232,16928,5059,95514787.00,4288,25.33,79.65,-8.70
28-October-2020,5660.00,5743.00,5605.90,5645.35,5677.558250927070457354,12944,2915,73490314.00,2473,19.11,137.10,-14.65
27-October-2020,5691.00,5808.95,5629.20,5665.20,5706.987385936661298980,37260,11035,212642350.00,10433,28.00,179.75,-25.80
26-October-2020,5872.00,5875.05,5646.90,5702.35,5721.055277415815101844,14581,4175,83418707.00,4832,33.14,228.15,-169.65
23-October-2020,5948.80,5964.30,5824.00,5830.15,5877.207667537517467646,16459,3100,96732961.00,3132,19.03,140.30,-118.65
22-October-2020,5830.00,6079.25,5830.00,5872.30,5972.823844369087988577,39221,10178,234260124.00,9059,23.10,249.25,42.30
21-October-2020,5970.00,6010.00,5738.15,5905.90,5905.797157717383341879,13651,3415,80620037.00,2200,16.12,271.85,-64.10
20-October-2020,6000.00,6025.00,5919.40,5950.45,5971.042923302835197108,8853,1776,52861643.00,1204,13.60,105.60,-49.55
19-October-2020,5980.00,6034.90,5925.00,5975.80,5987.685221433814533887,16348,4348,97886678.00,4895,29.94,109.90,-4.20
16-October-2020,5924.10,5979.00,5868.00,5952.75,5933.279710144927536231,20700,4654,122818890.00,3661,17.69,111.00,28.65
15-October-2020,6130.00,6165.00,5886.00,5900.45,6002.938959709686424118,21494,4595,129027170.00,4963,23.09,279.00,-229.55
14-October-2020,5850.10,6140.00,5850.10,6097.75,6003.589048527706065027,53454,12759,320915849.00,28432,53.19,289.90,247.65
13-October-2020,5910.00,5910.00,5827.95,5870.75,5867.108828006088280060,5256,1470,30837524.00,1511,28.75,82.05,-39.25
12-October-2020,5948.80,5998.00,5891.20,5909.45,5932.564397823172174461,12679,3401,75218984.00,3298,26.01,106.80,-39.35
9-October-2020,5860.00,6012.00,5860.00,5915.40,5936.310744731489895711,23109,6157,137182205.00,6923,29.96,152.00,55.40
8-October-2020,5915.00,6025.95,5852.75,5872.35,5931.059394389351434480,18857,4904,111841987.00,5001,26.52,173.20,-42.65
7-October-2020,5940.00,5940.00,5822.25,5907.60,5888.680168473877587597,11159,3182,65711782.00,1957,17.54,117.75,-32.40
6-October-2020,5960.00,6012.90,5893.25,5990.75,5964.717970357086344216,18959,3337,113085088.00,2835,14.95,119.65,30.75
5-October-2020,6100.00,6171.95,5861.25,5879.40,5974.880077583818232197,18045,4692,107816711.00,3896,21.59,310.70,-220.60
1-October-2020,5880.00,6100.00,5880.00,6052.90,6043.672010937111608252,16092,3668,97254770.00,4061,25.24,220.00,172.90
30-September-2020,5855.00,5928.00,5816.90,5851.00,5862.569343065693430656,21646,4096,126901176.00,2801,12.94,111.10,-4.00
29-September-2020,6032.00,6050.00,5831.85,5879.30,5908.658333333333333333,18240,3959,107773928.00,2587,14.18,218.15,-152.70
28-September-2020,5892.50,6041.65,5825.65,5981.00,5971.866355512550515111,17569,3766,104919720.00,3427,19.51,216.00,88.50
25-September-2020,5471.00,5897.20,5438.35,5798.80,5672.960213610691718391,35766,8645,202899095.00,9151,25.59,458.85,327.80
24-September-2020,5590.00,5590.05,5401.00,5427.20,5501.846210934278881833,24254,7007,133441778.00,7501,30.93,189.05,-162.80
23-September-2020,5743.90,5756.90,5556.00,5654.45,5654.413442126514131897,11888,2676,67219667.00,2134,17.95,200.90,-89.45
22-September-2020,5707.50,5759.00,5547.20,5682.05,5662.811364245510586974,18655,4270,105639746.00,3222,17.27,211.80,-25.45
21-September-2020,5880.00,5930.00,5630.75,5707.50,5779.148685930013068099,34435,9112,199004985.00,9498,27.58,299.25,-172.50
18-September-2020,6065.00,6065.00,5866.60,5891.25,5931.299860380195467726,18622,4727,110452666.00,5514,29.61,198.40,-173.75
17-September-2020,6111.00,6125.95,5991.00,6006.60,6038.331479584369969266,13666,3359,82519838.00,4725,34.57,134.95,-104.40
16-September-2020,6154.50,6230.00,6100.00,6143.60,6157.918319491939423546,20470,5892,126052588.00,9320,45.53,130.00,-10.90
15-September-2020,6125.00,6155.30,6031.25,6116.70,6096.794017534811758638,9695,2327,59108418.00,3069,31.66,124.05,-8.30
14-September-2020,6158.00,6185.05,6090.00,6106.50,6137.955315117060945045,16359,4657,100410811.00,4822,29.48,95.05,-51.50
11-September-2020,6132.00,6175.00,6077.30,6129.35,6118.214186102428468381,20795,4239,127228264.00,3801,18.28,97.70,-2.65
10-September-2020,6087.00,6190.00,6045.80,6132.20,6125.543573794875261983,14791,3114,90602915.00,1674,11.32,144.20,45.20
9-September-2020,6220.00,6220.00,5981.75,6026.05,6050.919730286892286548,23284,5157,140889615.00,7028,30.18,238.25,-193.95
8-September-2020,6270.00,6332.30,6217.00,6231.15,6281.420762517225539733,8708,1842,54698612.00,1621,18.62,115.30,-38.85
7-September-2020,6275.00,6342.20,6216.55,6262.80,6276.725534591194968553,7950,2325,49899968.00,1202,15.12,125.65,-12.20
4-September-2020,6270.00,6418.65,6207.00,6276.75,6302.784428559124967703,11611,2918,73181630.00,1746,15.04,211.65,6.75
3-September-2020,6397.00,6452.95,6300.00,6354.70,6384.285070288866480811,16859,4617,107632662.00,6579,39.02,152.95,-42.30
2-September-2020,6389.95,6413.30,6259.20,6366.65,6331.396965330168686954,11797,2375,74691490.00,1027,8.71,154.10,-23.30
1-September-2020,6267.00,6404.75,6166.65,6359.10,6278.577214418941037646,26271,4373,164944502.00,3812,14.51,238.10,92.10
31-August-2020,6597.00,6670.00,6136.00,6187.25,6328.602272727272727272,40304,7140,255067986.00,9362,23.23,534.00,-409.75
28-August-2020,6571.00,6646.55,6512.10,6544.20,6575.850508653719117452,15138,3112,99545225.00,2019,13.34,134.45,-26.80
27-August-2020,6590.00,6605.00,6490.00,6530.15,6539.553707985061355148,11246,2540,73543821.00,1875,16.67,115.00,-59.85
26-August-2020,6575.00,6699.00,6526.00,6559.20,6625.898917951776433500,58685,11316,388840878.00,16146,27.51,173.00,-15.80
25-August-2020,6445.00,6524.15,6403.55,6502.75,6471.027946791993621753,23831,3998,154211067.00,3128,13.13,120.60,57.75
24-August-2020,6320.00,6453.10,6295.30,6399.20,6381.770057766367137355,18696,3024,119313573.00,3676,19.66,157.80,79.20
21-August-2020,6335.00,6363.00,6263.00,6282.15,6323.067728306792330191,15385,3666,97280397.00,4646,30.20,100.00,-52.85
20-August-2020,6251.00,6315.00,6233.45,6291.85,6277.400162410899575927,11083,2031,69572426.00,1570,14.17,81.55,40.85
19-August-2020,6358.00,6423.05,6284.25,6298.50,6361.200713917082401513,23252,2665,147910639.00,11838,50.91,138.80,-59.50
18-August-2020,6270.00,6370.30,6244.00,6340.00,6309.778103044496487119,10248,2411,64662606.00,1568,15.30,126.30,70.00
17-August-2020,6250.00,6313.35,6201.45,6269.05,6250.019233543299514353,20797,4501,129981650.00,4489,21.58,111.90,19.05
14-August-2020,6390.00,6397.90,6194.35,6247.60,6292.105722167838391029,11237,2711,70704392.00,2268,20.18,203.55,-142.40
13-August-2020,6375.00,6430.00,6328.00,6348.95,6378.443822690366469168,18228,3991,116266274.00,4690,25.73,102.00,-26.05
12-August-2020,6400.00,6400.00,6311.30,6359.30,6358.818395277069636388,14906,3832,94784547.00,3666,24.59,88.70,-40.70
11-August-2020,6460.00,6494.30,6387.35,6441.05,6443.362863858253480383,11062,2389,71276480.00,1448,13.09,106.95,-18.95
10-August-2020,6480.00,6570.00,6368.45,6402.60,6472.264639317395489191,38441,7607,248800325.00,8063,20.98,201.55,-77.40
7-August-2020,6296.00,6499.50,6251.15,6469.20,6426.868511663940776448,23234,5026,149321863.00,4933,21.23,248.35,173.20
6-August-2020,6261.00,6366.00,6244.90,6293.00,6299.090823485098168463,21239,4181,133786390.00,3159,14.87,121.10,32.00
5-August-2020,6180.00,6343.75,6180.00,6241.85,6274.203193553201014773,33505,8296,210217178.00,7711,23.01,163.75,61.85
4-August-2020,6141.00,6224.90,6071.70,6163.95,6167.815591423297202631,21127,3579,130307440.00,3578,16.94,153.20,22.95
3-August-2020,6204.00,6207.55,5982.75,6072.60,6129.015506465003101293,20959,4575,128458036.00,4158,19.84,224.80,-131.40
