Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2021,1586.30,1592.80,1571.75,1573.65,1579.696295750791663598,13579,931,21450696.00,2246,16.54,21.05,-12.65
31-December-2020,1604.95,1604.95,1575.15,1578.85,1581.836151822623074032,18627,1066,29464862.00,3981,21.37,29.80,-26.10
30-December-2020,1584.00,1588.35,1570.00,1580.65,1577.200146112562870549,35589,958,56130976.00,2103,5.91,18.35,-3.35
29-December-2020,1608.35,1615.90,1576.90,1583.90,1590.989773267797685111,12614,1108,20068745.00,3789,30.04,39.00,-24.45
28-December-2020,1572.00,1616.00,1571.00,1608.35,1601.591458913055823726,52827,3867,84607272.00,18682,35.36,45.00,36.35
24-December-2020,1583.00,1590.70,1557.15,1568.45,1576.168581463182332281,16799,1400,26478056.00,4534,26.99,33.55,-14.55
23-December-2020,1534.85,1587.65,1522.15,1582.45,1566.641081363004172461,34512,2359,54067917.00,10802,31.30,65.50,47.60
22-December-2020,1503.00,1525.15,1461.90,1521.90,1497.937741586352625882,19403,1608,29064486.00,4849,24.99,63.25,18.90
21-December-2020,1586.80,1586.80,1467.50,1503.05,1540.041953143242612147,38543,3312,59357837.00,7582,19.67,119.30,-83.75
18-December-2020,1592.00,1600.00,1576.95,1583.20,1585.992402337742233159,32510,2788,51560613.00,9844,30.28,23.05,-8.80
17-December-2020,1600.00,1620.90,1582.45,1588.70,1601.803992029009179706,30611,2718,49032822.00,10824,35.36,38.45,-11.30
16-December-2020,1595.00,1623.25,1593.35,1610.50,1610.569453748249193106,32842,2983,52894322.00,10744,32.71,29.90,15.50
15-December-2020,1634.90,1645.00,1592.20,1606.90,1615.312831082424834119,55311,3235,89344568.00,8116,14.67,52.80,-28.00
14-December-2020,1570.00,1635.45,1552.15,1626.80,1606.604920862252579780,136155,5697,218747293.00,21137,15.52,83.30,56.80
11-December-2020,1559.00,1570.90,1543.85,1559.15,1559.056181246726034573,22908,2218,35714859.00,9061,39.55,27.05,0.15
10-December-2020,1568.00,1571.00,1546.60,1556.75,1557.022085530169888693,17070,1361,26578367.00,3120,18.28,24.40,-11.25
9-December-2020,1563.45,1579.85,1560.00,1567.30,1569.291829007298468967,18223,1459,28597205.00,4965,27.25,19.85,3.85
8-December-2020,1571.30,1578.40,1545.35,1563.45,1557.823192737115146047,35468,3327,55252873.00,13339,37.61,33.05,-7.85
