Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2021,36.30,39.00,36.00,38.70,37.643874787437944058,13137340,23865,494540382.00,7294102,55.52,3.00,2.40
31-December-2020,35.20,36.50,35.20,35.90,35.928035418250895180,5491632,10776,197303549.00,2554551,46.52,1.30,0.70
30-December-2020,36.70,36.70,35.00,35.40,35.524323300302209860,3330798,4880,118324345.00,912497,27.40,1.70,-1.30
29-December-2020,35.55,35.70,34.35,35.35,35.008763607440293619,2308296,3238,80810589.00,663550,28.75,1.35,-0.20
28-December-2020,33.85,35.50,33.85,35.20,34.798756302718125492,3751556,7768,130549483.00,1867791,49.79,1.65,1.35
24-December-2020,34.35,34.50,33.60,33.80,34.071354871675347144,2231060,5430,76015237.00,806680,36.16,0.90,-0.55
23-December-2020,32.75,34.15,32.30,33.95,33.400574947838746251,3279254,7161,109528969.00,1047740,31.95,1.85,1.20
22-December-2020,32.50,33.30,30.60,32.65,31.799287071098828405,7059610,13547,224490565.00,2334148,33.06,2.70,0.15
21-December-2020,35.40,35.70,32.00,32.60,33.761293297274929570,6684341,14406,225671997.00,2161308,32.33,3.70,-2.80
18-December-2020,35.85,36.15,34.55,35.85,35.361748618147660956,4376553,6393,154762567.00,1314996,30.05,1.60,0.00
17-December-2020,36.45,36.80,35.70,35.85,36.271409985946767267,2146837,3445,77868805.00,531868,24.77,1.10,-0.60
16-December-2020,36.45,36.95,36.10,36.30,36.516831946201829418,3222117,5645,117661505.00,1380779,42.85,0.85,-0.15
15-December-2020,36.85,36.85,35.70,36.35,36.151526852613898664,4552797,6690,164590563.00,1253436,27.53,1.15,-0.50
14-December-2020,36.40,37.25,35.85,36.85,36.496981275449458559,5119215,8112,186835894.00,2417832,47.23,1.40,0.45
11-December-2020,35.60,36.95,35.45,35.95,36.172816848892585211,4712191,7773,170453222.00,1494166,31.71,1.50,0.35
10-December-2020,36.55,36.65,34.70,35.70,35.746670702697585279,6422151,4211,229570517.00,892246,13.89,1.95,-0.85
9-December-2020,36.95,37.60,36.30,36.55,36.921244455099587752,6974201,12295,257496180.00,2437979,34.96,1.30,-0.40
8-December-2020,35.30,36.75,34.10,36.20,35.396639203595241494,4798565,5577,169853074.00,1149079,23.95,2.65,0.90
7-December-2020,34.40,35.30,34.25,34.95,34.932085729105239358,4871951,8313,170187410.00,2436163,50.00,1.05,0.55
4-December-2020,34.50,35.40,33.75,34.25,34.544914609102067793,3389120,4559,117076861.00,903738,26.67,1.65,-0.25
3-December-2020,34.05,34.80,34.05,34.15,34.294217797272897423,4707047,7884,161424495.00,1829416,38.87,0.75,0.10
2-December-2020,34.25,34.50,33.05,33.80,33.882767082656283287,4370061,9406,148069759.00,1683234,38.52,1.45,-0.45
1-December-2020,33.25,34.40,32.85,34.05,33.471911031266910288,5135557,10717,171896907.00,2727599,53.11,1.55,0.80
27-November-2020,31.50,33.45,31.50,32.85,32.855941206064276676,8658444,16917,284481327.00,4160492,48.05,1.95,1.35
26-November-2020,30.95,31.60,30.60,31.45,31.004678986069310181,6295381,7867,195186267.00,1804093,28.66,1.00,0.50
25-November-2020,31.50,31.90,30.35,30.65,31.091569371488640260,2496184,3535,77610278.00,937782,37.57,1.55,-0.85
24-November-2020,31.65,31.90,30.70,31.30,31.364035174009616228,6963437,11710,218401483.00,2416237,34.70,1.20,-0.35
23-November-2020,29.50,31.50,29.25,31.35,30.544365136105751838,10108647,17493,308762205.00,4799007,47.47,2.25,1.85
20-November-2020,29.45,29.70,28.65,29.20,29.173472718061656088,3195759,6657,93231388.00,1137535,35.60,1.05,-0.25
19-November-2020,28.35,30.15,28.20,29.15,29.167730188354021914,6857406,13138,200014968.00,2616187,38.15,1.95,0.80
18-November-2020,28.25,28.60,28.10,28.50,28.324365940610596973,2682162,4863,75970538.00,1233786,46.00,0.50,0.25
17-November-2020,28.50,28.60,28.10,28.25,28.319761986666617347,1622094,4645,45937316.00,851905,52.52,0.50,-0.25
14-November-2020,28.20,28.40,28.20,28.30,28.299672220649898334,498201,2422,14098925.00,421731,84.65,0.20,0.10
13-November-2020,28.10,28.10,27.80,28.00,27.983678985731750981,1078058,3654,30168029.00,416816,38.66,0.30,-0.10
12-November-2020,27.85,28.45,27.85,28.10,28.188481622483702402,2177008,4787,61366550.00,1131073,51.96,0.60,0.25
11-November-2020,28.20,29.25,27.70,27.95,28.304315168694153055,4401427,7898,124579377.00,939712,21.35,1.55,-0.25
10-November-2020,28.10,28.40,27.80,28.20,28.144773886897561998,2299137,5333,64708691.00,811282,35.29,0.60,0.10
9-November-2020,27.55,28.40,27.45,28.20,27.871342575713628235,3220094,6512,89748343.00,1036752,32.20,0.95,0.65
6-November-2020,28.65,28.90,27.80,27.95,28.272555773720958146,1324683,2519,37452174.00,512163,38.66,1.10,-0.70
5-November-2020,27.20,29.15,27.20,28.35,28.253173278725027122,3377264,7220,95418425.00,1270125,37.61,1.95,1.15
4-November-2020,27.95,28.00,26.95,27.20,27.552300567241180169,3740208,8558,103051335.00,1347984,36.04,1.05,-0.75
3-November-2020,27.85,28.20,27.65,27.95,27.907093853680481358,1066980,3628,29776311.00,389018,36.46,0.55,0.10
2-November-2020,28.10,28.35,27.50,27.85,27.894528806012553580,1288238,5479,35934792.00,394777,30.64,0.85,-0.25
30-October-2020,28.00,28.40,27.35,28.00,27.878512525303484947,1593654,4542,44428703.00,410895,25.78,1.05,0.00
29-October-2020,28.05,28.40,27.45,27.85,27.902319883656437109,1373862,6821,38333937.00,518580,37.75,0.95,-0.20
28-October-2020,29.70,29.70,28.45,28.65,29.039218986028136056,748719,3931,21742215.00,235849,31.50,1.25,-1.05
27-October-2020,29.30,30.40,28.65,29.60,29.449234864034385457,2485702,6610,73202022.00,925539,37.23,1.75,0.30
26-October-2020,29.25,30.25,29.20,29.45,29.713810309164753325,3339708,5960,99235450.00,1101457,32.98,1.05,0.20
23-October-2020,28.85,29.40,28.85,29.10,29.198772072239110145,1283626,3759,37480303.00,582528,45.38,0.55,0.25
22-October-2020,28.10,29.00,27.95,28.80,28.557663759007422658,1015135,4654,28989884.00,417966,41.17,1.05,0.70
21-October-2020,28.60,29.10,28.05,28.50,28.558686143290640853,1373544,5077,39226612.00,455113,33.13,1.05,-0.10
20-October-2020,28.50,29.25,28.20,28.65,28.737722478632072493,1473119,5276,42334085.00,531830,36.10,1.05,0.15
19-October-2020,27.30,28.85,27.15,28.70,27.987916540141871910,1827705,5429,51153655.00,773075,42.30,1.70,1.40
16-October-2020,27.20,27.45,26.75,27.20,27.084878693536957266,1381501,7151,37417787.00,496924,35.97,0.70,0.00
15-October-2020,27.95,27.95,27.00,27.15,27.473671912317166057,1549220,7846,42562762.00,635013,40.99,0.95,-0.80
14-October-2020,28.05,28.20,27.60,27.95,27.901999398421139254,704812,4740,19665664.00,254292,36.08,0.60,-0.10
13-October-2020,28.45,28.60,28.10,28.30,28.314569319999886330,1407588,4821,39855248.00,581915,41.34,0.50,-0.15
12-October-2020,29.25,29.30,28.55,28.65,28.782659150189022906,2310302,5239,66496635.00,1317043,57.01,0.75,-0.60
