Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2021,382.00,384.00,380.95,381.95,382.549341670173750976,83165,1310,31814716.00,21295,25.61,3.05,-0.05
31-December-2020,383.95,384.50,379.55,380.95,381.257258087859286203,103643,1618,39514646.00,35163,33.93,4.95,-3.00
30-December-2020,381.50,384.00,378.70,382.75,381.172870276752333701,212645,3908,81054505.00,89453,42.07,5.30,1.25
29-December-2020,382.70,385.50,377.75,381.85,380.834111980179099756,151759,2068,57795004.00,57796,38.08,7.75,-0.85
28-December-2020,380.00,384.50,378.70,382.70,382.072266651100344404,222703,2794,85088640.00,57758,25.93,5.80,2.70
24-December-2020,377.25,381.00,375.65,377.40,378.496653908868556934,353248,6397,133703186.00,112537,31.86,5.35,0.15
23-December-2020,373.95,377.25,369.60,374.40,374.014571189202755870,282887,5645,105803860.00,92551,32.72,7.65,0.45
22-December-2020,365.10,374.55,357.00,372.90,365.799178654889852634,365011,7371,133520724.00,98614,27.02,17.55,7.80
21-December-2020,393.50,393.50,357.65,367.25,376.703816574920937465,843636,18416,317800901.00,304879,36.14,35.85,-26.25
18-December-2020,398.95,399.00,389.50,394.00,393.666411366584866436,319885,6131,125927980.00,86312,26.98,9.50,-4.95
17-December-2020,402.00,402.80,394.50,395.55,398.463177976532370558,194992,3084,77697132.00,63691,32.66,8.30,-6.45
16-December-2020,403.00,406.00,398.25,399.50,401.406331921243184408,391382,6369,157103213.00,140870,35.99,7.75,-3.50
15-December-2020,406.70,409.00,397.20,398.70,400.727172490013246811,387263,6797,155186807.00,109467,28.27,11.80,-8.00
14-December-2020,400.50,406.85,398.80,405.75,404.154927891091302031,501117,5368,202528905.00,125457,25.04,8.05,5.25
11-December-2020,401.00,407.20,392.10,397.25,402.608800743343445593,812545,14173,327137768.00,232683,28.64,15.10,-3.75
10-December-2020,394.00,401.30,387.00,399.30,394.802032906021381757,433173,7462,171017581.00,190202,43.91,14.30,5.30
9-December-2020,391.00,398.55,391.00,395.20,395.209176351980357004,491982,7707,194435801.00,235072,47.78,7.55,4.20
8-December-2020,398.80,398.80,389.45,390.55,392.887256472029968388,143618,2313,56425682.00,42842,29.83,9.35,-8.25
7-December-2020,392.15,405.00,391.30,394.80,398.082875726492612093,274435,5034,109247874.00,72775,26.52,13.70,2.65
4-December-2020,396.00,398.80,389.00,392.15,392.753387499241187389,312989,6741,122927490.00,107564,34.37,9.80,-3.85
3-December-2020,387.45,400.00,382.80,395.05,389.415623262199360489,920704,7573,358536522.00,501036,54.42,17.20,7.60
2-December-2020,379.05,389.85,378.20,384.45,385.603521377620615654,230194,3577,88763617.00,42351,18.40,11.65,5.40
1-December-2020,378.00,381.15,371.55,379.15,377.764333225520664876,142222,2228,53726399.00,28715,20.19,9.60,1.15
27-November-2020,380.00,383.70,370.80,372.95,377.692777789500337609,379136,8222,143196929.00,131244,34.62,12.90,-7.05
26-November-2020,383.70,384.65,375.35,378.10,378.008846465566371402,349179,7598,131992751.00,113854,32.61,9.30,-5.60
25-November-2020,391.50,393.00,381.40,382.20,385.905282481027393682,268018,3958,103429562.00,101544,37.89,11.60,-9.30
24-November-2020,396.25,398.95,388.40,389.70,393.535374742627788379,345317,6611,135894455.00,102071,29.56,10.55,-6.55
23-November-2020,383.35,395.30,382.85,394.55,390.887384568681723869,698359,11692,272979723.00,375181,53.72,12.45,11.20
20-November-2020,386.00,389.65,378.45,383.35,384.490421469216320929,288562,4927,110949325.00,55199,19.13,11.20,-2.65
19-November-2020,384.95,395.20,382.25,383.45,389.640972499485802088,826530,14132,322049953.00,257797,31.19,12.95,-1.50
18-November-2020,395.00,395.00,377.45,383.20,383.286087863358718418,570545,10170,218681961.00,154304,27.04,17.55,-11.80
17-November-2020,415.95,415.95,392.35,394.45,397.973466874031292966,754227,14400,300162334.00,178046,23.61,23.60,-21.50
14-November-2020,396.50,414.75,395.15,412.70,410.316428823888284808,444201,10131,182262968.00,213941,48.16,19.60,16.20
13-November-2020,394.40,400.40,383.30,394.20,393.652729416545830781,723433,5304,284781375.00,445691,61.61,17.10,-0.20
12-November-2020,395.45,395.75,387.15,394.55,392.217596213888980182,152135,2403,59670024.00,50315,33.07,8.60,-0.90
11-November-2020,382.80,398.30,382.10,393.90,391.084535457600121225,567537,10102,221954944.00,240589,42.39,16.20,11.10
10-November-2020,375.30,385.00,372.85,382.90,380.913422405809816249,328272,5342,125043211.00,90843,27.67,12.15,7.60
9-November-2020,369.00,379.90,365.40,375.30,374.064100594212089296,357953,7152,133897367.00,62568,17.48,14.50,6.30
6-November-2020,366.00,370.00,361.40,362.30,365.416618108160603790,288312,5444,105353996.00,83325,28.90,8.60,-3.70
5-November-2020,354.00,368.70,350.85,366.40,362.244521119944879430,746001,18718,270234775.00,335869,45.02,17.85,12.40
4-November-2020,350.00,352.80,344.40,348.85,347.815043149975028328,186211,3654,64766987.00,42545,22.85,8.40,-1.15
3-November-2020,347.75,356.40,347.75,351.10,353.709374532861627385,321104,6786,113577495.00,118040,36.76,8.65,3.35
2-November-2020,358.00,358.00,344.60,346.80,348.129028819160655271,112564,1900,39186796.00,24385,21.66,13.40,-11.20
30-October-2020,346.10,359.45,343.90,354.30,353.606380875748607193,359167,5822,127003743.00,51145,14.24,15.55,8.20
29-October-2020,345.50,347.20,338.40,341.75,342.630527475988033380,317550,6967,108802324.00,63562,20.02,8.80,-3.75
28-October-2020,348.30,349.50,342.60,345.55,347.833420954747868513,481237,1506,167390312.00,410883,85.38,6.90,-2.75
27-October-2020,346.40,349.85,341.85,348.30,346.545975071410023370,154040,3080,53381942.00,55234,35.86,8.00,1.90
26-October-2020,351.00,353.60,342.70,346.40,347.939154498780176965,109852,2189,38221812.00,24647,22.44,10.90,-4.60
23-October-2020,352.00,355.20,350.00,351.40,352.910937131865882343,258907,5240,91371112.00,109770,42.40,5.20,-0.60
22-October-2020,350.00,350.60,344.05,349.60,347.357529326921334633,275941,4803,95850184.00,72351,26.22,6.55,-0.40
21-October-2020,358.10,362.25,345.00,349.55,353.084316876817205557,684430,14292,241661499.00,192898,28.18,17.25,-8.55
20-October-2020,346.00,349.65,341.40,343.35,345.550421982103463979,169083,3954,58426702.00,52040,30.78,8.25,-2.65
19-October-2020,343.00,347.70,341.10,346.65,344.910827565017801955,331986,5897,114505566.00,93759,28.24,6.60,3.65
16-October-2020,328.00,343.25,327.50,339.95,337.201869366003864990,595603,9352,200838445.00,136041,22.84,15.75,11.95
15-October-2020,333.55,345.00,324.90,326.65,332.367777729990107952,232510,5608,77278832.00,66281,28.51,20.10,-6.90
14-October-2020,339.90,339.90,328.65,332.95,331.941189440438591263,167810,3159,55703051.00,39637,23.62,11.25,-6.95
13-October-2020,343.00,343.50,338.00,338.95,340.034547484267409580,101223,2157,34419317.00,21583,21.32,5.50,-4.05
12-October-2020,348.30,349.70,340.55,341.40,344.475701027841532781,140294,2733,48327874.00,46439,33.10,9.15,-6.90
9-October-2020,341.00,350.20,339.70,344.95,345.230897245834095437,831032,11556,286897923.00,123990,14.92,10.50,3.95
8-October-2020,343.95,344.25,337.60,340.05,340.800921160576293788,325459,7782,110916727.00,91068,27.98,6.65,-3.90
7-October-2020,352.50,353.75,341.05,342.40,346.396065033461283385,248795,5309,86181609.00,75157,30.21,12.70,-10.10
6-October-2020,356.80,360.35,350.30,351.85,354.634919386035655041,152517,3009,54087854.00,29282,19.20,10.05,-4.95
5-October-2020,355.80,358.45,351.00,354.00,355.006196718528309666,164926,3307,58549752.00,34830,21.12,7.45,-1.80
1-October-2020,358.90,361.45,347.85,353.25,354.065367842724596035,395332,6789,139973370.00,91285,23.09,13.60,-5.65
30-September-2020,386.30,394.40,349.00,353.00,369.108930027322803582,1711025,20741,631554607.00,702736,41.07,45.40,-33.30
29-September-2020,393.00,393.15,378.40,386.20,383.994634146341463414,260350,3381,99973003.00,24729,9.50,14.75,-6.80
28-September-2020,377.00,390.40,376.00,384.70,384.763358152655230098,182922,3262,70381683.00,24345,13.31,14.40,7.70
25-September-2020,378.10,381.15,365.50,375.60,372.740735201402662666,434602,7937,161993869.00,71733,16.51,15.65,-2.50
24-September-2020,379.65,385.85,375.55,377.25,381.052669935763292417,96051,2250,36600490.00,22731,23.67,10.30,-2.40
23-September-2020,397.00,397.00,381.20,387.60,388.172549117320941358,160534,3595,62314892.00,49550,30.87,15.80,-9.40
22-September-2020,404.00,404.00,382.05,392.35,391.334208532964045559,215189,4354,84210817.00,40556,18.85,21.95,-11.65
21-September-2020,412.10,415.55,399.25,401.25,407.644210994660866126,202280,4732,82458271.00,57221,28.29,16.30,-10.85
18-September-2020,419.50,422.80,409.50,412.10,417.945485281305699647,250226,3787,104580827.00,37992,15.18,13.30,-7.40
17-September-2020,413.00,419.00,412.20,415.50,415.688289042869108353,131330,2220,54592343.00,19352,14.74,6.80,2.50
16-September-2020,414.20,420.45,411.50,413.00,414.702739427634922775,96407,1815,39980247.00,21513,22.31,8.95,-1.20
15-September-2020,420.00,425.40,412.35,414.35,416.825884797071698859,202165,3375,84267605.00,31533,15.60,13.05,-5.65
