Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2021,3580.00,3605.00,3563.05,3566.10,3575.029336966394187102,22020,2011,78722146.00,11183,50.79,41.95,-13.90
31-December-2020,3587.00,3600.00,3563.40,3575.10,3578.461022632020117351,19088,3126,68305664.00,5922,31.02,36.60,-11.90
30-December-2020,3580.10,3605.65,3565.20,3584.55,3576.902431222008957133,9378,1344,33544191.00,3557,37.93,40.45,4.45
29-December-2020,3610.00,3616.50,3573.60,3592.75,3590.124917100900047370,21110,3475,75787537.00,9141,43.30,42.90,-17.25
28-December-2020,3625.00,3642.90,3598.50,3604.95,3610.496684457383147339,18549,3199,66971103.00,8796,47.42,44.40,-20.05
24-December-2020,3665.05,3682.70,3590.50,3618.45,3629.854002921332684148,14377,2153,52186411.00,5066,35.24,92.20,-46.60
23-December-2020,3631.50,3666.00,3605.60,3623.70,3627.500585823081429408,13656,2222,49537148.00,5423,39.71,60.40,-7.80
22-December-2020,3575.00,3660.40,3541.20,3631.15,3594.868762196821856704,14348,1693,51579177.00,4286,29.87,119.20,56.15
21-December-2020,3719.00,3725.00,3533.05,3623.40,3672.508233570322516192,60059,7349,220567172.00,19896,33.13,191.95,-95.60
18-December-2020,3759.00,3759.20,3691.55,3722.30,3735.134313508733141720,9046,1495,33788025.00,2083,23.03,67.65,-36.70
17-December-2020,3727.00,3765.00,3720.60,3727.50,3734.188571021411521607,28069,2583,104814939.00,6202,22.10,44.40,0.50
16-December-2020,3765.00,3787.05,3746.65,3752.70,3769.098822813351592867,72291,1356,272471923.00,63030,87.19,40.40,-12.30
15-December-2020,3767.10,3796.50,3724.95,3762.40,3754.513844887883151614,24305,3499,91253459.00,11145,45.85,71.55,-4.70
14-December-2020,3736.10,3791.90,3736.10,3778.45,3770.556364931364931364,30888,4410,116464945.00,14667,47.48,55.80,42.35
11-December-2020,3743.00,3778.60,3702.10,3734.30,3729.965817032207073700,15183,1884,56632071.00,3689,24.30,76.50,-8.70
10-December-2020,3620.00,3745.00,3620.00,3738.75,3691.221734107152453114,74436,8568,274759781.00,36928,49.61,125.00,118.75
9-December-2020,3646.00,3662.20,3620.80,3627.35,3634.968075226375667517,8614,2133,31311615.00,3760,43.65,41.40,-18.65
8-December-2020,3650.00,3651.55,3618.10,3646.35,3638.360665007916760913,8842,1309,32170385.00,2734,30.92,33.45,-3.65
7-December-2020,3650.00,3667.00,3612.00,3628.00,3626.397528991004660236,9227,1513,33460770.00,2155,23.36,55.00,-22.00
4-December-2020,3655.00,3670.80,3613.45,3648.15,3638.953535539780584493,10847,1531,39471729.00,5794,53.42,57.35,-6.85
3-December-2020,3600.15,3650.00,3600.15,3634.75,3628.773647253201156546,7263,1316,26355783.00,2300,31.67,49.85,34.60
2-December-2020,3635.00,3644.00,3560.00,3596.55,3592.692975758732582553,10478,1624,37644237.00,2964,28.29,84.00,-38.45
1-December-2020,3675.00,3687.70,3598.00,3628.15,3630.737200110304255905,10879,1802,39498790.00,2665,24.50,89.70,-46.85
27-November-2020,3562.50,3684.85,3545.00,3634.10,3620.614915392088200076,44263,4828,160259278.00,14185,32.05,139.85,71.60
26-November-2020,3557.15,3569.45,3490.00,3548.35,3523.066575192096597145,18220,3909,64190273.00,5450,29.91,79.45,-8.80
25-November-2020,3578.90,3578.90,3530.40,3556.20,3553.541032623204655881,18729,3765,66554270.00,8429,45.00,48.50,-22.70
24-November-2020,3579.00,3593.25,3531.05,3562.75,3566.111814441379933987,22117,3586,78871695.00,9894,44.73,62.20,-16.25
23-November-2020,3560.50,3597.95,3549.30,3557.80,3574.444790637586442738,13159,2024,47036119.00,4492,34.14,48.65,-2.70
20-November-2020,3527.70,3579.45,3526.10,3549.85,3559.819564005697652814,32294,3376,114960813.00,7826,24.23,53.35,22.15
19-November-2020,3494.00,3549.65,3482.10,3510.85,3526.307188569727638041,13438,1884,47386516.00,4661,34.69,67.55,16.85
18-November-2020,3510.00,3515.00,3446.00,3499.20,3478.056702708566882435,27653,5071,96178702.00,10020,36.23,69.00,-10.80
17-November-2020,3530.10,3550.00,3504.60,3510.50,3532.541798718219592929,42597,5040,150475683.00,13638,32.02,45.40,-19.60
14-November-2020,3521.00,3535.10,3521.00,3528.45,3528.906769102990033222,4816,694,16995215.00,3290,68.31,14.10,7.45
13-November-2020,3518.00,3540.00,3509.00,3514.40,3519.968897489144798942,21188,3243,74581101.00,8762,41.35,31.00,-3.60
12-November-2020,3502.00,3524.75,3487.25,3516.45,3505.293580342210214846,7773,1242,27246647.00,2828,36.38,37.50,14.45
11-November-2020,3501.00,3541.00,3455.50,3492.40,3480.948800411654981668,31094,5439,108236622.00,11643,37.44,85.50,-8.60
10-November-2020,3575.00,3575.00,3448.90,3509.70,3507.726931700586409106,23192,3470,81351203.00,7169,30.91,126.10,-65.30
9-November-2020,3525.00,3567.95,3521.50,3547.80,3548.880177514792899408,21632,4285,76769376.00,12038,55.65,46.45,22.80
6-November-2020,3499.00,3554.55,3498.50,3515.15,3521.826836485269522706,15546,1878,54750320.00,5312,34.17,56.05,16.15
5-November-2020,3503.00,3528.25,3466.00,3498.75,3494.250030531243639324,24565,3657,85836252.00,12062,49.10,62.25,-4.25
4-November-2020,3448.00,3503.70,3413.50,3469.05,3476.052600780234070221,30760,5472,106923378.00,11268,36.63,90.20,21.05
3-November-2020,3424.00,3456.85,3391.85,3405.90,3412.565137796249567067,20211,2346,68971354.00,4735,23.43,65.00,-18.10
2-November-2020,3477.35,3479.45,3392.00,3420.25,3414.231597775790333242,25717,5606,87803794.00,11111,43.20,87.45,-57.10
30-October-2020,3545.00,3548.10,3460.70,3474.65,3496.205281753398407090,16699,3689,58383132.00,6163,36.91,87.40,-70.35
29-October-2020,3526.50,3556.00,3498.25,3533.95,3526.011173184357541899,13962,2174,49230168.00,4093,29.32,57.75,7.45
28-October-2020,3574.00,3599.00,3525.15,3539.55,3569.757312129716245712,32070,5289,114482117.00,12045,37.56,73.85,-34.45
27-October-2020,3484.10,3587.25,3484.00,3574.10,3554.763837730214036834,40180,5268,142830411.00,9117,22.69,103.25,90.00
26-October-2020,3494.00,3505.05,3469.00,3484.10,3484.668958404950154692,11636,1789,40547608.00,3183,27.35,36.05,-9.90
23-October-2020,3470.00,3501.00,3441.75,3469.70,3470.657315291977843304,36287,5864,125939742.00,12346,34.02,59.25,-0.30
22-October-2020,3410.00,3494.70,3410.00,3458.65,3458.893290538163911361,45488,6534,157338138.00,14879,32.71,84.70,48.65
21-October-2020,3565.15,3582.40,3374.80,3393.05,3465.239974523211517431,83213,11556,288353014.00,27062,32.52,207.60,-172.10
20-October-2020,3689.00,3689.00,3535.00,3551.50,3578.517991155668870547,138846,25588,496862909.00,58901,42.42,154.00,-137.50
19-October-2020,3762.20,3795.00,3744.20,3773.80,3774.752251711300588447,16654,2838,62864724.00,4362,26.19,50.80,11.60
16-October-2020,3736.00,3776.40,3730.00,3747.55,3747.493620071684587813,13950,1733,52277536.00,2099,15.05,46.40,11.55
15-October-2020,3790.00,3835.05,3714.90,3731.80,3789.722184300341296928,21975,3597,83279145.00,7095,32.29,120.15,-58.20
14-October-2020,3779.00,3801.15,3744.80,3791.05,3782.767488341105929380,12008,1541,45423472.00,1997,16.63,56.35,12.05
13-October-2020,3725.00,3784.85,3705.10,3744.70,3754.433411764705882352,8500,1047,31912684.00,1947,22.91,79.75,19.70
12-October-2020,3769.10,3769.10,3724.00,3730.90,3738.225293612145517043,6982,1082,26100289.00,1427,20.44,45.10,-38.20
9-October-2020,3829.90,3829.90,3735.00,3744.80,3762.365133560956015264,9958,1664,37465632.00,3734,37.50,94.90,-85.10
8-October-2020,3819.90,3823.15,3770.25,3794.35,3793.995842489754706895,16837,2561,63879508.00,4592,27.27,52.90,-25.55
7-October-2020,3787.00,3837.80,3769.00,3786.10,3798.304243983097556494,21772,4043,82696680.00,7017,32.23,68.80,-0.90
6-October-2020,3870.00,3880.00,3753.10,3768.00,3795.714240385835765960,15758,2653,59812865.00,5330,33.82,126.90,-102.00
5-October-2020,3809.50,3856.95,3785.10,3828.45,3833.719081919179587351,24573,3546,94205979.00,15541,63.24,71.85,18.95
1-October-2020,3840.00,3840.00,3763.10,3809.65,3787.118036472645515863,8006,1221,30319667.00,1715,21.42,76.90,-30.35
30-September-2020,3732.00,3823.65,3725.00,3795.95,3800.622282808930808341,13571,1413,51578245.00,2783,20.51,98.65,63.95
29-September-2020,3794.00,3795.55,3707.55,3731.80,3758.639524517087667161,6730,1313,25295644.00,1519,22.57,88.00,-62.20
28-September-2020,3707.00,3776.55,3689.35,3734.10,3766.340359970614643702,245020,2897,922828715.00,234097,95.54,87.20,27.10
25-September-2020,3621.00,3715.00,3615.00,3687.55,3670.970885581637523321,23047,3969,84604866.00,8003,34.72,100.00,66.55
24-September-2020,3614.70,3652.30,3560.05,3612.85,3609.549781931464174454,8025,1473,28966637.00,2175,27.10,92.25,-1.85
23-September-2020,3610.00,3654.10,3563.20,3624.45,3612.181876196553924696,10969,1430,39622023.00,2503,22.82,90.90,14.45
22-September-2020,3636.50,3676.95,3541.30,3586.55,3585.401768419133565780,43881,6527,157331015.00,7650,17.43,135.65,-49.95
21-September-2020,3797.70,3798.00,3612.70,3629.35,3701.121357850070721357,21210,2848,78500784.00,6206,29.26,185.30,-168.35
18-September-2020,3850.00,3850.00,3774.85,3797.05,3804.350964382913264702,8451,1350,32150570.00,2236,26.46,75.15,-52.95
17-September-2020,3844.50,3890.00,3795.25,3813.20,3840.717802788080317176,109466,1855,420428015.00,98603,90.08,94.75,-31.30
16-September-2020,3734.00,3859.55,3734.00,3843.80,3805.799789286537385177,30373,3565,115593557.00,7188,23.67,125.55,109.80
15-September-2020,3720.00,3765.00,3714.15,3733.25,3736.890202331207389487,18188,2731,67966559.00,6914,38.01,50.85,13.25
14-September-2020,3786.00,3786.55,3711.65,3720.30,3734.258322237017310252,9763,1642,36457564.00,4061,41.60,74.90,-65.70
11-September-2020,3740.00,3825.00,3725.85,3770.85,3787.154585736978513502,35883,5605,135894468.00,11841,33.00,99.15,30.85
10-September-2020,3752.30,3758.00,3701.35,3719.45,3716.979828850855745721,13088,2470,48647832.00,3975,30.37,56.65,-32.85
9-September-2020,3724.00,3746.50,3684.20,3739.85,3731.862041421806355908,17527,1221,65408346.00,1902,10.85,62.30,15.85
8-September-2020,3720.00,3761.00,3712.95,3729.10,3740.916877093532594692,19405,2925,72592492.00,5286,27.24,48.05,9.10
7-September-2020,3728.00,3746.95,3657.45,3727.25,3710.856734207389749702,8390,1541,31134088.00,2007,23.92,89.50,-0.75
4-September-2020,3746.90,3807.00,3700.00,3705.80,3755.485282371387154986,33803,5674,126946669.00,8534,25.25,107.00,-41.10
3-September-2020,3799.65,3805.00,3740.10,3747.05,3759.815716217291020440,12573,2984,47272163.00,5054,40.20,64.90,-52.60
2-September-2020,3789.00,3812.00,3753.15,3799.60,3785.563893736668605778,15471,3105,58566459.00,6137,39.67,58.85,10.60
1-September-2020,3734.00,3786.00,3718.50,3774.05,3754.706890130353817504,5370,1254,20162776.00,1553,28.92,67.50,40.05
31-August-2020,3814.90,3814.90,3685.45,3724.40,3731.584453113711891345,20763,3117,77478888.00,5072,24.43,129.45,-90.50
28-August-2020,3820.00,3825.00,3786.70,3792.60,3805.884918549658434051,19030,2066,72425990.00,9872,51.88,38.30,-27.40
27-August-2020,3829.10,3854.80,3811.15,3816.35,3834.560870550895488551,22055,1747,84571240.00,3920,17.77,43.65,-12.75
26-August-2020,3847.10,3856.50,3801.75,3829.00,3829.618437031216515465,27998,3901,107221657.00,14620,52.22,54.75,-18.10
