Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2021,823.35,828.85,821.00,826.45,826.173779563371740448,52768,1609,43595538.00,11481,21.76,7.85,3.10
31-December-2020,831.00,833.25,817.05,819.85,824.304183409873708381,139360,3237,114875031.00,30898,22.17,16.20,-11.15
30-December-2020,834.55,834.55,816.30,823.65,821.448136132552733962,80451,1909,66086324.00,22471,27.93,18.25,-10.90
29-December-2020,831.00,835.55,818.00,827.65,826.864050897201047883,101538,2450,83958122.00,26541,26.14,17.55,-3.35
28-December-2020,836.00,838.95,825.35,830.05,833.354121002012972489,178840,5655,149037051.00,71527,39.99,13.60,-5.95
24-December-2020,830.05,835.00,815.50,833.45,825.933035993936280835,239457,5404,197775447.00,54778,22.88,19.50,3.40
23-December-2020,798.00,827.20,792.45,824.25,814.750123382354013755,411323,10922,335125465.00,186117,45.25,34.75,26.25
22-December-2020,778.05,798.35,760.65,795.35,780.152181394952945225,270217,5669,210810382.00,53138,19.66,37.70,17.30
21-December-2020,791.90,816.75,760.00,778.05,798.187924087923275623,738644,21079,589576721.00,231154,31.29,56.75,-13.85
18-December-2020,785.00,795.70,781.50,793.90,789.942369829951493329,254398,6264,200959759.00,115585,45.43,14.20,8.90
17-December-2020,787.50,795.00,781.55,783.20,788.037413600252387644,139468,2528,109906002.00,21750,15.59,13.45,-4.30
16-December-2020,787.00,789.60,782.50,786.65,785.770254318429232847,152486,4039,119818963.00,52207,34.24,7.10,-0.35
15-December-2020,791.00,798.00,779.85,781.70,788.536128721181491865,279985,4924,220778288.00,42317,15.11,18.15,-9.30
14-December-2020,772.00,792.80,772.00,789.25,786.236454409317395854,816022,21434,641586244.00,316957,38.84,20.80,17.25
11-December-2020,766.40,766.40,753.00,755.90,759.707347205898066032,149744,4246,113761617.00,39812,26.59,13.40,-10.50
10-December-2020,767.00,767.50,755.70,762.90,762.238501539385747540,106536,2950,81205841.00,21917,20.57,11.80,-4.10
9-December-2020,765.95,773.50,759.65,762.25,767.013463233997531299,113420,3453,86994667.00,24000,21.16,13.85,-3.70
