Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2021,3850.00,3867.30,3818.20,3846.90,3850.108972793435256191,20473,1915,78823281.00,4621,22.57,49.10,-3.10
31-December-2020,3790.00,3850.95,3788.65,3842.45,3823.725367682399307891,31209,2831,119334645.00,11128,35.66,62.30,52.45
30-December-2020,3799.00,3812.00,3761.55,3800.15,3788.635754074685372395,19388,1718,73454070.00,7765,40.05,50.45,1.15
29-December-2020,3799.90,3830.00,3767.40,3787.60,3800.193695784100239174,28013,1927,106454826.00,5536,19.76,62.60,-12.30
28-December-2020,3750.10,3781.40,3736.70,3764.75,3758.966541519434628975,9056,696,34041201.00,3163,34.93,44.70,14.65
24-December-2020,3714.90,3756.60,3691.75,3749.30,3731.203188046821940793,25031,3795,93395747.00,12469,49.81,64.85,34.40
23-December-2020,3719.00,3719.00,3661.00,3689.45,3682.770480114086515607,12622,1329,46483929.00,4499,35.64,58.00,-29.55
22-December-2020,3651.00,3735.60,3603.30,3715.75,3672.897640953054965793,42390,5205,155694131.00,24343,57.43,132.30,64.75
21-December-2020,3797.25,3800.30,3543.65,3631.90,3696.361072967470050665,42238,5194,156126899.00,8712,20.63,256.65,-165.35
18-December-2020,3843.95,3857.70,3781.35,3830.85,3818.120413674988472432,30362,2999,115925772.00,8782,28.92,76.35,-13.10
17-December-2020,3719.00,3847.90,3716.80,3825.55,3816.543868599924293543,60761,5471,231897022.00,17101,28.14,131.10,106.55
16-December-2020,3665.00,3726.90,3638.70,3719.45,3702.886487056466494437,37934,2100,140465296.00,4495,11.85,88.20,54.45
15-December-2020,3626.20,3650.50,3608.20,3627.40,3626.621741051701281484,29419,2536,106691585.00,10229,34.77,42.30,1.20
14-December-2020,3641.50,3669.45,3587.10,3599.95,3625.201981535690159873,17764,1957,64398088.00,5482,30.86,82.35,-41.55
11-December-2020,3730.30,3738.95,3624.25,3640.85,3659.470480456026058631,24560,2092,89876595.00,7728,31.47,114.70,-89.45
10-December-2020,3729.90,3763.40,3706.65,3731.75,3730.790217199364294543,11326,1074,42254930.00,2193,19.36,56.75,1.85
9-December-2020,3739.00,3739.00,3696.05,3725.15,3720.252348092773624688,10434,1099,38817113.00,1797,17.22,42.95,-13.85
8-December-2020,3724.00,3750.00,3676.45,3688.90,3692.122741246157306740,80022,1647,295451046.00,67770,84.69,73.55,-35.10
7-December-2020,3747.00,3747.00,3664.00,3716.85,3716.895022676719530866,34617,2412,128667755.00,4458,12.88,83.00,-30.15
4-December-2020,3705.15,3737.00,3665.75,3711.35,3701.058911038381434096,26888,2896,99514072.00,9040,33.62,71.25,6.20
3-December-2020,3680.00,3722.65,3638.00,3702.55,3675.906443319675423796,24894,2284,91508015.00,9507,38.19,84.65,22.55
2-December-2020,3629.80,3652.00,3615.30,3639.90,3632.830694636849396398,10106,1155,36713387.00,2134,21.12,36.70,10.10
1-December-2020,3760.00,3760.00,3599.75,3620.50,3653.666645328963371698,78109,5825,285384248.00,49705,63.64,160.25,-139.50
27-November-2020,3546.00,3655.00,3512.35,3607.60,3585.674280689556450788,48901,5407,175343058.00,19564,40.01,142.65,61.60
26-November-2020,3509.75,3556.00,3466.15,3545.35,3512.108762411710512846,19538,2419,68619581.00,6134,31.40,89.85,35.60
25-November-2020,3555.00,3569.95,3450.00,3472.80,3505.231857198595396020,20504,2737,71871274.00,6744,32.89,119.95,-82.20
24-November-2020,3590.00,3599.00,3494.15,3539.35,3552.323353293413173652,25718,2882,91358652.00,7917,30.78,104.85,-50.65
23-November-2020,3472.10,3636.00,3470.75,3545.15,3567.226853624768020738,67894,7633,242193300.00,16372,24.11,165.25,73.05
20-November-2020,3442.00,3489.00,3431.55,3469.35,3458.109601587543886429,19653,2592,67962228.00,7369,37.50,57.45,27.35
19-November-2020,3410.50,3499.00,3409.00,3434.65,3462.689408687188222411,32876,4101,113839377.00,12243,37.24,90.00,24.15
18-November-2020,3426.25,3460.00,3410.50,3452.15,3441.777315524414276330,22835,2518,78592985.00,9254,40.53,49.50,25.90
17-November-2020,3468.00,3484.70,3395.65,3428.25,3428.487758107043796870,29203,3212,100122128.00,6218,21.29,89.05,-39.75
14-November-2020,3459.00,3460.00,3440.40,3445.60,3447.850753295668549905,4248,548,14646470.00,1896,44.63,19.60,-13.40
13-November-2020,3398.00,3451.05,3367.75,3432.20,3419.834256926952141057,33745,2581,115402307.00,7523,22.29,83.30,34.20
12-November-2020,3352.20,3408.40,3304.85,3366.05,3379.609187494211508183,75581,2766,255434242.00,43845,58.01,103.55,13.85
11-November-2020,3299.00,3370.80,3282.70,3352.20,3333.115230396119644300,61850,5975,206153177.00,8481,13.71,88.10,53.20
10-November-2020,3423.50,3424.95,3241.10,3264.05,3327.027293145630289174,49866,4790,165905543.00,11033,22.13,183.85,-159.45
9-November-2020,3399.80,3461.80,3348.05,3423.35,3402.639889676615750582,213554,21614,726647359.00,37761,17.68,113.75,23.55
6-November-2020,3238.00,3265.00,3188.50,3237.70,3218.968201515721154797,50537,2538,162676996.00,7796,15.43,76.50,-0.30
5-November-2020,3196.00,3241.00,3170.00,3208.30,3207.522939111487713351,24783,2023,79492041.00,3684,14.86,71.00,12.30
4-November-2020,3148.00,3208.00,3106.15,3194.20,3163.289792007664976645,25049,1849,79237246.00,3762,15.02,101.85,46.20
3-November-2020,3160.00,3160.00,3060.05,3089.45,3085.649399524046709834,18069,1018,55754599.00,2659,14.72,99.95,-70.55
2-November-2020,3140.00,3140.00,3040.00,3047.85,3069.829126122314671179,21273,1738,65304475.00,5149,24.20,100.00,-92.15
30-October-2020,3108.15,3158.80,3054.90,3140.35,3115.575791550811731993,44596,2904,138942218.00,7728,17.33,103.90,32.20
29-October-2020,3050.00,3158.45,3050.00,3107.90,3124.322923997185080928,22736,2803,71034606.00,5801,25.51,108.45,57.90
28-October-2020,3179.00,3210.00,3110.30,3134.70,3173.205813996384697679,27107,2401,86016090.00,5354,19.75,99.70,-44.30
27-October-2020,3068.00,3178.65,3046.45,3156.30,3121.352413530976814899,26310,3086,82122782.00,7862,29.88,132.20,88.30
26-October-2020,3075.80,3080.00,3021.95,3041.00,3044.554051363726856460,25115,1743,76463975.00,8022,31.94,58.05,-34.80
23-October-2020,3107.00,3145.00,3063.05,3067.25,3101.375897698959402022,27292,2057,84642751.00,5077,18.60,81.95,-39.75
22-October-2020,3088.90,3106.10,3033.00,3085.65,3068.660649396319306060,17062,1488,52357488.00,2462,14.43,73.10,-3.25
21-October-2020,3090.20,3123.00,3015.00,3076.05,3085.366613082725361691,40435,3607,124756799.00,8470,20.95,108.00,-14.15
20-October-2020,3102.80,3127.95,3073.00,3086.95,3099.721270276445053689,21885,1760,67837400.00,4043,18.47,54.95,-15.85
19-October-2020,3247.70,3247.70,3085.45,3092.85,3125.855540919377174316,29607,3062,92547205.00,7449,25.16,162.25,-154.85
16-October-2020,3148.00,3230.00,3121.00,3220.30,3194.793399562215861256,53451,3325,170764902.00,4099,7.67,109.00,72.30
15-October-2020,3157.00,3157.00,3046.00,3107.55,3109.541633145615446500,19888,1419,61842564.00,3781,19.01,111.00,-49.45
14-October-2020,3164.85,3164.85,3103.00,3128.70,3130.327527232542230174,19003,1892,59485614.00,5591,29.42,61.85,-36.15
13-October-2020,3219.00,3246.05,3120.90,3144.85,3186.205767511878440043,42514,2526,135458352.00,7370,17.34,125.15,-74.15
12-October-2020,3190.00,3210.50,3153.15,3191.55,3174.060017613386173491,22710,1453,72082903.00,3570,15.72,57.35,1.55
9-October-2020,3254.00,3264.45,3178.85,3188.40,3216.128228501975083561,29619,2848,95258502.00,10398,35.11,85.60,-65.60
8-October-2020,3194.25,3257.25,3173.50,3233.30,3211.437518895495313917,19846,1531,63734189.00,3326,16.76,83.75,39.05
7-October-2020,3180.00,3217.25,3151.20,3180.50,3185.489058165646602967,22711,1962,72345642.00,4119,18.14,66.05,0.50
6-October-2020,3164.00,3184.00,3140.95,3161.60,3162.808043464283417990,31106,3005,98382307.00,8236,26.48,43.05,-2.40
5-October-2020,3088.00,3146.10,3052.90,3128.25,3086.844619725535462357,31188,2412,96272510.00,4954,15.88,93.20,40.25
1-October-2020,3080.00,3095.00,3052.90,3063.90,3070.864768279539395314,17629,1398,54136275.00,2924,16.59,42.10,-16.10
30-September-2020,3099.00,3134.20,3041.00,3047.40,3082.688821372446306966,47725,3936,147121324.00,8010,16.78,93.20,-51.60
29-September-2020,3122.90,3137.00,3050.10,3057.30,3078.722808217876351749,52617,3298,161993158.00,6051,11.50,86.90,-65.60
28-September-2020,3100.00,3128.80,3021.55,3092.90,3079.601923710079488264,42522,3855,130950833.00,8590,20.20,107.25,-7.10
25-September-2020,3067.00,3108.45,3005.00,3061.45,3057.864943271578342668,34815,3904,106459568.00,7970,22.89,103.45,-5.55
24-September-2020,3128.00,3150.35,2986.70,3021.25,3065.395485367594575303,56040,4823,171784763.00,10461,18.67,163.65,-106.75
23-September-2020,3265.00,3288.00,3125.50,3139.05,3178.571742890849479253,138167,3781,439173722.00,10514,7.61,162.50,-125.95
22-September-2020,3159.50,3270.90,3042.80,3234.10,3177.896759159455103528,97413,8310,309568457.00,12475,12.81,228.10,74.60
21-September-2020,3355.50,3374.00,3122.95,3159.50,3270.282475873081996806,86418,6755,282611271.00,18741,21.69,251.05,-196.00
18-September-2020,3240.00,3388.00,3223.80,3347.20,3340.668561872909698996,92690,6000,309646569.00,24340,26.26,164.20,107.20
17-September-2020,3244.35,3264.00,3201.90,3211.15,3219.103289458830966518,44293,1746,142583742.00,28057,63.34,62.10,-33.20
16-September-2020,3189.00,3274.45,3186.10,3244.00,3235.481305861322796123,53145,4890,171949654.00,18822,35.42,88.35,55.00
15-September-2020,3173.00,3249.60,3170.00,3186.25,3206.398111003910018788,39386,2984,126287196.00,7656,19.44,79.60,13.25
14-September-2020,3163.00,3228.00,3135.90,3165.90,3180.352959003746969363,36296,2901,115434091.00,8407,23.16,92.10,2.90
11-September-2020,3168.00,3170.00,3117.15,3149.95,3149.097468770545693622,24336,1764,76636436.00,7664,31.49,52.85,-18.05
10-September-2020,3190.00,3190.00,3127.00,3158.25,3155.025997803002563163,19117,2086,60314632.00,6927,36.23,63.00,-31.75
9-September-2020,3107.00,3165.75,3077.45,3158.85,3119.991190949132049399,34737,2263,108379134.00,5922,17.05,88.30,51.85
8-September-2020,3247.00,3247.00,3091.45,3107.00,3153.052350739334731476,37669,2997,118772329.00,10334,27.43,155.55,-140.00
7-September-2020,3235.00,3246.30,3169.65,3197.15,3207.759125200030480835,26246,2531,84190846.00,6589,25.10,76.65,-37.85
4-September-2020,3255.00,3322.50,3208.85,3226.45,3265.087570203960981377,40596,2235,132549495.00,5228,12.88,113.65,-28.55
3-September-2020,3337.00,3348.00,3271.10,3278.45,3302.924011246485473289,26675,2606,88105498.00,7010,26.28,76.90,-58.55
2-September-2020,3247.00,3338.50,3245.00,3332.05,3296.540471368481962032,44933,3368,148123453.00,11370,25.30,93.50,85.05
1-September-2020,3112.00,3259.80,3105.00,3236.70,3191.455506530951028788,22891,2205,73055608.00,4413,19.28,154.80,124.70
31-August-2020,3303.00,3303.00,3095.00,3109.55,3177.411860444470748379,33793,3006,107374279.00,11770,34.83,208.00,-193.45
28-August-2020,3274.00,3378.65,3258.75,3271.55,3277.848512011473646468,27890,2472,91419195.00,7860,28.18,119.90,-2.45
27-August-2020,3160.00,3278.40,3160.00,3269.45,3252.708000298797340703,53548,3927,174176008.00,18844,35.19,118.40,109.45
26-August-2020,3250.00,3260.55,3182.85,3198.15,3214.064858438642067720,22711,1735,72994627.00,10599,46.67,77.70,-51.85
25-August-2020,3260.45,3260.45,3220.00,3244.55,3238.201496731446150205,33807,3164,109473878.00,11111,32.87,40.45,-15.90
24-August-2020,3255.50,3281.15,3215.00,3240.45,3241.963010486261669837,22601,2019,73271606.00,7915,35.02,66.15,-15.05
21-August-2020,3245.00,3333.60,3222.90,3247.30,3280.954077914410383668,108401,7064,355658703.00,17939,16.55,110.70,2.30
20-August-2020,3125.00,3206.05,3125.00,3188.70,3186.693300887489264242,34930,2690,111311197.00,5356,15.33,81.05,63.70
19-August-2020,3161.00,3189.90,3141.65,3157.90,3166.767513121567913594,32961,2975,104379824.00,7847,23.81,48.25,-3.10
18-August-2020,3129.45,3161.00,3097.30,3153.50,3132.984682393522172527,34209,2488,107176273.00,4310,12.60,63.70,24.05
17-August-2020,3112.00,3138.50,3072.30,3129.45,3114.960586570620015436,38870,3526,121078518.00,6916,17.79,66.20,17.45
14-August-2020,3137.90,3183.75,3062.80,3093.00,3126.623015469680645620,49193,4570,153807966.00,7326,14.89,120.95,-44.90
13-August-2020,3118.00,3179.65,3094.00,3124.25,3138.149159663865546218,48076,4178,150869659.00,13482,28.04,85.65,6.25
12-August-2020,3131.55,3131.55,3013.15,3118.15,3067.447957314645217806,62785,5940,192589720.00,17696,28.18,118.40,-13.40
11-August-2020,3144.00,3172.65,3087.65,3135.75,3126.114263455171070570,61612,7358,192606152.00,8704,14.13,85.00,-8.25
10-August-2020,3062.00,3228.05,3062.00,3117.10,3152.969348002243969332,192516,15235,606997047.00,27918,14.50,166.05,55.10
7-August-2020,2750.00,2815.00,2724.10,2784.25,2764.478517425779089065,54230,4984,149917670.00,11063,20.40,90.90,34.25
6-August-2020,2690.00,2752.85,2663.40,2739.85,2722.225140921333962735,36013,3379,98035494.00,6446,17.90,89.45,49.85
5-August-2020,2714.00,2717.75,2641.90,2666.25,2675.456159779293194225,51471,3318,137708404.00,6712,13.04,75.85,-47.75
4-August-2020,2685.00,2706.25,2604.00,2690.50,2658.890264271822445944,43705,3540,116206799.00,5563,12.73,102.25,5.50
3-August-2020,2630.00,2730.00,2606.60,2632.10,2679.638103454147133273,88097,8886,236068078.00,11508,13.06,123.40,2.10
31-July-2020,2574.50,2645.00,2555.50,2617.45,2610.198141472777491690,85444,7049,223025770.00,11056,12.94,89.50,42.95
30-July-2020,2450.00,2575.00,2436.45,2560.95,2513.778675351400073128,117601,8607,295622886.00,18092,15.38,138.55,110.95
29-July-2020,2353.00,2435.00,2344.70,2423.35,2400.916070504429358580,32849,3555,78867692.00,12598,38.35,90.30,70.35
28-July-2020,2380.00,2391.00,2333.50,2343.00,2359.160894088155420931,23935,2428,56466516.00,5840,24.40,57.50,-37.00
27-July-2020,2350.00,2394.10,2322.05,2362.30,2361.043772428229665071,26752,2238,63162643.00,3220,12.04,72.05,12.30
24-July-2020,2405.00,2434.15,2330.00,2348.95,2376.097930160518163897,42612,3864,101250285.00,11806,27.71,104.15,-56.05
23-July-2020,2262.10,2408.40,2262.10,2397.25,2372.761561314338893263,111752,10898,265160850.00,41726,37.34,146.30,135.15
22-July-2020,2285.00,2310.00,2246.85,2262.10,2274.735250415173498820,11441,1275,26025246.00,2645,23.12,63.15,-22.90
21-July-2020,2316.80,2327.15,2275.80,2281.90,2306.406161343079336470,29961,2808,69102235.00,6705,22.38,51.35,-34.90
20-July-2020,2270.00,2313.25,2243.00,2300.35,2289.649733163444315181,54153,4261,123991402.00,9526,17.59,70.25,30.35
17-July-2020,2200.00,2273.45,2180.05,2262.70,2246.276473720863545123,48822,4285,109667710.00,17895,36.65,93.40,62.70
16-July-2020,2229.90,2241.30,2193.85,2204.80,2206.545010766507705662,88701,4051,195722749.00,64790,73.04,47.45,-25.10
15-July-2020,2218.00,2245.00,2216.00,2225.35,2226.361614824619457313,30220,2667,67280648.00,13449,44.50,29.00,7.35
14-July-2020,2247.00,2256.55,2211.25,2217.50,2232.178951764460221340,71835,4057,160348575.00,30824,42.91,45.30,-29.50
13-July-2020,2223.00,2240.00,2198.15,2235.25,2221.687762642073497475,35457,3213,78774383.00,12085,34.08,41.85,12.25
10-July-2020,2184.00,2225.00,2177.00,2203.20,2208.005924501380315766,32239,2554,71183903.00,6249,19.38,48.00,19.20
9-July-2020,2161.00,2193.75,2152.20,2175.65,2175.257435324772008189,26865,3288,58438291.00,10234,38.09,41.55,14.65
8-July-2020,2177.95,2212.35,2141.25,2164.25,2170.769815295489598615,26583,2599,57705574.00,7266,27.33,71.10,-13.70
7-July-2020,2180.00,2206.60,2146.55,2183.80,2182.404103201740752253,61123,4154,133395086.00,16858,27.58,60.05,3.80
6-July-2020,2193.00,2217.05,2157.00,2161.40,2171.867442901925660546,22330,2112,48497800.00,7062,31.63,60.05,-31.60
3-July-2020,2200.20,2248.00,2183.70,2190.05,2209.056914184081814139,49478,3961,109299718.00,13152,26.58,64.30,-10.15
2-July-2020,2114.90,2241.00,2094.60,2197.10,2187.669459392860265653,125803,8999,275215381.00,13981,11.11,146.40,82.20
1-July-2020,2290.00,2290.00,2234.05,2240.60,2247.673159817051100654,30391,1901,68309035.00,15372,50.58,55.95,-49.40
30-June-2020,2325.00,2333.05,2267.30,2278.85,2298.126336173508907823,38730,3195,89006433.00,7312,18.88,65.75,-46.15
29-June-2020,2357.15,2365.35,2308.85,2316.95,2331.206449547891493958,12497,1176,29133087.00,3622,28.98,56.50,-40.20
26-June-2020,2363.95,2380.20,2333.55,2350.65,2355.447048735172216664,13994,1145,32962126.00,2222,15.88,46.65,-13.30
25-June-2020,2339.15,2377.15,2325.05,2329.95,2349.602496316200052006,11537,1049,27107364.00,1659,14.38,52.10,-9.20
24-June-2020,2414.80,2414.80,2332.85,2339.15,2373.212460272541251251,22969,2543,54510317.00,6669,29.03,81.95,-75.65
23-June-2020,2379.00,2401.50,2322.90,2387.60,2364.033886132149386262,15316,1352,36207543.00,3013,19.67,78.60,8.60
22-June-2020,2321.50,2367.05,2318.45,2349.20,2344.623015508855648343,10897,1040,25549357.00,3324,30.50,48.60,27.70
19-June-2020,2334.00,2334.00,2286.00,2301.50,2305.470430587814900839,16791,1654,38711154.00,5174,30.81,48.00,-32.50
18-June-2020,2329.80,2331.95,2298.15,2310.75,2312.920181775809834537,8582,693,19849481.00,1309,15.25,33.80,-19.05
17-June-2020,2349.95,2349.95,2293.95,2299.80,2308.374536677872597189,11601,1309,26779453.00,3916,33.76,56.00,-50.15
16-June-2020,2368.00,2368.00,2287.00,2317.45,2322.329683791440165377,13061,1487,30331948.00,3527,27.00,81.00,-50.55
15-June-2020,2401.00,2448.90,2320.00,2334.10,2376.918441646818645797,29390,3221,69857633.00,8959,30.48,128.90,-66.90
12-June-2020,2333.00,2400.70,2301.80,2394.60,2357.039605386332541225,13887,1696,32732209.00,2335,16.81,98.90,61.60
11-June-2020,2414.00,2417.10,2346.65,2357.70,2380.259725518522340315,9691,1169,23067097.00,2891,29.83,70.45,-56.30
10-June-2020,2420.00,2445.05,2377.00,2393.80,2409.273044084335250043,17217,1340,41480454.00,3142,18.25,68.05,-26.20
9-June-2020,2400.00,2455.65,2400.00,2423.35,2430.333322249193628836,30073,2500,73087414.00,3555,11.82,55.65,23.35
8-June-2020,2498.00,2498.00,2338.65,2412.50,2381.658420963524520777,53159,4516,126606580.00,10272,19.32,159.35,-85.50
5-June-2020,2444.00,2475.70,2418.15,2460.45,2444.409897228135228547,43689,1521,106793824.00,30525,69.87,57.55,16.45
4-June-2020,2396.80,2438.45,2394.00,2420.75,2418.412411306269628940,17194,1581,41582183.00,3214,18.69,44.45,23.95
3-June-2020,2420.00,2440.10,2368.60,2382.25,2398.349115676150719543,18206,1917,43664344.00,2868,15.75,71.50,-37.75
2-June-2020,2508.00,2537.70,2400.00,2410.80,2471.122080565673880437,37336,3206,92261814.00,9728,26.06,137.70,-97.20
1-June-2020,2417.00,2493.00,2359.90,2481.10,2431.022330343850985802,27541,2550,66952786.00,3784,13.74,133.10,64.10
29-May-2020,2299.00,2409.35,2265.05,2395.75,2357.083630047763786365,23030,2022,54283636.00,4506,19.57,144.30,96.75
28-May-2020,2310.00,2310.00,2258.00,2283.45,2273.941818181818181818,13750,1046,31266700.00,2827,20.56,52.00,-26.55
27-May-2020,2325.00,2325.00,2261.00,2292.15,2287.206447230284690915,16193,1368,37036734.00,1475,9.11,64.00,-32.85
26-May-2020,2367.80,2367.80,2288.00,2294.00,2305.453792837889872930,10388,1565,23949054.00,3075,29.60,79.80,-73.80
22-May-2020,2313.00,2375.10,2307.55,2324.65,2342.753414634146341463,8200,904,19210578.00,1600,19.51,67.55,11.65
21-May-2020,2375.00,2387.75,2334.50,2356.90,2360.940740740740740740,6615,756,15617623.00,1201,18.16,53.25,-18.10
20-May-2020,2320.20,2375.50,2311.25,2372.20,2345.372485150411956313,15657,1393,36721497.00,5660,36.15,64.25,52.00
19-May-2020,2390.00,2390.00,2310.00,2322.55,2339.505038727409011410,12007,1034,28090437.00,4478,37.29,80.00,-67.45
18-May-2020,2369.00,2379.95,2322.45,2328.70,2353.490938489523681196,14843,1226,34932866.00,5291,35.65,57.50,-40.30
15-May-2020,2350.00,2412.70,2328.00,2334.30,2367.582485429220586782,20246,1708,47934075.00,3369,16.64,84.70,-15.70
14-May-2020,2300.10,2377.90,2300.10,2366.30,2359.667846023209736767,7066,622,16673413.00,1357,19.20,77.80,66.20
13-May-2020,2419.00,2419.00,2314.55,2341.30,2336.322597511241242287,9563,1113,22342253.00,2679,28.01,104.45,-77.70
12-May-2020,2331.20,2373.75,2305.00,2363.45,2351.610583355632860583,14948,1118,35151875.00,2205,14.75,68.75,32.25
11-May-2020,2275.00,2355.00,2275.00,2326.20,2339.211205245008301758,23489,1697,54945732.00,4875,20.75,80.00,51.20
8-May-2020,2274.00,2314.30,2254.30,2301.45,2289.911671137171729773,16031,1165,36709574.00,2961,18.47,60.00,27.45
7-May-2020,2289.10,2311.00,2229.65,2257.80,2268.260817307692307692,9152,967,20759123.00,2527,27.61,81.35,-31.30
6-May-2020,2298.00,2310.00,2244.00,2293.20,2280.358106344095378992,11491,1319,26203595.00,2254,19.62,66.00,-4.80
5-May-2020,2290.00,2325.75,2276.80,2283.40,2301.656810982048574445,13258,1979,30515366.00,2993,22.58,48.95,-6.60
4-May-2020,2254.00,2342.05,2250.00,2286.75,2296.665079742918352773,21005,2409,48241450.00,3853,18.34,92.05,32.75
30-April-2020,2409.00,2409.00,2303.00,2332.85,2335.616778062339933787,16009,1773,37390889.00,2239,13.99,106.00,-76.15
29-April-2020,2368.80,2408.00,2353.45,2367.75,2375.565432098765432098,10530,1407,25014704.00,2253,21.40,54.55,-1.05
28-April-2020,2440.30,2447.20,2349.25,2362.75,2381.570449172576832151,16920,1866,40296172.00,2383,14.08,97.95,-77.55
27-April-2020,2445.00,2470.80,2397.45,2426.25,2439.347132204334796849,14349,1908,35002192.00,1818,12.67,73.35,-18.75
24-April-2020,2377.00,2457.95,2377.00,2428.65,2433.323353293413173652,24549,2225,59735655.00,6436,26.22,80.95,51.65
23-April-2020,2389.00,2452.00,2388.25,2421.75,2424.623170549581839904,26784,2638,64941107.00,8921,33.31,63.75,32.75
22-April-2020,2398.35,2412.25,2365.10,2383.75,2391.802863961813842482,10475,1248,25054135.00,1916,18.29,47.15,-14.60
21-April-2020,2335.00,2473.65,2301.00,2406.40,2412.750258333087301821,33871,3114,81722264.00,5875,17.35,172.65,71.40
20-April-2020,2340.00,2374.75,2299.85,2339.60,2345.297209064140314940,15622,1904,36638233.00,2078,13.30,74.90,-0.40
17-April-2020,2435.00,2449.05,2321.00,2332.25,2364.601556681066587218,26852,3309,63494281.00,4896,18.23,128.05,-102.75
16-April-2020,2400.00,2448.75,2354.85,2393.85,2410.021073502336779492,35305,3301,85085794.00,8178,23.16,93.90,-6.15
15-April-2020,2355.00,2417.75,2329.00,2393.10,2384.999044471871640721,25117,2381,59904021.00,3413,13.59,88.75,38.10
13-April-2020,2350.00,2420.00,2286.65,2340.85,2368.709869973624543056,43222,5135,102380378.00,7479,17.30,133.35,-9.15
9-April-2020,2205.00,2418.45,2205.00,2313.90,2334.975234965115608602,69372,6007,161981902.00,7630,11.00,213.45,108.90
8-April-2020,2064.80,2213.10,2040.15,2166.50,2161.290605892162312395,26985,3818,58322427.00,3065,11.36,172.95,101.70
7-April-2020,2030.00,2110.35,1924.00,2064.80,2043.929428500070582358,92091,7025,188227505.00,10480,11.38,186.35,34.80
