Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2021,2530.00,2553.00,2518.00,2542.35,2535.663289962825278810,21520,1851,54567474.00,4943,22.97,35.00,12.35
31-December-2020,2522.40,2548.35,2485.50,2530.15,2519.700854959980596652,65968,6565,166219626.00,16525,25.05,62.85,7.75
30-December-2020,2490.00,2525.00,2455.00,2518.00,2509.325650630363682106,71546,4522,179532213.00,10398,14.53,70.00,28.00
29-December-2020,2465.00,2502.60,2436.00,2460.45,2466.236490502648921049,38695,3593,95431021.00,10676,27.59,66.60,-4.55
28-December-2020,2440.00,2462.25,2427.00,2450.10,2440.699771689497716894,12264,1311,29932742.00,3872,31.57,35.25,10.10
24-December-2020,2450.00,2470.90,2429.70,2436.20,2444.484262650929317595,14742,1756,36036587.00,4864,32.99,41.20,-13.80
23-December-2020,2452.10,2475.25,2416.60,2446.10,2442.800096545805621111,18644,1603,45543565.00,5221,28.00,58.65,-6.00
22-December-2020,2375.00,2461.10,2375.00,2446.60,2419.006183228450168300,27332,2240,66116277.00,7387,27.03,86.10,71.60
21-December-2020,2482.00,2491.75,2341.55,2395.80,2439.340239463382248574,43681,3369,106552821.00,9908,22.68,150.20,-86.20
18-December-2020,2470.00,2484.80,2425.55,2478.35,2460.423012373773289716,35155,3111,86496171.00,10376,29.52,59.25,8.35
17-December-2020,2495.00,2496.20,2442.65,2467.70,2472.792975084770750405,27132,1516,67091819.00,3888,14.33,53.55,-27.30
16-December-2020,2490.00,2504.00,2446.50,2470.05,2465.248161582033190897,40252,3651,99231169.00,12090,30.04,57.50,-19.95
15-December-2020,2438.00,2487.95,2410.90,2476.65,2460.695357759740756026,65421,4523,160981151.00,19266,29.45,77.05,38.65
14-December-2020,2469.55,2469.55,2391.10,2397.85,2420.702003053574277054,43883,3355,106227666.00,17589,40.08,78.45,-71.70
11-December-2020,2488.00,2502.90,2451.30,2469.55,2471.502639242810338551,43952,5886,108627484.00,17856,40.63,51.60,-18.45
10-December-2020,2547.25,2555.00,2486.85,2492.70,2512.917729508553519348,22973,1737,57729259.00,6032,26.26,68.15,-54.55
9-December-2020,2548.10,2558.30,2532.30,2545.55,2543.295396263280009769,24567,1921,62481138.00,5602,22.80,26.00,-2.55
8-December-2020,2564.00,2609.15,2515.00,2547.25,2556.323304342481330096,32539,2694,83180204.00,8931,27.45,94.15,-16.75
7-December-2020,2570.00,2578.80,2540.00,2560.75,2554.613016882799119158,20435,1636,52203517.00,6112,29.91,38.80,-9.25
4-December-2020,2570.00,2596.70,2533.30,2549.65,2561.170864499058667887,19653,1769,50334691.00,4523,23.01,63.40,-20.35
