Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2021,741.00,746.75,738.00,738.90,741.154669291588606992,31493,1208,23341184.00,11599,36.83,8.75,-2.10
31-December-2020,756.00,756.00,732.30,740.15,739.650670787384982791,71185,3147,52652033.00,21240,29.84,23.70,-15.85
30-December-2020,745.00,756.95,739.70,749.60,748.462166786246481593,36238,1616,27122772.00,11884,32.79,17.25,4.60
29-December-2020,735.00,744.80,729.10,740.55,739.718125471810560610,50338,1864,37235931.00,14734,29.27,15.70,5.55
28-December-2020,729.00,730.60,719.90,726.65,725.563274290979830039,19534,922,14173153.00,5102,26.12,10.70,-2.35
24-December-2020,715.10,732.50,715.10,720.35,725.662262642716015866,66303,2503,48113585.00,25833,38.96,17.40,5.25
23-December-2020,715.10,718.85,706.80,713.70,712.367819851553654547,39745,2119,28313059.00,20103,50.58,12.05,-1.40
22-December-2020,703.00,716.95,693.95,712.80,705.006984906984906984,28490,1595,20085649.00,9940,34.89,23.00,9.80
21-December-2020,720.80,745.95,683.50,703.20,733.005654753062578607,201954,6247,148033424.00,78820,39.03,62.45,-17.60
18-December-2020,722.00,724.95,714.00,719.75,718.466264160338603261,16066,649,11542879.00,4588,28.56,10.95,-2.25
17-December-2020,722.00,732.65,716.25,718.60,724.492406228426785303,26074,1166,18890415.00,5048,19.36,16.40,-3.40
16-December-2020,730.00,730.00,716.00,720.10,721.522579010703654442,31578,1365,22784240.00,11289,35.75,14.00,-9.90
15-December-2020,722.00,725.00,714.30,722.60,719.745597237482341861,31855,1620,22927496.00,8727,27.40,10.70,0.60
14-December-2020,732.15,732.95,722.30,723.30,727.161517083537681870,24468,1080,17792188.00,5998,24.51,10.65,-8.85
11-December-2020,735.00,739.00,716.40,726.15,729.132302183502833201,54179,2402,39503659.00,15530,28.66,22.60,-8.85
10-December-2020,710.55,734.00,699.90,727.95,723.797907931126773128,134508,4629,97356609.00,27505,20.45,34.10,17.40
9-December-2020,708.55,712.00,703.40,704.85,705.901417507758548382,35767,2203,25247976.00,16347,45.70,8.60,-3.70
8-December-2020,717.00,717.00,701.80,706.70,706.045618515562649640,31325,1547,22116879.00,10641,33.97,15.20,-10.30
7-December-2020,711.00,716.80,706.40,713.80,711.070338739084540831,20842,904,14820128.00,9827,47.15,10.40,2.80
4-December-2020,715.90,718.70,707.10,709.70,711.622052050385661173,18021,863,12824141.00,6865,38.09,11.60,-6.20
3-December-2020,720.00,724.85,705.80,712.00,712.397732411654499644,61916,2476,44108818.00,15013,24.25,19.05,-8.00
2-December-2020,707.00,719.00,707.00,717.75,714.469768366941036076,65362,4598,46699173.00,41063,62.82,12.00,10.75
1-December-2020,705.15,715.00,702.80,705.60,708.750226919741008935,49577,3859,35137710.00,25339,51.11,12.20,0.45
27-November-2020,706.00,719.40,694.40,699.80,709.543886053607344671,73087,4323,51858434.00,23442,32.07,25.00,-6.20
26-November-2020,696.10,703.00,689.95,701.25,697.125271800254929894,53348,1534,37190239.00,3524,6.61,13.05,5.15
25-November-2020,710.00,712.70,692.20,695.90,698.095055531401920872,25301,1282,17662503.00,8432,33.33,20.50,-14.10
24-November-2020,710.00,714.05,704.50,707.80,708.675290685201870682,23307,1051,16517095.00,8580,36.81,9.55,-2.20
23-November-2020,703.00,715.60,701.50,707.60,706.584510345076393022,110874,2462,78341851.00,16438,14.83,14.10,4.60
20-November-2020,691.00,708.55,685.80,698.85,700.197267753890232635,96331,5261,67450703.00,37851,39.29,22.75,7.85
19-November-2020,683.00,703.00,682.00,685.05,694.274650326362062075,37535,1875,26059599.00,11000,29.31,21.00,2.05
18-November-2020,679.70,684.75,673.75,683.20,678.476469982494078879,29133,2092,19766055.00,14768,50.69,11.00,3.50
17-November-2020,689.90,689.90,676.00,679.25,680.663399365759235616,24281,1223,16527188.00,9656,39.77,13.90,-10.65
14-November-2020,683.95,690.20,683.20,685.30,686.251395922607453577,7701,441,5284822.00,2761,35.85,7.00,1.35
13-November-2020,687.00,689.85,678.80,681.75,683.274891146589259796,13780,642,9415528.00,4797,34.81,11.05,-5.25
12-November-2020,690.00,692.60,681.65,687.00,685.288545240411695427,19529,862,13383000.00,5288,27.08,10.95,-3.00
11-November-2020,677.55,690.00,676.00,688.85,683.568247821878025169,47518,3173,32481796.00,27538,57.95,14.00,11.30
10-November-2020,693.80,693.85,672.35,677.25,681.753941092947901117,54934,1759,37451471.00,9335,16.99,21.50,-16.55
9-November-2020,680.00,691.80,676.75,687.95,685.322049444891531026,115563,7163,79197872.00,66470,57.52,15.05,7.95
6-November-2020,670.30,682.25,663.65,670.40,670.990739089601388542,84117,4198,56441728.00,28066,33.37,18.60,0.10
5-November-2020,678.00,693.40,659.60,669.95,674.712989222915484968,66994,2831,45201722.00,12194,18.20,33.80,-8.05
4-November-2020,665.00,679.00,665.00,676.00,673.245641445328968578,40323,1738,27147284.00,15156,37.59,14.00,11.00
3-November-2020,658.05,670.35,658.05,668.90,665.333070357885677400,13943,685,9276739.00,3854,27.64,12.30,10.85
2-November-2020,659.00,674.10,654.05,656.00,662.119337069047392914,42116,1875,27885818.00,9559,22.70,20.05,-3.00
30-October-2020,685.10,686.00,661.40,664.50,668.172857222314922965,89895,2849,60065399.00,14383,16.00,24.60,-20.60
29-October-2020,675.00,687.45,671.35,685.10,681.664818396733290350,23265,1621,15858932.00,8417,36.18,16.10,10.10
28-October-2020,686.00,690.70,673.05,677.60,684.651454910101685373,28421,880,19458479.00,5993,21.09,17.65,-8.40
27-October-2020,670.20,688.00,670.20,684.90,682.701841561886215984,59569,2908,40667866.00,24772,41.59,17.80,14.70
