Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2021,925.75,937.80,920.65,933.45,929.988652720468285193,41684,1077,38765647.00,6434,15.44,17.15,7.70
31-December-2020,937.00,940.25,921.20,927.05,928.362176073837415690,67608,2070,62764710.00,15939,23.58,19.05,-9.95
30-December-2020,915.00,938.50,898.55,934.50,909.645687959695018455,296936,2805,270106552.00,243594,82.04,39.95,19.50
29-December-2020,910.00,922.50,907.00,909.75,914.535846104959546332,40911,1306,37414576.00,14674,35.87,15.50,-0.25
28-December-2020,897.00,912.75,897.00,908.00,904.146181907302497007,106087,1841,95918156.00,64625,60.92,15.75,11.00
24-December-2020,909.35,911.40,891.15,896.95,900.046206019499788045,23590,1051,21232090.00,6281,26.63,20.25,-12.40
23-December-2020,886.55,908.10,880.10,901.95,892.107949120699744371,32469,2278,28965853.00,8105,24.96,28.00,15.40
22-December-2020,875.00,888.80,862.65,883.90,874.469850160023276112,27496,1077,24044423.00,9255,33.66,26.15,8.90
21-December-2020,910.00,910.00,868.75,874.80,891.742050421029696371,78023,1660,69576390.00,40410,51.79,41.25,-35.20
18-December-2020,920.00,920.00,902.30,909.40,908.371523274247009655,41634,1216,37819140.00,7081,17.01,17.70,-10.60
17-December-2020,916.15,926.55,911.45,912.80,918.738595276559735364,38997,815,35828049.00,5078,13.02,15.10,-3.35
16-December-2020,915.00,925.00,910.70,914.35,915.827448524230799342,38319,1022,35093592.00,11716,30.57,14.30,-0.65
15-December-2020,917.00,917.95,903.80,912.50,909.062716549227235566,77061,1242,70053282.00,53145,68.96,14.15,-4.50
14-December-2020,904.15,923.80,904.15,911.10,916.794626685449788689,59628,1260,54666630.00,20364,34.15,19.65,6.95
11-December-2020,914.90,915.80,900.85,902.10,906.309941706749912400,31393,1356,28451788.00,8399,26.75,14.95,-12.80
10-December-2020,920.60,921.50,903.00,909.85,909.480469357900961747,32129,1034,29220698.00,8396,26.13,18.50,-10.75
9-December-2020,930.00,933.95,916.20,920.10,924.124276813529149977,44940,1097,41530145.00,14238,31.68,17.75,-9.90
8-December-2020,935.20,941.15,919.40,924.85,927.247080061770015442,91954,4582,85264078.00,56190,61.11,21.75,-10.35
7-December-2020,938.00,953.65,930.95,939.30,941.211823821642585922,122989,3476,115758701.00,62561,50.87,22.70,1.30
4-December-2020,917.00,946.30,914.70,930.30,931.976664740473843434,117676,3545,109671286.00,53374,45.36,31.60,13.30
3-December-2020,915.60,924.40,905.60,910.05,910.958693240351850384,50476,1594,45981551.00,17953,35.57,18.80,-5.55
2-December-2020,907.30,918.30,900.95,915.55,912.046007640428241286,84812,2222,77352446.00,38948,45.92,17.35,8.25
1-December-2020,883.20,910.25,864.05,908.00,901.089448150394178289,102238,4176,92125583.00,29787,29.13,46.20,24.80
27-November-2020,877.00,885.40,869.60,876.25,876.456362266240157480,130048,2635,113981397.00,75079,57.73,15.80,-0.75
26-November-2020,856.85,881.40,848.90,877.75,865.590861394638939234,262075,5675,226849725.00,206107,78.64,32.50,20.90
25-November-2020,851.25,873.70,839.75,842.55,867.178454000156910853,280414,1828,243168979.00,229894,81.98,33.95,-8.70
24-November-2020,854.60,863.95,850.00,852.90,854.586187672229331152,188339,1379,160951908.00,164049,87.10,13.95,-1.70
23-November-2020,858.10,868.85,851.00,853.95,859.306282425972495978,44139,1805,37928920.00,14937,33.84,17.85,-4.15
20-November-2020,841.00,861.85,838.95,857.85,848.833633894126509461,43807,1300,37184855.00,11390,26.00,22.90,16.85
19-November-2020,844.50,861.95,832.65,835.45,848.563202178882350080,41122,1345,34894616.00,7842,19.07,29.30,-9.05
18-November-2020,844.60,851.50,838.60,848.75,845.593290382196668292,38959,1203,32943469.00,9846,25.27,12.90,4.15
17-November-2020,840.10,853.00,836.25,842.55,843.337976707010733044,74443,2100,62780609.00,15029,20.19,16.75,2.45
14-November-2020,845.00,845.00,835.60,838.70,840.136186770428015564,6939,428,5829705.00,3425,49.36,9.40,-6.30
13-November-2020,827.80,847.85,820.05,841.25,837.133783307838282527,190233,5277,159250471.00,87465,45.98,27.80,13.45
12-November-2020,803.15,830.50,803.15,826.75,821.129164065931525533,173028,5701,142078337.00,108007,62.42,27.35,23.60
11-November-2020,789.65,808.00,789.60,803.15,799.881501147772856910,86254,1788,68992979.00,58087,67.34,18.40,13.50
10-November-2020,800.00,815.95,781.00,789.65,801.186438090764985616,85165,2547,68233043.00,29941,35.16,34.95,-10.35
9-November-2020,790.20,807.95,789.05,791.80,799.017515806046889222,40649,1877,32479263.00,21065,51.82,18.90,1.60
6-November-2020,806.40,806.40,792.10,794.60,798.012414056531703590,31416,1105,25070358.00,16654,53.01,14.30,-11.80
5-November-2020,786.65,810.25,786.65,803.85,803.733944701096324898,72515,2452,58282767.00,40785,56.24,23.60,17.20
4-November-2020,791.00,794.90,779.00,783.85,784.443287037037037037,83808,2144,65742623.00,58725,70.07,15.90,-7.15
3-November-2020,785.35,800.40,785.35,791.00,791.885616676317313259,86350,1792,68379323.00,64457,74.65,15.05,5.65
2-November-2020,780.30,791.55,775.35,788.35,787.762911292737293868,90173,2119,71034945.00,67684,75.06,16.20,8.05
30-October-2020,768.35,793.50,766.00,778.70,780.266365336658354114,38496,1272,30037134.00,4504,11.70,27.50,10.35
29-October-2020,770.00,777.00,766.00,769.75,771.764986376021798365,11744,830,9063608.00,2616,22.28,11.00,-0.25
28-October-2020,780.85,784.75,773.30,777.15,778.156705033975870198,14422,467,11222576.00,4433,30.74,11.45,-3.70
27-October-2020,775.35,789.85,773.60,778.80,782.962109135499693439,16310,718,12770112.00,3093,18.96,16.25,3.45
26-October-2020,784.85,789.70,768.00,779.45,778.260856796740207775,27241,790,21200604.00,2824,10.37,21.70,-5.40
23-October-2020,791.30,804.00,782.05,784.95,795.090809066236338296,27266,1001,21678946.00,5115,18.76,21.95,-6.35
22-October-2020,792.00,793.75,781.25,791.30,788.130731473722016042,25059,1234,19749768.00,10507,41.93,12.50,-0.70
21-October-2020,781.00,794.00,772.00,792.10,784.399391768038660223,24004,1196,18828723.00,7847,32.69,22.00,11.10
20-October-2020,775.00,780.05,765.00,776.75,773.677415468637057264,49804,1433,38532230.00,20407,40.97,15.05,1.75
19-October-2020,774.00,782.00,761.90,773.30,773.777159579464576032,27679,1207,21417378.00,5200,18.79,20.10,-0.70
16-October-2020,750.10,776.10,750.10,772.30,764.561521972132904608,27990,1113,21400077.00,6997,25.00,26.00,22.20
15-October-2020,759.00,767.80,745.50,750.00,759.826048363880625659,41684,1532,31672589.00,12251,29.39,22.30,-9.00
14-October-2020,745.85,767.95,733.75,764.35,755.304801727200677762,36591,1159,27637358.00,10531,28.78,34.20,18.50
13-October-2020,760.00,762.80,738.00,748.90,753.700792233876366882,35848,1026,27018666.00,3014,8.41,24.80,-11.10
12-October-2020,749.75,751.80,738.25,742.60,744.245640816880385372,29478,938,21938873.00,3554,12.06,13.55,-7.15
9-October-2020,771.00,772.00,742.45,744.80,748.739593307393857546,361354,2265,270560047.00,320340,88.65,29.55,-26.20
