Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2021,679.00,680.00,675.45,678.20,678.301485676762702125,48732,1741,33054988.00,23837,48.91,4.55,-0.80
31-December-2020,676.80,679.20,669.85,676.30,675.064380668406013169,120735,5772,81503898.00,68329,56.59,9.35,-0.50
30-December-2020,680.00,680.00,667.10,675.80,672.583675586268765506,71341,4136,47982792.00,38883,54.50,12.90,-4.20
29-December-2020,684.40,686.00,670.00,673.10,676.653344342167650376,122326,3960,82772297.00,44659,36.51,16.00,-11.30
28-December-2020,662.95,679.80,657.30,678.50,672.063950265011790622,405831,15125,272744385.00,243399,59.98,22.50,15.55
24-December-2020,653.20,663.45,650.00,657.25,657.709359760400169350,127546,3992,83888198.00,48754,38.22,13.45,4.05
23-December-2020,641.00,649.55,634.05,648.35,641.825351337234335406,141673,6578,90929323.00,54063,38.16,15.50,7.35
22-December-2020,629.20,643.05,620.75,641.30,629.684924494497056565,101582,3997,63964654.00,40247,39.62,22.30,12.10
21-December-2020,652.45,653.00,617.25,629.10,635.094628161480529168,126009,4920,80027639.00,57833,45.90,35.75,-23.35
18-December-2020,657.00,657.10,639.90,654.05,648.547290149482560367,65225,2326,42301497.00,29444,45.14,17.20,-2.95
17-December-2020,650.00,660.95,650.00,654.50,655.778217692408205932,229590,6645,150560121.00,96624,42.09,10.95,4.50
16-December-2020,655.00,655.00,647.30,648.70,650.369235286844708209,64704,2151,42081491.00,34077,52.67,7.70,-6.30
15-December-2020,662.00,664.00,645.05,651.20,653.383961713552001867,85670,2729,55975404.00,34854,40.68,18.95,-10.80
14-December-2020,666.00,668.05,653.30,655.65,656.856145209803746389,67158,2294,44113145.00,33397,49.73,14.75,-10.35
11-December-2020,663.15,668.00,655.10,664.45,663.994539998590488766,269597,9431,179010936.00,158005,58.61,12.90,1.30
10-December-2020,656.90,661.00,646.00,659.50,655.274178811481712667,110541,3530,72434663.00,38585,34.91,15.00,2.60
9-December-2020,654.75,656.15,645.30,652.45,650.126889224751066856,89984,2569,58501018.00,32855,36.51,10.85,-2.30
8-December-2020,652.10,657.75,643.80,651.40,646.645789074974654172,795989,11305,514722935.00,637659,80.11,13.95,-0.70
7-December-2020,645.80,651.15,642.30,649.60,647.762546338175561822,281895,8841,182601023.00,149286,52.96,8.85,3.80
4-December-2020,651.05,655.15,640.10,643.35,647.146145342886386898,122125,3545,79032723.00,61136,50.06,15.05,-7.70
3-December-2020,626.00,650.95,617.55,647.75,625.073630048165077239,38672418,71701,24173108702.00,28242580,73.03,33.40,21.75
2-December-2020,643.00,646.65,630.15,636.70,638.198000343154840822,320555,15895,204577560.00,160247,49.99,16.50,-6.30
1-December-2020,650.00,655.00,639.50,642.00,645.303092131731708718,208788,10354,134731542.00,96783,46.35,15.50,-8.00
27-November-2020,663.50,663.50,642.40,647.65,648.735830810628994281,190272,7255,123436264.00,95041,49.95,21.10,-15.85
26-November-2020,669.75,674.95,658.00,660.70,663.900200432709868969,213538,9272,141767921.00,74015,34.66,16.95,-9.05
25-November-2020,671.50,688.35,662.30,665.65,676.601227934972771400,273793,7599,185248680.00,64073,23.40,26.05,-5.85
24-November-2020,666.60,666.60,651.30,664.10,658.708960254956638985,65266,2471,42991299.00,21777,33.37,15.30,-2.50
23-November-2020,668.95,674.10,656.20,661.20,664.860643185298621745,94032,3671,62518176.00,37310,39.68,17.90,-7.75
20-November-2020,646.10,668.40,646.10,663.80,658.565775486472593339,200371,8014,131957483.00,79798,39.83,22.30,17.70
19-November-2020,662.80,670.35,642.75,646.05,657.772139578773671131,202409,9966,133139001.00,103138,50.96,27.60,-16.75
18-November-2020,677.50,677.50,661.10,665.10,667.668807745854955068,252832,10227,168808040.00,116495,46.08,16.40,-12.40
17-November-2020,636.50,673.75,635.40,670.05,657.178057561240316355,493874,19083,324563156.00,245890,49.79,38.35,33.55
14-November-2020,635.25,639.10,634.05,636.20,636.315837684345516167,65502,4267,41679960.00,42368,64.68,5.05,0.95
13-November-2020,630.25,630.25,618.00,625.80,628.385268658199437726,342182,2825,215022128.00,299197,87.44,12.25,-4.45
12-November-2020,622.30,633.00,618.50,630.25,627.422023707266792647,116420,3827,73044472.00,41526,35.67,14.50,7.95
11-November-2020,616.00,626.50,614.25,623.35,622.002312328271463946,176878,5864,110018525.00,76264,43.12,12.25,7.35
