Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2021,75.90,77.70,75.80,77.35,76.804270560518542436,1672380,6164,128445926.00,684013,40.90,1.90,1.45
31-December-2020,75.60,76.45,75.35,75.65,75.792135934485564857,702868,2729,53271867.00,129002,18.35,1.10,0.05
30-December-2020,77.20,77.20,75.25,75.75,75.823240141993073735,1291894,6394,97955589.00,375058,29.03,1.95,-1.45
29-December-2020,78.00,79.00,76.25,76.55,77.410410130275462451,2133249,9399,165135680.00,668043,31.32,2.75,-1.45
28-December-2020,75.45,77.95,75.20,77.20,76.768524149054446944,1532648,5149,117659125.00,392733,25.62,2.75,1.75
24-December-2020,74.55,75.60,74.25,74.40,74.922193123649599048,1724025,7116,129167734.00,656559,38.08,1.35,-0.15
23-December-2020,73.00,74.40,71.55,74.15,73.214842686489545572,980685,4395,71800698.00,412954,42.11,2.85,1.15
22-December-2020,68.00,71.90,66.70,71.60,69.553906471325400111,3625177,16166,252145222.00,1051616,29.01,5.20,3.60
21-December-2020,76.00,76.00,66.40,69.10,71.441660841530388551,4876853,20547,348410478.00,1172652,24.05,9.60,-6.90
18-December-2020,75.25,76.45,73.60,76.15,75.121914383326970328,2553825,6922,191848223.00,804197,31.49,2.85,0.90
17-December-2020,76.45,76.70,74.70,75.20,75.985891738560047262,1841616,2893,139936834.00,425015,23.08,2.00,-1.25
16-December-2020,75.45,76.50,74.65,76.15,75.783232305618722691,2098929,3914,159063624.00,491547,23.42,1.85,0.70
15-December-2020,73.45,75.40,72.55,75.15,73.899527318179214802,2968170,8550,219346360.00,1228935,41.40,2.85,1.70
14-December-2020,73.20,74.10,72.85,73.45,73.309059279151162870,1448570,2636,106193304.00,452341,31.23,1.25,0.25
11-December-2020,73.45,74.10,72.20,72.80,73.189814359124231916,2306227,3988,168792326.00,431044,18.69,1.90,-0.65
10-December-2020,72.70,73.45,71.00,72.60,72.179802993417786304,3001118,9034,216620106.00,556698,18.55,2.45,-0.10
9-December-2020,72.90,75.00,71.95,73.15,73.443741825292861451,6022387,15372,442306636.00,1948893,32.36,3.05,0.25
8-December-2020,73.20,73.20,70.25,72.05,71.578606146060158542,2918455,5668,208898941.00,563666,19.31,2.95,-1.15
7-December-2020,72.90,73.35,71.20,71.60,72.263409367950612857,3134581,11380,226515510.00,986965,31.49,2.15,-1.30
4-December-2020,71.50,73.60,69.40,71.65,71.802706783167445451,4811985,13856,345513548.00,1092958,22.71,4.20,0.15
