Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2011,1076.00,1085.90,966.50,988.15,774299,30933,794809486.00,201880,26.07,119.40,-87.85
February-2011,996.00,1028.55,923.40,971.05,2626224,41326,2608351972.00,1675274,63.79,105.15,-24.95
March-2011,975.40,1096.90,975.40,1075.20,947224,25104,967278228.00,461118,48.68,121.50,99.80
April-2011,1079.00,1142.50,1071.00,1108.25,608428,25819,676591066.00,135045,22.20,71.50,29.25
May-2011,1111.00,1114.05,963.10,1026.60,508285,24433,513040367.00,104511,20.56,150.95,-84.40
June-2011,1031.05,1048.65,917.00,949.25,379436,18496,374842648.00,113975,30.04,131.65,-81.80
July-2011,959.90,1033.00,939.00,1012.05,470442,21882,461521798.00,128314,27.28,94.00,52.15
August-2011,1010.00,1024.05,948.00,1002.55,686534,20962,686649630.00,194948,28.40,76.05,-7.45
September-2011,1030.00,1104.00,995.15,1098.15,749458,32356,795699560.00,217531,29.03,108.85,68.15
October-2011,1090.00,1229.65,1077.00,1195.25,707227,31143,804428614.00,313878,44.38,152.65,105.25
November-2011,1200.00,1233.00,1100.00,1145.05,602914,30629,709892214.00,181828,30.16,133.00,-54.95
December-2011,1159.90,1228.00,1084.75,1136.35,515657,28215,597064325.00,159208,30.87,143.25,-23.55
January-2012,1145.20,1206.70,1083.10,1189.90,645730,34598,734678242.00,190835,29.55,123.60,44.70
February-2012,1188.00,1421.95,1188.00,1304.90,1702700,58451,2260693573.00,1008531,59.23,233.95,116.90
March-2012,1305.00,1405.00,1272.45,1356.35,1058067,37465,1402700154.00,535776,50.64,132.55,51.35
April-2012,1351.35,1372.10,1186.05,1234.65,905225,57341,1136811868.00,187460,20.71,186.05,-116.70
May-2012,1245.00,1258.45,1117.25,1140.20,1106849,43818,1303501454.00,474962,42.91,141.20,-104.80
June-2012,1137.50,1279.90,1105.05,1267.55,1624146,76740,1962837762.00,395072,24.32,174.85,130.05
July-2012,1267.00,1329.00,1244.00,1319.60,993363,42106,1275148848.00,345357,34.77,85.00,52.60
August-2012,1315.00,1370.00,1300.00,1312.45,404654,21411,540611463.00,95546,23.61,70.00,-2.55
September-2012,1314.00,1474.50,1285.20,1469.20,539059,26210,742538675.00,177375,32.90,189.30,155.20
October-2012,1470.00,1514.95,1366.00,1379.30,911654,41084,1310432383.00,290641,31.88,148.95,-90.70
November-2012,1384.00,1487.00,1351.15,1383.95,372232,23193,526679650.00,95580,25.68,135.85,-0.05
December-2012,1385.00,1454.00,1368.00,1429.40,436038,25199,616054551.00,133910,30.71,86.00,44.40
January-2013,1440.00,1452.70,1301.25,1322.55,586327,30750,800799980.00,227121,38.74,151.45,-117.45
February-2013,1324.00,1355.00,1223.90,1271.10,493197,28222,638681090.00,129407,26.24,131.10,-52.90
March-2013,1265.00,1299.85,1118.40,1161.25,541138,26379,659356920.00,148379,27.42,181.45,-103.75
April-2013,1172.70,1263.95,1106.75,1237.10,399500,20097,468350523.00,85313,21.35,157.20,64.40
May-2013,1238.00,1278.50,1183.00,1218.85,527202,23701,649045152.00,123033,23.34,95.50,-19.15
June-2013,1223.90,1236.50,1149.00,1223.45,298719,18130,358223305.00,73428,24.58,87.50,-0.45
July-2013,1249.00,1292.00,1140.00,1171.35,937970,38080,1152027648.00,574974,61.30,152.00,-77.65
August-2013,1176.00,1205.40,912.05,961.80,1541322,39363,1770569856.00,1183643,76.79,293.35,-214.20
September-2013,967.00,1136.10,914.00,1112.45,563805,40826,575984000.00,157075,27.86,222.10,145.45
October-2013,1117.00,1166.60,1092.00,1136.70,567122,34451,643574029.00,220942,38.96,74.60,19.70
November-2013,1145.95,1148.00,1011.20,1096.55,365300,35571,391598155.00,120379,32.95,136.80,-49.40
December-2013,1095.00,1183.00,1069.20,1108.20,334152,27110,373337317.00,121261,36.29,113.80,13.20
January-2014,1107.00,1122.00,971.25,1010.85,603107,24938,625570791.00,403119,66.84,150.75,-96.15
February-2014,1010.00,1112.00,986.35,1103.45,589805,28589,606077576.00,281328,47.70,125.65,93.45
March-2014,1092.00,1399.25,1092.00,1391.55,541733,38456,679770468.00,184523,34.06,307.25,299.55
April-2014,1398.00,1402.35,1278.30,1291.70,649529,36891,872161324.00,316664,48.75,124.05,-106.30
May-2014,1293.05,1460.00,1261.50,1339.50,746066,57946,1025981467.00,293108,39.29,198.50,46.45
June-2014,1350.00,1524.45,1337.60,1468.05,622626,54959,913095334.00,157954,25.37,186.85,118.05
July-2014,1480.00,1510.00,1388.30,1394.50,483675,47694,699707568.00,106932,22.11,121.70,-85.50
August-2014,1390.00,1545.90,1360.00,1491.70,407395,39839,599978394.00,116371,28.56,185.90,101.70
September-2014,1499.00,1570.00,1388.00,1404.15,547101,48451,822955715.00,152605,27.89,182.00,-94.85
October-2014,1410.00,1510.00,1354.10,1500.90,435090,36186,626040792.00,181883,41.80,155.90,90.90
November-2014,1500.10,1531.70,1420.00,1470.35,348419,34660,515231623.00,118427,33.99,111.70,-29.75
December-2014,1478.00,1515.00,1362.35,1399.40,750933,46482,1066294964.00,422968,56.33,152.65,-78.60
January-2015,1400.00,1591.90,1337.90,1560.05,516159,59494,761824862.00,208905,40.47,254.00,160.05
February-2015,1560.00,1703.65,1484.30,1683.25,645371,84438,1021990582.00,170218,26.38,219.35,123.25
March-2015,1685.00,1774.80,1540.00,1560.60,460877,60430,750947501.00,125910,27.32,234.80,-124.40
April-2015,1567.00,1677.60,1432.00,1438.70,534693,66914,837598893.00,113181,21.17,245.60,-128.30
May-2015,1445.00,1541.80,1386.60,1514.55,568665,38397,841886671.00,250776,44.10,155.20,69.55
June-2015,1515.00,1532.40,1366.00,1440.65,435573,29174,622859012.00,130771,30.02,166.40,-74.35
July-2015,1450.00,1515.00,1351.00,1383.15,662989,40769,955826260.00,224554,33.87,164.00,-66.85
August-2015,1386.00,1452.00,1320.00,1334.55,714994,34319,984356115.00,326413,45.65,132.00,-51.45
September-2015,1330.00,1410.00,1303.05,1344.15,412451,28992,559433037.00,100058,24.26,106.95,14.15
October-2015,1359.95,1409.00,1330.00,1376.10,342752,26405,471429938.00,82883,24.18,79.00,16.15
November-2015,1376.15,1441.00,1302.00,1347.00,232920,18267,316792663.00,59437,25.52,139.00,-29.15
December-2015,1350.00,1373.70,1306.10,1359.55,224485,16505,300912416.00,82145,36.59,67.60,9.55
January-2016,1355.05,1382.00,1207.00,1240.40,264092,26133,335724643.00,94598,35.82,175.00,-114.65
February-2016,1245.05,1310.00,1173.25,1191.15,394180,33706,491737491.00,87729,22.26,136.75,-53.90
March-2016,1209.00,1399.00,1193.00,1380.30,553837,26589,705410424.00,307757,55.57,206.00,171.30
April-2016,1372.00,1481.45,1371.00,1443.00,327814,32144,469852738.00,65626,20.02,110.45,71.00
May-2016,1430.05,1580.00,1379.35,1531.80,411622,33925,601246364.00,148781,36.15,200.65,101.75
June-2016,1529.00,1619.00,1521.65,1613.65,443787,31173,695109619.00,180167,40.60,97.35,84.65
July-2016,1615.00,1717.15,1568.00,1689.95,776217,38093,1291506515.00,364238,46.92,149.15,74.95
August-2016,1695.00,1738.00,1587.95,1707.65,707083,32432,1186813801.00,342977,48.51,150.05,12.65
September-2016,1670.00,1715.00,1572.10,1594.95,485747,26996,803250373.00,133167,27.41,142.90,-75.05
October-2016,1608.00,1713.00,1510.20,1515.90,565745,29020,909338420.00,286602,50.66,202.80,-92.10
November-2016,1515.00,1538.00,1257.00,1342.60,9052586,49884,13733536324.00,7965401,87.99,281.00,-172.40
December-2016,1350.00,1387.85,1270.10,1328.40,253281,22295,334412230.00,66964,26.44,117.75,-21.60
January-2017,1335.00,1438.00,1315.60,1415.75,337797,27356,459574569.00,96712,28.63,122.40,80.75
February-2017,1424.90,1510.80,1401.40,1411.20,463114,32404,675627558.00,105193,22.71,109.40,-13.70
March-2017,1415.00,1449.00,1381.50,1446.15,539448,25070,761052492.00,288780,53.53,67.50,31.15
April-2017,1475.00,1646.90,1450.05,1624.95,579958,30512,897527037.00,116767,20.13,196.85,149.95
May-2017,1624.00,1753.85,1571.00,1636.35,726633,32765,1213544688.00,261230,35.95,182.85,12.35
June-2017,1632.05,1673.45,1541.55,1567.95,794298,23272,1291592182.00,187584,23.62,131.90,-64.10
July-2017,1576.55,1809.80,1568.00,1733.15,743517,47102,1271386824.00,212017,28.52,241.80,156.60
August-2017,1733.20,1842.00,1713.20,1800.80,553000,26228,991535045.00,184659,33.39,128.80,67.60
September-2017,1808.40,1869.00,1585.05,1654.15,469261,25096,816690587.00,136695,29.13,283.95,-154.25
October-2017,1647.00,1836.00,1635.50,1805.60,361486,21597,637497297.00,86181,23.84,200.50,158.60
November-2017,1818.00,1834.50,1662.00,1666.50,313384,16265,548831701.00,70123,22.38,172.50,-151.50
December-2017,1674.45,1770.85,1655.60,1757.90,656757,13623,1126553877.00,456667,69.53,115.25,83.45
January-2018,1760.50,1856.00,1702.00,1716.40,1000377,15405,1810493312.00,820151,81.98,154.00,-44.10
February-2018,1710.00,1745.15,1562.65,1625.80,327759,18787,539458088.00,65162,19.88,182.50,-84.20
March-2018,1620.00,1641.00,1503.30,1508.20,244297,13596,381532184.00,77054,31.54,137.70,-111.80
April-2018,1500.00,1621.50,1500.00,1583.50,289216,18142,451863799.00,92227,31.89,121.50,83.50
May-2018,1585.00,1594.50,1291.95,1356.20,485282,25272,669385379.00,225262,46.42,302.55,-228.80
June-2018,1360.80,1400.00,1261.00,1338.30,559565,27725,738312530.00,239611,42.82,139.00,-22.50
July-2018,1342.00,1551.25,1255.00,1527.15,1507091,60375,2168419329.00,290648,19.29,296.25,185.15
August-2018,1532.60,1670.00,1500.50,1638.90,587624,28368,930926141.00,122849,20.91,169.50,106.30
September-2018,1642.00,1676.00,1441.85,1550.50,572239,30165,897936894.00,90113,15.75,234.15,-91.50
October-2018,1555.15,1588.05,1322.20,1373.20,1958640,34989,2703247754.00,1163956,59.43,265.85,-181.95
November-2018,1384.00,1528.70,1378.05,1484.90,495391,19909,723851646.00,81404,16.43,150.65,100.90
December-2018,1491.20,1572.95,1369.70,1504.80,594695,28041,890040746.00,138682,23.32,203.25,13.60
January-2019,1519.00,1519.00,1339.00,1420.40,907022,25514,1304707095.00,450088,49.62,180.00,-98.60
February-2019,1421.75,1457.25,1325.00,1421.70,926178,29681,1291205947.00,351413,37.94,132.25,-0.05
March-2019,1418.00,1675.00,1418.00,1661.00,1212131,33041,1888518688.00,556205,45.89,257.00,243.00
April-2019,1670.00,1721.10,1570.85,1629.40,934870,41240,1539469317.00,133779,14.31,150.25,-40.60
May-2019,1630.00,1768.40,1540.85,1684.95,914111,29118,1498960552.00,156422,17.11,227.55,54.95
June-2019,1687.00,1736.75,1470.00,1561.65,943414,25414,1492385262.00,328535,34.82,266.75,-125.35
July-2019,1564.00,1647.30,1481.45,1559.65,1209652,42523,1906975190.00,162605,13.44,165.85,-4.35
August-2019,1565.00,1616.20,1442.00,1518.90,717298,32126,1097373819.00,103556,14.44,174.20,-46.10
September-2019,1508.00,1707.70,1423.05,1610.30,896155,35354,1386344997.00,142629,15.92,284.65,102.30
October-2019,1614.80,1625.85,1417.00,1568.80,739190,30911,1117430746.00,109449,14.81,208.85,-46.00
November-2019,1577.80,1590.00,1462.75,1521.70,1123070,29828,1693130332.00,481628,42.88,127.25,-56.10
December-2019,1521.70,1547.45,1401.85,1444.65,954658,22942,1393821198.00,274070,28.71,145.60,-77.05
January-2020,1452.40,1578.05,1431.65,1504.65,682031,29477,1029581146.00,127203,18.65,146.40,52.25
