Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2011,145.95,159.90,134.70,140.10,4316034,55485,633347439.00,1469782,34.05,25.20,-5.85
February-2011,139.90,150.90,120.90,138.40,3819190,48817,526597878.00,1650567,43.22,30.00,-1.50
March-2011,139.10,140.00,126.80,136.45,3734272,53542,501579425.00,1525825,40.86,13.20,-2.65
April-2011,136.90,158.00,136.90,144.35,5482949,43302,804600504.00,3264923,59.55,21.10,7.45
May-2011,144.35,163.60,125.25,160.85,8614444,113053,1250063789.00,2717388,31.54,38.35,16.50
June-2011,161.15,165.30,142.00,161.40,3923875,50104,613844555.00,1522090,38.79,23.30,0.25
July-2011,162.45,165.50,136.00,143.80,4744034,53672,733098347.00,1858521,39.18,29.50,-18.65
August-2011,145.80,152.90,128.00,152.15,10240165,63345,1426151424.00,7130856,69.64,24.90,6.35
September-2011,153.00,169.40,144.00,164.25,4776030,55304,749376996.00,2311369,48.40,25.40,11.25
October-2011,164.50,169.75,147.20,163.65,2135527,36869,334015356.00,783763,36.70,22.55,-0.85
November-2011,162.00,167.15,115.25,125.70,5848833,89426,804785660.00,2216463,37.90,51.90,-36.30
December-2011,129.00,133.80,117.60,120.55,4069478,50784,512101049.00,1737128,42.69,16.20,-8.45
January-2012,123.00,157.60,111.00,146.00,4152564,61850,563457386.00,1241972,29.91,46.60,23.00
February-2012,147.00,157.80,135.80,148.35,4849929,64668,711632425.00,1461463,30.13,22.00,1.35
March-2012,147.90,148.00,116.25,129.05,6532157,76859,855570768.00,2044021,31.29,31.75,-18.85
April-2012,129.90,137.20,123.00,127.45,2072870,30922,271665357.00,719312,34.70,14.20,-2.45
May-2012,128.00,129.90,109.80,123.00,2742575,42222,325022591.00,784194,28.59,20.10,-5.00
June-2012,123.00,127.30,112.25,121.20,2314703,26710,279421383.00,1158243,50.04,15.05,-1.80
July-2012,122.00,126.80,110.00,119.95,2234669,33262,263129121.00,912235,40.82,16.80,-2.05
August-2012,120.00,130.30,105.15,112.65,3462404,51283,407846288.00,1138483,32.88,25.15,-7.35
September-2012,112.00,128.45,110.10,127.35,3184741,42176,373167648.00,1105357,34.71,18.35,15.35
October-2012,129.00,135.00,117.80,126.60,5785520,47124,736562368.00,3221182,55.68,17.20,-2.40
November-2012,126.15,136.45,121.60,129.70,5092097,35542,652601562.00,3246370,63.75,14.85,3.55
December-2012,131.00,147.00,129.15,135.00,5282322,57493,731315610.00,1555239,29.44,17.85,4.00
January-2013,136.45,155.80,126.35,150.00,11000291,100391,1580312968.00,4755349,43.23,29.45,13.55
February-2013,151.55,162.40,132.15,138.55,7845773,111051,1184705652.00,2371000,30.22,30.25,-13.00
March-2013,139.75,147.75,119.45,138.75,4418384,44344,598195288.00,2202288,49.84,28.30,-1.00
April-2013,140.00,154.50,137.75,145.05,3040731,41047,443634931.00,702614,23.11,16.75,5.05
May-2013,145.00,175.00,144.50,151.85,7443863,80702,1181901760.00,2438397,32.76,30.50,6.85
June-2013,152.00,160.35,136.50,149.75,36311739,53611,5453871481.00,32458423,89.39,23.85,-2.25
July-2013,150.55,154.70,119.00,125.40,2165599,43855,310821463.00,770095,35.56,35.70,-25.15
August-2013,127.00,149.70,118.00,125.55,4540048,89252,596347353.00,982616,21.64,31.70,-1.45
September-2013,126.00,143.50,118.00,138.45,2104081,42876,277586084.00,561960,26.71,25.50,12.45
October-2013,139.00,164.30,136.95,145.65,8357990,68637,1258161628.00,5341858,63.91,27.35,6.65
November-2013,145.00,162.40,140.95,158.05,8690506,88266,1348434579.00,4885199,56.21,21.45,13.05
December-2013,158.10,169.00,151.35,155.30,6172783,80231,989218484.00,2446697,39.64,17.65,-2.80
January-2014,155.85,159.30,141.00,146.55,3519131,52027,524254725.00,1197077,34.02,18.30,-9.30
February-2014,146.55,170.65,142.00,167.25,2883351,62547,454953705.00,937320,32.51,28.65,20.70
March-2014,168.30,192.85,167.55,187.50,4626498,68822,840953990.00,1786785,38.62,25.30,19.20
April-2014,188.65,213.00,174.85,188.30,13348873,274205,2613929280.00,2717726,20.36,38.15,-0.35
May-2014,190.00,244.50,182.40,225.85,23095710,467205,5040015808.00,5577971,24.15,62.10,35.85
June-2014,228.10,261.45,220.00,243.50,11286245,245599,2700720990.00,3242683,28.73,41.45,15.40
July-2014,245.00,294.05,242.80,260.70,19005553,415176,5157624997.00,3719584,19.57,51.25,15.70
August-2014,257.90,302.00,255.60,282.85,9440090,185797,2620297670.00,2616417,27.72,46.40,24.95
September-2014,285.00,301.80,261.25,277.95,6493399,149218,1856618814.00,1754964,27.03,40.55,-7.05
October-2014,278.00,287.00,244.00,284.55,4579392,95315,1213517616.00,1544577,33.73,43.00,6.55
November-2014,287.00,308.90,283.30,290.30,5445468,131877,1619928152.00,1039514,19.09,25.60,3.30
December-2014,290.00,320.00,266.55,318.45,5455321,140226,1586287426.00,1276060,23.39,53.45,28.45
January-2015,319.00,352.60,315.55,340.50,7980781,192299,2667632506.00,2522263,31.60,37.05,21.50
February-2015,341.45,357.95,292.10,330.50,7876357,198003,2559788371.00,2321479,29.47,65.85,-10.95
March-2015,330.20,349.00,295.50,308.05,6346947,150213,2003680053.00,2784553,43.87,53.50,-22.15
April-2015,308.70,333.70,298.70,317.60,3328382,104308,1058994357.00,912020,27.40,35.00,8.90
May-2015,324.00,354.65,315.40,323.65,4857708,98101,1642801721.00,1566105,32.24,39.25,-0.35
June-2015,323.00,324.50,288.10,307.90,7569909,115085,2331490493.00,1744019,23.04,36.40,-15.10
July-2015,306.15,334.75,306.15,324.05,3994891,75472,1285611788.00,1435402,35.93,28.60,17.90
August-2015,326.00,374.70,320.00,354.50,7925678,124113,2751401327.00,3175577,40.07,54.70,28.50
September-2015,344.90,354.70,293.40,299.35,5366152,101086,1716232598.00,1752117,32.65,61.30,-45.55
October-2015,302.20,330.75,294.15,295.55,4315507,82920,1354417769.00,1523121,35.29,36.60,-6.65
November-2015,294.00,302.65,261.75,268.20,7865175,91001,2171984917.00,3968757,50.46,40.90,-25.80
December-2015,268.50,269.10,239.00,260.60,5303749,82248,1359654787.00,1610126,30.36,30.10,-7.90
January-2016,260.45,268.20,207.15,212.70,6041599,95370,1381092764.00,1812081,29.99,61.05,-47.75
February-2016,212.70,224.00,169.65,196.10,8631668,96251,1738701527.00,2937700,34.03,54.35,-16.60
March-2016,196.10,249.80,196.10,247.70,5301234,86384,1228630874.00,1644898,31.03,53.70,51.60
April-2016,247.50,249.75,214.95,238.25,5280875,83807,1223220664.00,2102476,39.81,34.80,-9.25
May-2016,238.25,242.20,170.15,192.60,23064530,234072,4479522555.00,9384609,40.69,72.05,-45.65
June-2016,192.00,211.90,192.00,206.70,8541697,103907,1741536843.00,2314717,27.10,19.90,14.70
July-2016,207.00,233.00,204.00,231.95,12026089,106655,2635445277.00,5514493,45.85,29.00,24.95
August-2016,231.95,279.40,221.50,262.70,11300600,137339,2868525190.00,1797800,15.91,57.90,30.75
September-2016,262.70,277.70,249.55,256.75,6999313,70369,1876239695.00,1461459,20.88,28.15,-5.95
October-2016,259.95,317.00,248.60,305.25,9410799,108192,2700950775.00,2367718,25.16,68.40,45.30
November-2016,305.10,308.30,246.00,277.75,5923796,81155,1642969403.00,1157068,19.53,62.30,-27.35
December-2016,278.00,291.90,257.25,268.10,4195850,61957,1153208069.00,735045,17.52,34.65,-9.90
January-2017,271.90,308.95,267.20,293.40,4573926,75972,1338606302.00,973708,21.29,41.75,21.50
February-2017,295.00,315.80,294.00,301.75,5242176,69519,1595154493.00,1357555,25.90,21.80,6.75
March-2017,302.00,342.00,291.75,339.80,9705336,83535,3085109886.00,5138114,52.94,50.25,37.80
April-2017,338.10,358.00,318.10,326.90,6692814,66377,2241879124.00,1915850,28.63,39.90,-11.20
May-2017,327.20,361.60,324.45,338.95,7979973,80255,2730416131.00,2339328,29.31,37.15,11.75
June-2017,339.00,377.75,338.45,362.45,8138924,63337,2932420143.00,3587655,44.08,39.30,23.45
July-2017,364.50,398.40,360.00,396.35,4625793,41811,1759086054.00,2051452,44.35,38.40,31.85
August-2017,398.75,421.60,361.00,392.45,3863457,39582,1511224207.00,1128827,29.22,60.60,-6.30
September-2017,395.00,414.30,364.00,376.20,12171388,46564,4855014405.00,8650105,71.07,50.30,-18.80
October-2017,376.50,438.45,375.65,430.30,9412158,41124,3816938467.00,6216352,66.05,62.80,53.80
November-2017,432.90,443.35,392.00,398.85,9914267,42941,4209301370.00,6010201,60.62,51.35,-34.05
December-2017,399.00,414.35,374.30,404.65,5974249,38945,2356206419.00,2289839,38.33,40.05,5.65
January-2018,405.95,451.55,394.50,428.45,5793545,57133,2461287536.00,1557093,26.88,57.05,22.50
February-2018,427.10,432.90,387.40,408.25,3598963,43592,1475345229.00,601677,16.72,45.50,-18.85
March-2018,408.55,413.30,350.20,354.65,7217117,48294,2697638857.00,4102420,56.84,63.10,-53.90
April-2018,354.20,410.80,354.20,406.45,3372997,48903,1290453408.00,508198,15.07,56.60,52.25
May-2018,407.10,418.00,365.00,392.20,13371928,33415,5221187170.00,11032033,82.50,53.00,-14.90
June-2018,389.00,394.95,356.00,372.00,90868614,40726,33647952722.00,86014306,94.66,38.95,-17.00
July-2018,372.00,404.00,356.10,400.10,4479534,43830,1717619719.00,1527618,34.10,47.90,28.10
August-2018,402.60,406.35,368.00,383.35,4415897,54123,1694080334.00,637515,14.44,38.35,-19.25
September-2018,384.00,397.00,320.75,328.45,7306000,79925,2691797157.00,781179,10.69,76.25,-55.55
October-2018,329.00,340.00,293.95,319.10,7873443,83661,2501588791.00,1796560,22.82,46.05,-9.90
November-2018,324.00,374.40,314.30,365.90,11790204,61491,3993663795.00,6054685,51.35,60.10,41.90
December-2018,366.00,390.00,348.50,387.35,5470162,52958,2024302882.00,618476,11.31,41.50,21.35
January-2019,387.20,402.60,299.80,339.85,7459641,70483,2714054872.00,2783635,37.32,102.80,-47.35
February-2019,342.00,359.00,316.00,325.35,13115039,70161,4347116496.00,7153963,54.55,43.00,-16.65
March-2019,328.50,385.90,327.20,378.00,3284698,32901,1167356991.00,684853,20.85,58.70,49.50
April-2019,382.00,397.00,373.35,392.00,2954835,29400,1140479203.00,1373392,46.48,23.65,10.00
May-2019,390.00,430.00,359.30,414.85,5737630,75902,2301037661.00,859792,14.99,70.70,24.85
June-2019,415.10,429.60,389.70,410.00,3372939,38258,1408209847.00,696325,20.64,39.90,-5.10
July-2019,412.00,421.50,369.00,377.55,1764173,31709,708651466.00,327665,18.57,52.50,-34.45
August-2019,378.00,395.05,339.80,365.50,2046377,31496,748521934.00,324640,15.86,55.25,-12.50
September-2019,360.20,420.50,356.85,413.70,2126208,45293,827114747.00,578851,27.22,63.65,53.50
October-2019,415.30,428.95,390.70,395.55,6034901,42668,2421981108.00,4597472,76.18,38.25,-19.75
November-2019,396.50,405.00,361.70,382.15,33522893,82936,12633920016.00,23268593,69.41,43.30,-14.35
December-2019,381.00,383.55,357.60,365.95,4112927,45580,1524794171.00,2122978,51.62,25.95,-15.05
January-2020,367.75,394.50,366.15,369.15,3632845,55896,1388821776.00,1454091,40.03,28.35,1.40
February-2020,379.00,379.00,339.25,342.55,1265807,29653,462171552.00,245673,19.41,39.75,-36.45
