Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2018,478.00,479.95,333.95,361.25,448523,10424,180011208.00,448523,100.00,146.00,-116.75
February-2018,366.90,366.90,275.75,303.95,1004000,31796,317420106.00,326473,32.52,91.15,-62.95
March-2018,303.90,309.40,243.65,245.70,294341,8279,81851565.00,147686,50.18,65.75,-58.20
April-2018,246.45,268.55,226.30,227.80,430348,7668,110049881.00,197105,45.80,42.25,-18.65
May-2018,229.75,235.00,184.10,196.00,229867,7324,47631793.00,91093,39.63,50.90,-33.75
June-2018,197.00,197.00,149.00,154.45,94507,3309,16806005.00,41911,44.35,48.00,-42.55
July-2018,156.65,171.90,127.00,157.15,138720,4045,20697489.00,55873,40.28,44.90,0.50
August-2018,157.15,174.70,136.50,161.05,170621,4934,27570376.00,70147,41.11,38.20,3.90
September-2018,161.20,163.40,122.05,127.15,69723,2250,9709541.00,37051,53.14,41.35,-34.05
October-2018,123.60,131.00,100.20,121.60,94423,3121,10961920.00,39591,41.93,30.80,-2.00
November-2018,125.00,142.80,120.55,125.85,70746,1932,9313416.00,28056,39.66,22.25,0.85
December-2018,126.85,132.00,115.70,122.40,57259,1119,7069910.00,30246,52.82,16.30,-4.45
January-2019,122.70,128.00,112.00,115.70,35312,1234,4283429.00,16816,47.62,16.00,-7.00
February-2019,113.45,114.00,94.30,100.25,35324,970,3609896.00,20597,58.31,19.70,-13.20
March-2019,102.85,115.15,100.20,104.20,49398,1398,5305591.00,32026,64.83,14.95,1.35
April-2019,106.70,148.30,105.90,120.10,351764,9787,48172758.00,114542,32.56,42.40,13.40
May-2019,119.00,151.60,115.90,130.80,251839,6414,34257591.00,107223,42.58,35.70,11.80
June-2019,133.00,133.15,113.20,121.10,56757,1605,6861353.00,31902,56.21,19.95,-11.90
July-2019,120.50,126.50,86.25,89.85,54975,1954,5729622.00,34387,62.55,40.25,-30.65
August-2019,87.30,92.75,70.30,72.25,45037,2238,3623139.00,29338,65.14,22.45,-15.05
September-2019,72.25,98.25,69.95,76.90,114830,4544,10016827.00,49830,43.39,28.30,4.65
October-2019,76.90,77.35,65.15,71.80,72978,2963,5090313.00,50815,69.63,12.20,-5.10
November-2019,73.95,99.80,66.90,70.25,218471,5639,17793009.00,105809,48.43,32.90,-3.70
December-2019,71.30,80.00,65.00,73.55,100525,4835,7275698.00,53816,53.53,15.00,2.25
January-2020,73.90,83.00,72.75,73.60,61515,3555,4769311.00,36285,58.99,10.25,-0.30
February-2020,83.00,91.00,72.50,73.10,172956,5772,14395143.00,80749,46.69,18.50,-9.90
March-2020,76.00,77.75,40.00,44.70,897817,2961,53559316.00,811287,90.36,37.75,-31.30
April-2020,44.90,71.70,43.20,70.85,106731,5029,6568544.00,48671,45.60,28.50,25.95
May-2020,71.00,95.70,68.10,83.90,605265,16691,50995019.00,243451,40.22,27.60,12.90
June-2020,86.90,120.05,82.60,104.15,800787,22431,86342718.00,376947,47.07,37.45,17.25
July-2020,108.60,142.70,101.60,123.20,1799766,44154,223974837.00,772527,42.92,41.10,14.60
August-2020,123.20,134.00,119.90,121.15,684273,18216,87939057.00,351155,51.32,14.10,-2.05
September-2020,113.00,131.75,105.30,114.30,280280,10589,33691665.00,149919,53.49,26.45,1.30
October-2020,115.75,117.50,104.50,105.00,104035,4340,11539524.00,66984,64.39,13.00,-10.75
November-2020,104.70,123.90,97.00,117.50,299320,10349,34133382.00,161553,53.97,26.90,12.80
December-2020,116.35,134.70,108.30,123.95,346676,12192,43790830.00,194848,56.20,26.40,7.60
January-2021,123.70,155.20,117.50,121.20,848354,21447,119230766.00,297428,35.06,37.70,-2.50
February-2021,123.65,126.50,94.65,108.05,488268,11160,56667649.00,265264,54.33,31.85,-15.60
March-2021,112.00,118.40,89.00,91.25,1088940,26153,114491769.00,319727,29.36,29.40,-20.75
April-2021,93.00,110.45,86.00,102.85,734365,15085,73649587.00,292833,39.88,24.45,9.85
May-2021,104.40,122.75,99.30,109.75,833344,23582,94057420.00,419245,50.31,23.45,5.35
June-2021,110.85,124.55,109.30,114.30,630191,17864,73507130.00,347628,55.16,15.25,3.45
July-2021,119.00,126.00,111.00,115.90,864538,25438,102574197.00,348888,40.36,15.00,-3.10
August-2021,116.45,132.15,98.50,112.40,918840,29786,108799417.00,381498,41.52,33.65,-4.05
September-2021,113.50,130.60,111.10,116.60,537107,17103,65259370.00,287984,53.62,19.50,3.10
October-2021,118.00,128.00,112.00,118.45,455123,16389,55562879.00,250891,55.13,16.00,0.45
