Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2011,93.65,97.75,76.60,80.00,8958,161,819468.00,3014,33.65,21.15,-13.65
February-2011,85.00,85.00,61.55,65.00,8288,170,598594.00,7332,88.47,23.45,-20.00
March-2011,65.00,79.95,59.00,62.55,44977,226,2888156.00,44114,98.08,20.95,-2.45
April-2011,64.00,82.90,63.00,65.30,21290,167,1524330.00,20151,94.65,19.90,1.30
May-2011,55.50,68.90,55.50,59.90,4438,95,277651.00,3453,77.81,13.40,4.40
June-2011,62.00,63.95,48.25,60.00,3251,53,197419.00,2276,70.01,15.70,-2.00
July-2011,59.90,60.95,54.25,57.00,3639,76,208443.00,3231,88.79,6.70,-2.90
August-2011,54.50,56.00,39.00,39.00,791,24,37815.00,687,86.85,17.00,-15.50
September-2011,40.95,72.00,37.25,72.00,54489,97,2131282.00,53355,97.92,34.75,31.05
October-2011,69.00,70.95,58.00,58.00,7019,37,462084.00,6906,98.39,12.95,-11.00
November-2011,56.05,60.90,47.50,47.50,1772,39,93831.00,1638,92.44,13.40,-8.55
December-2011,45.70,52.65,42.80,45.10,508,25,23724.00,496,97.64,9.85,-0.60
January-2012,42.85,51.60,38.30,44.90,4527,72,205209.00,4524,99.93,13.30,2.05
February-2012,47.10,53.90,44.75,49.90,4715,72,231293.00,4614,97.86,9.15,2.80
March-2012,51.95,52.90,44.00,48.65,7832,46,370613.00,1292,16.50,8.90,-3.30
April-2012,44.50,49.90,41.00,45.00,2502,15,118332.00,502,20.06,8.90,0.50
May-2012,48.70,49.50,42.05,44.00,3214,45,147564.00,1904,59.24,7.45,-4.70
June-2012,45.70,47.30,41.20,44.95,2856,21,128012.00,850,29.76,6.10,-0.75
July-2012,43.10,49.70,43.10,47.40,2007,34,93245.00,1107,55.16,6.60,4.30
August-2012,45.05,46.90,41.00,41.60,1747,19,77033.00,1634,93.53,5.90,-3.45
September-2012,39.55,43.45,37.80,43.00,6407,59,259277.00,6047,94.38,5.65,3.45
October-2012,44.85,59.20,41.00,56.00,31165,269,1642094.00,23640,75.85,18.20,11.15
November-2012,53.25,54.95,44.60,45.50,11226,86,554927.00,10908,97.17,10.35,-7.75
December-2012,45.00,51.40,42.80,51.05,4093,40,188958.00,3623,88.52,8.60,6.05
January-2013,53.50,56.90,50.20,54.65,5909,59,309582.00,5529,93.57,6.70,1.15
February-2013,51.95,51.95,46.95,50.75,32,8,1603.00,12,37.50,5.00,-1.20
March-2013,51.00,51.20,44.75,44.75,35286,9,1714862.00,35276,99.97,6.45,-6.25
April-2013,43.00,44.60,42.55,44.60,235,12,10180.00,235,100.00,2.05,1.60
June-2013,44.60,44.60,44.60,44.60,11,2,490.00,11,100.00,0.00,0.00
July-2013,46.75,46.75,46.75,46.75,2,1,93.00,2,100.00,0.00,0.00
August-2013,49.05,58.00,49.05,57.50,31,15,1671.00,31,100.00,8.95,8.45
October-2013,54.65,54.65,51.95,51.95,510,3,27844.00,510,100.00,2.70,-2.70
November-2013,49.40,49.40,38.00,38.00,280,10,11603.00,280,100.00,11.40,-11.40
December-2013,36.15,36.15,28.25,28.25,428,12,12750.00,428,100.00,7.90,-7.90
January-2014,26.85,28.00,21.50,23.15,1893,12,45421.00,1893,100.00,6.50,-3.70
February-2014,24.30,26.75,24.30,25.00,1115,19,28816.00,1115,100.00,2.45,0.70
March-2014,26.25,26.25,21.15,22.20,7083,52,158045.00,7083,100.00,5.10,-4.05
April-2014,23.30,35.70,23.30,35.70,3404,73,109757.00,3508,103.06,12.40,12.40
May-2014,34.00,35.05,33.40,35.05,1612,17,54862.00,1612,100.00,1.65,1.05
June-2014,35.00,44.10,35.00,44.10,7205,75,266922.00,7205,100.00,9.10,9.10
July-2014,46.30,48.95,37.50,39.65,8281,276,360711.00,8281,100.00,11.45,-6.65
August-2014,37.70,42.20,36.05,39.10,77158,74,2915029.00,77031,99.84,6.15,1.40
September-2014,37.25,43.00,32.55,42.50,15153,283,598520.00,7529,49.69,10.45,5.25
October-2014,42.60,54.90,37.35,46.35,12954,535,543783.00,7688,59.35,17.55,3.75
November-2014,53.00,77.00,39.15,59.95,27130,1039,1780433.00,19801,72.99,37.85,6.95
December-2014,54.20,67.95,49.15,64.00,9307,255,578950.00,8382,90.06,18.80,9.80
January-2015,65.00,65.00,52.55,61.00,4558,147,272222.00,4037,88.57,12.45,-4.00
February-2015,61.00,64.70,51.15,54.45,6551,101,387671.00,6164,94.09,13.55,-6.55
March-2015,64.70,64.70,43.15,47.00,3536,250,185782.00,2788,78.85,21.55,-17.70
April-2015,44.00,52.50,40.35,47.80,22051,94,1040860.00,1803,8.18,12.15,3.80
May-2015,48.95,55.00,37.75,39.00,67238,149,2789340.00,65417,97.29,17.25,-9.95
June-2015,40.00,48.95,32.90,40.50,6074,152,253310.00,3367,55.43,16.05,0.50
July-2015,44.45,47.80,38.10,44.00,11100,173,455292.00,8734,78.68,9.70,-0.45
August-2015,43.00,46.00,36.10,43.00,6631,95,275217.00,4742,71.51,9.90,0.00
September-2015,37.35,42.80,32.55,36.40,3661,106,131308.00,2302,62.88,10.25,-0.95
October-2015,36.95,42.90,31.00,36.40,5798,131,198267.00,4611,79.53,11.90,-0.55
