Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2011,2898.00,2948.80,2485.00,2569.25,421961,10482,1111771128.00,343426,81.39,463.80,-328.75
February-2011,2570.00,2625.00,2395.05,2405.50,494889,11646,1246018937.00,419196,84.71,229.95,-164.50
March-2011,2418.00,2646.95,2400.40,2526.95,133653,11559,338696825.00,59650,44.63,246.55,108.95
April-2011,2530.05,2780.00,2462.05,2773.75,182295,9783,482301821.00,124536,68.32,317.95,243.70
May-2011,2784.45,3203.00,2643.00,3139.20,370158,25632,1084648437.00,166755,45.05,560.00,354.75
June-2011,3130.00,3230.00,2908.05,3180.55,365437,18158,1141563755.00,227646,62.29,321.95,50.55
July-2011,3180.00,3365.95,3067.05,3125.80,148391,14469,473752291.00,37268,25.11,298.90,-54.20
August-2011,3150.00,3338.15,3000.65,3287.15,319337,14676,1003252033.00,232130,72.69,337.50,137.15
September-2011,3325.00,3329.95,3001.40,3149.40,87752,9841,276621482.00,35372,40.31,328.55,-175.60
October-2011,3150.00,3204.00,2998.00,3151.15,94079,12477,292079528.00,39396,41.88,206.00,1.15
November-2011,3149.90,3260.00,2825.00,2881.00,92516,12208,281257829.00,40104,43.35,435.00,-268.90
December-2011,2890.05,2965.00,2551.05,2594.95,216503,16363,592525167.00,145458,67.19,413.95,-295.10
January-2012,2580.00,3038.00,2555.90,2987.25,121465,11574,344522982.00,64110,52.78,482.10,407.25
February-2012,2990.00,3195.00,2898.00,3169.90,142714,13327,439679803.00,82040,57.49,297.00,179.90
March-2012,3165.10,3332.50,3004.00,3237.75,187736,14904,591518229.00,98530,52.48,328.50,72.65
April-2012,3239.00,3550.00,3225.00,3523.05,171651,17972,581841464.00,84918,49.47,325.00,284.05
May-2012,3506.45,4170.00,3479.70,4034.65,246965,27987,913282654.00,81267,32.91,690.30,528.20
June-2012,4020.00,4020.00,3661.10,3881.85,173154,23514,662017631.00,54766,31.63,358.90,-138.15
July-2012,3883.50,3965.00,3447.90,3637.05,319526,37071,1190591983.00,138793,43.44,517.10,-246.45
August-2012,3622.40,3815.00,3591.05,3653.35,116984,16813,432895468.00,43548,37.23,223.95,30.95
September-2012,3654.00,4015.00,3616.10,3936.50,245342,15969,951109755.00,175585,71.57,398.90,282.50
October-2012,3955.00,3959.90,3775.10,3868.90,107222,13658,417868344.00,43809,40.86,184.80,-86.10
November-2012,3869.25,4375.00,3835.05,4327.55,170940,24685,700148317.00,67375,39.41,539.95,458.30
December-2012,4338.90,4494.00,4225.00,4420.25,108163,15189,471191395.00,46670,43.15,269.00,81.35
January-2013,4420.00,4565.55,4263.00,4502.05,209873,23093,924294540.00,99953,47.63,302.55,82.05
February-2013,4510.00,4670.00,4252.10,4290.45,188150,15853,851540346.00,119214,63.36,417.90,-219.55
March-2013,4300.00,5047.00,4278.10,4914.40,267941,33026,1291696659.00,128351,47.90,768.90,614.40
April-2013,4906.95,4974.50,4460.00,4681.75,356696,23943,1687442331.00,124239,34.83,514.50,-225.20
May-2013,4717.90,4952.00,4590.50,4864.20,258321,34241,1233951465.00,81800,31.67,361.50,146.30
