Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2011,1357.25,1377.00,1196.00,1246.75,5365068,170942,6921028984.00,1607884,29.97,181.00,-110.50
February-2011,1250.50,1341.00,1149.00,1223.90,3320452,126264,4123758054.00,630725,19.00,192.00,-26.60
March-2011,1233.00,1443.70,1233.00,1403.65,3960189,137343,5238412289.00,799951,20.20,210.70,170.65
April-2011,1403.10,1460.55,1270.00,1286.00,3409114,123388,4720017860.00,814109,23.88,190.55,-117.10
May-2011,1298.70,1299.75,1175.60,1278.60,4472544,171085,5506166441.00,1115088,24.93,124.15,-20.10
June-2011,1276.10,1316.00,1201.10,1289.00,2788711,106775,3488130875.00,660481,23.68,114.90,12.90
July-2011,1309.00,1342.00,1023.40,1338.15,2767203,107179,3580145806.00,686869,24.82,318.60,29.15
August-2011,1345.00,1367.10,992.10,1075.00,4822153,192788,5492437945.00,919458,19.07,375.00,-270.00
September-2011,1101.00,1159.90,1015.10,1021.45,4905042,193085,5377584178.00,809481,16.50,144.80,-79.55
October-2011,1006.00,1194.00,946.35,1159.70,4756347,188463,5118457318.00,1088003,22.87,247.65,153.70
November-2011,1152.40,1155.90,921.10,947.50,5291580,185763,5336652946.00,1225726,23.16,234.80,-204.90
December-2011,983.20,1052.00,803.00,806.75,7806099,286680,7090883702.00,1504323,19.27,249.00,-176.45
January-2012,812.00,1090.00,784.50,1074.20,8016182,301334,7585635702.00,1577223,19.68,305.50,262.20
February-2012,1074.00,1309.00,1053.00,1178.05,5805835,250539,6780751544.00,903288,15.56,256.00,104.05
March-2012,1175.00,1284.00,1095.10,1145.90,6182782,244354,7330413318.00,970152,15.69,188.90,-29.10
April-2012,1146.00,1226.00,1075.90,1106.60,4538108,177441,5240506706.00,775734,17.09,150.10,-39.40
May-2012,1111.55,1127.00,922.00,971.55,5952157,240980,5899276455.00,1026219,17.24,205.00,-140.00
June-2012,970.00,1072.00,944.30,1015.80,31701775,253359,30750944110.00,20549868,64.82,127.70,45.80
July-2012,1021.00,1081.80,993.10,1042.70,5423402,194560,5643223677.00,1013923,18.70,88.70,21.70
August-2012,1046.00,1121.90,990.00,999.90,3969157,146926,4233282976.00,808924,20.38,131.90,-46.10
September-2012,1001.00,1175.00,926.90,1136.75,7260766,249296,7486156389.00,1732509,23.86,248.10,135.75
October-2012,1136.00,1246.40,1080.00,1183.65,5419132,183901,6323433108.00,953893,17.60,166.40,47.65
November-2012,1184.00,1324.00,1176.95,1316.35,3199163,95905,3972619624.00,885629,27.68,147.05,132.35
December-2012,1309.00,1377.00,1303.20,1356.50,4714099,94250,6306083229.00,2562952,54.37,73.80,47.50
January-2013,1370.00,1515.00,1344.00,1505.20,4462529,147012,6377974955.00,1444749,32.38,171.00,135.20
February-2013,1495.00,1519.00,1334.00,1343.30,2179207,76521,3151589255.00,503435,23.10,185.00,-151.70
March-2013,1344.00,1426.65,1276.00,1301.25,3627557,123768,4852946803.00,1010576,27.86,150.65,-42.75
April-2013,1301.00,1518.60,1195.00,1493.10,3837411,141989,5228084184.00,778684,20.29,323.60,192.10
May-2013,1484.55,1549.00,1411.80,1430.65,4039689,133702,5970479887.00,1216751,30.12,137.20,-53.90
June-2013,1430.00,1444.45,1209.40,1323.05,3071681,158254,4020427991.00,710922,23.14,235.05,-106.95
July-2013,1326.00,1358.30,1017.30,1034.45,3945254,219118,4714999728.00,739988,18.76,341.00,-291.55
August-2013,1043.00,1163.00,785.60,835.75,8669533,403866,8268067177.00,1373686,15.84,377.40,-207.25
September-2013,846.55,1173.70,764.00,1007.30,13214614,568427,12847961561.00,2518111,19.06,409.70,160.75
October-2013,1015.00,1260.00,1012.70,1222.90,10535096,415956,11820574377.00,3250754,30.86,247.30,207.90
November-2013,1226.00,1257.00,1011.65,1155.30,6134758,278958,6902942836.00,1199624,19.55,245.35,-70.70
December-2013,1164.00,1340.50,1160.50,1299.65,4605521,201092,5803221921.00,857037,18.61,180.00,135.65
January-2014,1303.05,1324.60,1105.80,1119.55,8150837,303111,9677969613.00,3705887,45.47,218.80,-183.50
February-2014,1117.00,1269.00,1083.40,1265.90,2840497,136164,3301167250.00,481835,16.96,185.60,148.90
March-2014,1260.00,1474.80,1247.30,1460.45,57027208,358039,75681176636.00,43308186,75.94,227.50,200.45
April-2014,1465.00,1555.00,1353.40,1519.20,2883784,190238,4294738348.00,437842,15.18,201.60,54.20
May-2014,1522.00,1927.30,1519.95,1836.15,4117758,294216,7117552993.00,782574,19.00,407.35,314.15
June-2014,1834.80,1990.00,1750.00,1921.40,2763402,211298,5221752783.00,428117,15.49,240.00,86.60
July-2014,1925.00,2042.95,390.40,391.85,3977470,220781,5099606157.00,1070775,26.92,1652.55,-1533.15
August-2014,389.00,407.40,369.20,397.30,6626712,222394,2580300944.00,1929756,29.12,38.20,8.30
September-2014,399.00,423.70,370.60,377.80,7541226,217182,3028343923.00,2276962,30.19,53.10,-21.20
October-2014,377.00,440.00,370.15,438.75,7486105,180545,3010313144.00,2897999,38.71,69.85,61.75
November-2014,441.00,485.50,438.00,481.05,9291600,226791,4366959080.00,3555724,38.27,47.50,40.05
December-2014,483.00,506.00,464.60,502.05,6779349,205712,3326274849.00,1625566,23.98,41.40,19.05
January-2015,502.00,604.00,488.25,588.70,10637111,346411,5722377793.00,2366159,22.24,115.75,86.70
February-2015,588.70,625.90,542.10,613.40,16609109,515364,9502287978.00,3458624,20.82,83.80,24.70
March-2015,627.00,655.35,526.30,560.40,17928572,540661,10544123286.00,3656717,20.40,129.05,-66.60
April-2015,557.80,582.00,507.20,567.85,17928185,491570,9837617782.00,6070321,33.86,74.80,10.05
May-2015,571.00,587.00,523.45,585.25,13457609,255231,7489487601.00,4704421,34.96,63.55,14.25
June-2015,586.00,589.45,538.50,558.65,17326854,239155,9623541912.00,9506969,54.87,50.95,-27.35
July-2015,559.00,613.40,550.40,573.75,21619494,233288,12391210932.00,12793876,59.18,63.00,14.75
August-2015,575.00,589.65,476.25,506.70,14417846,251032,7604434001.00,5631175,39.06,113.40,-68.30
September-2015,501.00,535.00,447.50,495.55,15827859,297534,7809774507.00,3630448,22.94,87.50,-5.45
October-2015,502.90,532.45,465.20,474.95,17716543,270296,8859331295.00,7876703,44.46,67.25,-27.95
November-2015,477.00,487.35,446.00,468.85,12574083,189557,5909691628.00,4518310,35.93,41.35,-8.15
December-2015,470.10,471.00,429.05,449.50,12809542,202577,5734925304.00,4579177,35.75,41.95,-20.60
January-2016,450.00,452.70,366.65,408.15,20235563,327868,8237033841.00,6909669,34.15,86.05,-41.85
February-2016,410.00,422.40,373.30,375.25,46568739,305283,18160900079.00,32841956,70.52,49.10,-34.75
March-2016,379.50,448.60,379.50,444.55,13667474,211073,5760962760.00,4458772,32.62,69.10,65.05
April-2016,443.65,484.60,417.55,472.25,16878439,219759,7697114742.00,7216116,42.75,67.05,28.60
May-2016,475.00,525.00,458.60,515.60,15853104,203762,7854747273.00,8779241,55.38,66.40,40.60
June-2016,525.00,549.20,493.00,533.45,14354111,192596,7494120855.00,6901325,48.08,56.20,8.45
July-2016,535.00,576.85,515.00,546.05,14943959,196710,8237788696.00,8161895,54.62,61.85,11.05
August-2016,546.00,601.70,541.00,595.65,14752578,191910,8430385734.00,8326017,56.44,60.70,49.65
September-2016,596.00,638.00,524.00,541.85,16395850,212596,9556985717.00,8167959,49.82,114.00,-54.15
October-2016,543.95,552.95,477.50,487.80,13771770,208764,7144532977.00,5053220,36.69,75.45,-56.15
November-2016,488.10,512.90,455.00,469.75,12665567,215406,6067532133.00,3519877,27.79,57.90,-18.35
December-2016,474.95,480.25,427.00,450.00,9783760,167395,4466550826.00,2541789,25.98,53.25,-24.95
January-2017,451.00,491.65,424.60,465.90,10453702,171411,4824625880.00,3146348,30.10,67.05,14.90
February-2017,465.90,529.80,460.50,506.15,10653675,135156,5283922265.00,3531314,33.15,69.30,40.25
March-2017,511.50,525.70,483.05,490.80,35411819,169450,17771191046.00,28636905,80.87,42.65,-20.70
April-2017,495.00,525.00,481.00,509.60,10586435,117274,5361655388.00,3827225,36.15,44.00,14.60
May-2017,509.50,534.35,490.10,514.20,11786508,117187,6019223191.00,3643358,30.91,44.25,4.70
June-2017,514.00,525.00,484.75,516.10,6428613,62586,3276995446.00,2652086,41.25,40.25,2.10
July-2017,517.00,547.00,501.45,518.85,8718985,103879,4550516841.00,3244646,37.21,45.55,1.85
August-2017,518.00,523.40,480.25,500.65,20951059,75188,10472474753.00,16421889,78.38,43.15,-17.35
September-2017,501.00,525.65,488.30,508.80,4779223,68584,2427021891.00,1444081,30.22,37.35,7.80
October-2017,509.00,534.40,447.80,523.05,15948117,182671,7804453262.00,6468174,40.56,86.60,14.05
November-2017,525.00,565.40,523.05,536.00,13443794,122071,7330320810.00,4604932,34.25,42.35,11.00
December-2017,537.50,566.00,528.00,562.40,7504786,41537,4111613354.00,3553909,47.36,38.00,24.90
January-2018,562.40,627.50,552.85,593.40,8667069,88950,5109513568.00,3170300,36.58,74.65,31.00
February-2018,592.00,609.00,521.00,529.60,9308139,74409,5194975719.00,4005170,43.03,88.00,-62.40
March-2018,525.45,539.00,495.35,509.40,6620860,55024,3433744854.00,2259494,34.13,43.65,-16.05
April-2018,509.40,555.55,477.50,518.05,12812487,133100,6690108818.00,1242911,9.70,78.05,8.65
May-2018,520.00,562.85,515.60,543.30,7645779,73916,4119177803.00,2298761,30.07,47.25,23.30
June-2018,545.00,551.85,499.05,510.40,10556343,67018,5606756172.00,5902826,55.92,52.80,-34.60
July-2018,511.00,584.95,503.50,550.10,6942928,78229,3732555925.00,1681525,24.22,81.45,39.10
August-2018,552.45,671.00,538.65,649.20,12890527,146811,7937978364.00,2740065,21.26,132.35,96.75
September-2018,650.50,676.90,548.30,612.35,13244694,167331,8337347058.00,2560518,19.33,128.60,-38.15
October-2018,613.80,617.00,534.15,581.90,22417289,173017,12711099981.00,11383052,50.78,82.85,-31.90
November-2018,580.30,638.20,580.30,625.75,17457853,164547,10770609945.00,6388527,36.59,57.90,45.45
December-2018,630.60,649.85,580.00,619.80,15801976,104565,9772896659.00,4485651,28.39,69.85,-10.80
January-2019,621.20,726.00,604.65,722.95,16016120,166116,10561823997.00,3936908,24.58,121.35,101.75
February-2019,721.00,734.35,681.20,709.35,11875458,137348,8467584599.00,4341725,36.56,53.15,-11.65
March-2019,713.95,788.55,700.00,776.10,13917541,140696,10384171741.00,6261226,44.99,88.55,62.15
April-2019,779.95,783.55,737.60,766.90,7332259,88612,5566628777.00,2551088,34.79,45.95,-13.05
May-2019,766.90,821.40,716.40,808.50,9641183,102144,7392164912.00,4021960,41.72,105.00,41.60
June-2019,810.10,826.55,757.00,807.65,6396301,93050,5083263137.00,2422151,37.87,69.55,-2.45
July-2019,810.00,819.05,657.65,674.40,7234390,120299,5371247796.00,2512366,34.73,161.40,-135.60
