Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2011,1559.95,1564.95,1214.10,1248.65,2975651,126070,3935427050.00,1132505,38.06,350.85,-311.30
February-2011,1270.00,1364.00,1189.60,1268.30,1090460,47941,1380249022.00,440643,40.41,174.40,-1.70
March-2011,1275.00,1473.00,1275.00,1459.80,795662,36130,1095750751.00,337404,42.41,198.00,184.80
April-2011,1470.00,1496.00,1364.00,1462.80,563198,30062,817447783.00,217240,38.57,132.00,-7.20
May-2011,1482.50,1489.40,1260.05,1344.35,1572304,84401,2061498367.00,487097,30.98,229.35,-138.15
June-2011,1344.35,1439.90,1293.25,1405.90,1053260,31478,1433569168.00,650382,61.75,146.65,61.55
July-2011,1420.00,1476.85,1405.25,1464.85,717275,32420,1027659534.00,238037,33.19,71.60,44.85
August-2011,1470.00,1615.35,1351.25,1573.00,806799,49172,1199020303.00,246165,30.51,264.10,103.00
September-2011,1589.00,1694.90,1486.00,1534.35,796298,50172,1271797321.00,170555,21.42,208.90,-54.65
October-2011,1532.00,1822.15,1478.20,1733.15,840758,54555,1365142998.00,208382,24.79,343.95,201.15
November-2011,1726.70,1773.80,1566.25,1672.85,832069,52300,1398124979.00,222063,26.69,207.55,-53.85
December-2011,1696.00,1738.95,1567.80,1592.80,877068,55637,1452759366.00,281230,32.06,171.15,-103.20
January-2012,1595.00,1608.50,1410.00,1600.95,2237677,142149,3313166958.00,508634,22.73,198.50,5.95
February-2012,1620.00,1839.00,1586.00,1798.95,846535,54207,1450874625.00,233092,27.53,253.00,178.95
March-2012,1820.00,1820.00,1610.00,1677.90,731953,37289,1272148518.00,335151,45.79,210.00,-142.10
April-2012,1685.00,1757.00,1578.30,1623.10,555915,27677,918681264.00,215604,38.78,178.70,-61.90
May-2012,1622.00,1638.50,1456.55,1513.00,1192925,66902,1841248661.00,375027,31.44,181.95,-109.00
June-2012,1505.00,1590.00,1454.00,1572.00,911167,39279,1401890874.00,447937,49.16,136.00,67.00
July-2012,1572.10,1617.00,1423.10,1601.35,1305437,75444,1990682582.00,282248,21.62,193.90,29.25
August-2012,1598.00,1735.50,1590.00,1615.40,596732,32487,992471431.00,185606,31.10,145.50,17.40
September-2012,1620.00,1850.00,1618.90,1832.50,434414,24479,752250111.00,136153,31.34,231.10,212.50
