Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2011,465.00,475.00,395.20,409.75,388099,12480,170573967.00,70669,18.21,79.80,-55.25
February-2011,412.50,488.00,399.05,433.75,405641,10044,177827013.00,195147,48.11,88.95,21.25
March-2011,436.00,607.00,428.55,524.60,12029469,330761,6591977372.00,983928,8.18,178.45,88.60
April-2011,528.80,555.85,511.00,528.15,2183189,57083,1169001605.00,478525,21.92,44.85,-0.65
May-2011,532.05,535.70,472.80,515.70,1338862,46631,680193528.00,232893,17.39,62.90,-16.35
June-2011,520.00,573.70,479.00,513.00,2270813,69286,1237035679.00,351996,15.50,94.70,-7.00
July-2011,518.00,569.60,508.45,534.70,1158419,36799,629500182.00,192384,16.61,61.15,16.70
August-2011,538.00,625.00,476.10,541.55,1549773,60819,878543444.00,184605,11.91,148.90,3.55
September-2011,544.00,608.70,521.00,524.95,1992986,77364,1114145123.00,251271,12.61,87.70,-19.05
October-2011,522.10,586.00,488.00,542.15,610182,29215,336220191.00,113068,18.53,98.00,20.05
November-2011,538.50,561.00,418.30,424.90,331953,17301,161351027.00,112157,33.79,142.70,-113.60
December-2011,435.10,455.00,391.55,430.90,436118,23307,187750408.00,90450,20.74,63.45,-4.20
January-2012,433.00,489.50,416.00,449.75,440432,22928,204626205.00,89478,20.32,73.50,16.75
February-2012,454.70,689.90,446.55,645.05,1681264,73702,971188947.00,313401,18.64,243.35,190.35
March-2012,645.05,664.40,596.00,611.35,630847,31887,397909059.00,144545,22.91,68.40,-33.70
April-2012,610.00,779.85,610.00,732.25,977833,49105,701845419.00,162042,16.57,169.85,122.25
May-2012,719.00,765.00,654.00,655.70,602138,34022,431252804.00,104162,17.30,111.00,-63.30
June-2012,655.90,689.70,630.00,682.70,304823,14648,203265309.00,82163,26.95,59.70,26.80
July-2012,688.40,754.50,661.00,741.30,829359,38589,587645038.00,199717,24.08,93.50,52.90
August-2012,735.85,953.70,733.00,800.55,1499067,81846,1273179926.00,237477,15.84,220.70,64.70
September-2012,805.10,884.80,732.95,870.75,820071,38205,658857272.00,259754,31.67,151.85,65.65
October-2012,875.00,979.40,833.20,851.80,1072375,49072,957944073.00,365595,34.09,146.20,-23.20
November-2012,844.00,895.00,821.00,881.80,362492,22597,310538782.00,127096,35.06,74.00,37.80
December-2012,882.00,967.35,870.10,901.85,2163246,37820,1978493016.00,1754668,81.11,97.25,19.85
January-2013,909.90,940.00,826.05,849.40,422620,29262,370584222.00,165146,39.08,113.95,-60.50
February-2013,853.90,920.00,747.00,813.05,430502,30473,355119609.00,110740,25.72,173.00,-40.85
March-2013,810.00,824.10,756.20,769.20,155773,10773,123710535.00,70334,45.15,67.90,-40.80
April-2013,771.00,825.00,740.00,743.85,163033,9881,125385413.00,63934,39.22,85.00,-27.15
May-2013,745.00,780.00,661.50,663.00,415777,25210,300117938.00,204603,49.21,118.50,-82.00
June-2013,663.00,685.00,613.00,642.70,278431,20071,178502551.00,109867,39.46,72.00,-20.30
July-2013,643.00,678.85,581.30,586.15,282318,23639,180870543.00,103768,36.76,97.55,-56.85
August-2013,594.95,615.00,563.30,590.00,130103,10948,75476758.00,69955,53.77,51.70,-4.95
September-2013,593.65,632.90,568.05,606.05,124393,11697,74080195.00,65536,52.68,64.85,12.40
October-2013,602.00,663.30,595.30,636.30,184887,16378,118107788.00,58490,31.64,68.00,34.30
November-2013,638.75,744.90,638.65,738.95,164696,13198,114464627.00,81853,49.70,106.25,100.20
December-2013,738.95,749.95,669.10,741.95,109638,10014,78648877.00,60254,54.96,80.85,3.00
January-2014,747.00,766.00,669.00,680.40,112536,12186,81172448.00,50493,44.87,97.00,-66.60
February-2014,680.00,731.85,661.00,719.70,69388,8245,48392580.00,32114,46.28,70.85,39.70
March-2014,710.00,794.00,692.50,790.20,109595,11564,79865381.00,67581,61.66,101.50,80.20
April-2014,794.90,834.80,735.00,827.75,99305,14932,78647565.00,56256,56.65,99.80,32.85
May-2014,828.20,938.90,777.00,852.90,1664903,23407,1401382256.00,1556196,93.47,161.90,24.70
June-2014,845.00,955.95,840.00,935.50,169434,27053,155340265.00,59327,35.01,115.95,90.50
July-2014,939.85,988.35,915.00,943.35,1034617,31571,973149905.00,879322,84.99,73.35,3.50
August-2014,940.00,1075.00,914.00,1050.15,1208220,22286,1128679990.00,1098884,90.95,161.00,110.15
September-2014,1053.20,1164.60,1012.85,1129.50,207339,27989,224483524.00,69983,33.75,151.75,76.30
October-2014,1130.00,1140.15,1001.00,1067.00,72582,14644,77826802.00,28551,39.34,139.15,-63.00
November-2014,1067.00,1172.40,1020.15,1150.25,222900,19856,238820786.00,123033,55.20,152.25,83.25
December-2014,1159.95,1415.15,1140.00,1311.45,191759,33095,249646073.00,61912,32.29,275.15,151.50
January-2015,1315.50,1499.00,1210.00,1442.30,354145,48425,464417590.00,221716,62.61,289.00,126.80
February-2015,1452.95,1546.00,1375.00,1407.10,238817,42759,350907302.00,83662,35.03,171.00,-45.85
March-2015,1420.00,1575.00,1310.00,1389.45,284997,45301,411700483.00,161378,56.62,265.00,-30.55
April-2015,1401.50,1471.05,1250.00,1427.95,187154,18841,259604794.00,106776,57.05,221.05,26.45
May-2015,1413.00,1575.00,1359.00,1523.05,84456,11084,123472809.00,35856,42.46,216.00,110.05
June-2015,1523.00,1600.00,1446.00,1526.05,341035,9607,515780933.00,293879,86.17,154.00,3.05
July-2015,1525.00,1871.00,1525.00,1845.80,144240,19978,250292034.00,53048,36.78,346.00,320.80
