Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2011,365.00,415.80,305.10,315.55,3983230,88544,1506932583.00,564729,14.18,110.70,-49.45
February-2011,319.00,360.35,295.00,342.95,2020736,53670,662465951.00,457891,22.66,65.35,23.95
March-2011,345.00,399.65,332.55,390.35,1309832,38065,478869026.00,264412,20.19,67.10,45.35
April-2011,391.95,515.00,388.30,428.10,2632727,66081,1114749693.00,330801,12.56,126.70,36.15
May-2011,434.80,488.40,374.70,484.80,2229552,62023,1025633632.00,261579,11.73,113.70,50.00
June-2011,486.95,619.20,480.05,610.90,5655797,138007,3159499852.00,527881,9.33,139.15,123.95
July-2011,611.00,661.40,593.15,658.65,4358889,114295,2723221364.00,378880,8.69,68.25,47.65
August-2011,660.00,740.70,620.15,694.65,3067417,99240,2105729021.00,345989,11.28,120.55,34.65
September-2011,695.45,720.15,620.70,647.55,3032733,88583,2061292979.00,699648,23.07,99.45,-47.90
October-2011,645.00,727.00,611.55,724.45,1289618,49646,872834287.00,192665,14.94,115.45,79.45
November-2011,720.00,733.00,593.05,618.30,958390,39588,633379737.00,148981,15.54,139.95,-101.70
December-2011,638.00,664.00,492.00,530.45,2827667,115530,1560249719.00,293514,10.38,172.00,-107.55
January-2012,531.00,691.10,519.10,687.55,2999901,99092,1782285180.00,542363,18.08,172.00,156.55
February-2012,689.80,730.00,649.00,701.10,1748040,71094,1220845087.00,280450,16.04,81.00,11.30
March-2012,705.00,796.85,658.00,769.20,1903591,68946,1419783935.00,514065,27.01,138.85,64.20
April-2012,772.00,880.85,763.00,875.90,2198641,81888,1834413709.00,325074,14.79,117.85,103.90
May-2012,875.90,921.90,816.50,878.10,1338195,55292,1169725651.00,186933,13.97,105.40,2.20
June-2012,875.15,889.45,769.00,862.75,2041762,81459,1695138645.00,249366,12.21,120.45,-12.40
July-2012,867.00,919.50,866.10,888.45,1046635,44830,932055296.00,157021,15.00,53.40,21.45
August-2012,887.00,981.00,822.95,886.55,749117,29089,676998224.00,185913,24.82,158.05,-0.45
September-2012,893.00,985.90,866.00,979.55,756935,29861,706434514.00,185262,24.48,119.90,86.55
October-2012,984.65,989.00,849.00,855.15,861483,36187,797988760.00,219535,25.48,140.00,-129.50
November-2012,854.00,949.40,841.00,920.20,727397,33886,641901612.00,165086,22.70,108.40,66.20
December-2012,915.15,932.00,849.00,866.95,427749,21220,381349448.00,138694,32.42,83.00,-48.20
January-2013,871.00,903.00,756.10,788.50,680420,28525,562940472.00,200715,29.50,146.90,-82.50
February-2013,790.00,807.45,727.05,747.30,798911,30927,619719764.00,186032,23.29,80.40,-42.70
March-2013,747.35,801.55,688.25,715.80,583325,25063,433329089.00,128848,22.09,113.30,-31.55
April-2013,718.95,764.00,700.00,747.25,512885,25135,374985804.00,117982,23.00,64.00,28.30
May-2013,747.90,842.00,736.00,804.05,574459,23781,459874580.00,163858,28.52,106.00,56.15
June-2013,805.10,898.70,748.20,833.10,1702248,80812,1414065425.00,272138,15.99,150.50,28.00
July-2013,838.10,972.00,834.00,963.55,899899,65465,810284692.00,205162,22.80,138.00,125.45
August-2013,969.00,977.00,765.00,817.70,739537,60049,637916044.00,195879,26.49,212.00,-151.30
September-2013,818.15,864.70,795.10,853.30,585476,47685,485657506.00,186845,31.91,69.60,35.15
October-2013,861.00,931.10,835.00,913.80,806745,46885,718506800.00,180176,22.33,96.10,52.80
November-2013,917.00,1085.75,888.05,1067.15,1561401,59487,1489376721.00,804863,51.55,197.70,150.15
December-2013,1067.50,1071.70,982.60,1056.55,553699,34808,568496591.00,141534,25.56,89.10,-10.95
January-2014,1058.00,1085.00,895.00,951.35,365497,28123,363592847.00,140793,38.52,190.00,-106.65
February-2014,944.00,1067.00,938.70,1057.85,357766,22104,358292739.00,122266,34.17,128.30,113.85
March-2014,1057.10,1157.00,1029.10,1138.90,334720,20553,368971416.00,112821,33.71,127.90,81.80
April-2014,1142.20,1155.00,1052.05,1068.15,290122,22839,316975692.00,167432,57.71,102.95,-74.05
May-2014,1055.00,1225.40,998.00,1154.90,602070,52963,643646330.00,258626,42.96,227.40,99.90
June-2014,1159.95,1295.00,1139.00,1282.40,337403,35848,408982538.00,98140,29.09,156.00,122.45
July-2014,1288.00,1360.00,1215.15,1245.90,402156,47963,518389930.00,113738,28.28,144.85,-42.10
August-2014,1237.00,1289.00,1172.00,1277.25,293348,28894,362294530.00,92037,31.37,117.00,40.25
September-2014,1284.00,1357.15,1226.00,1321.85,438649,31680,574028603.00,259562,59.17,131.15,37.85
October-2014,1327.70,1412.90,1205.05,1272.05,265161,31408,346468278.00,91943,34.67,207.85,-55.65
November-2014,1278.00,1344.00,1226.00,1253.20,261109,25997,334440909.00,90947,34.83,118.00,-24.80
December-2014,1260.00,1345.00,1238.00,1305.70,429423,33087,552173508.00,257185,59.89,107.00,45.70
January-2015,1315.00,1495.00,1266.10,1429.20,418177,37178,588779084.00,215460,51.52,228.90,114.20
February-2015,1420.00,1420.00,1197.10,1283.90,456303,52678,586808305.00,137494,30.13,222.90,-136.10
March-2015,1309.00,1309.00,1063.70,1090.75,345103,43033,404480869.00,115930,33.59,245.30,-218.25
April-2015,1100.00,1176.30,977.95,1019.65,638790,40877,669039360.00,400392,62.68,198.35,-80.35
May-2015,1023.00,1164.40,1014.70,1072.00,920677,36165,990433609.00,539903,58.64,149.70,49.00
June-2015,1070.50,1071.85,942.20,1056.65,469171,29543,476689126.00,118447,25.25,129.65,-13.85
July-2015,1056.60,1220.00,1047.00,1196.35,388950,27852,446162239.00,98855,25.42,173.00,139.75
August-2015,1206.90,1244.10,955.00,1070.40,525782,33583,603697214.00,187216,35.61,289.10,-136.50
September-2015,1046.00,1160.00,986.25,1077.90,380005,30002,409116972.00,106982,28.15,173.75,31.90
October-2015,1085.00,1105.00,497.80,502.00,628244,28225,355827183.00,225893,35.96,607.20,-583.00
November-2015,503.00,527.75,457.75,499.35,1526798,43896,742862847.00,379271,24.84,70.00,-3.65
December-2015,501.70,524.00,464.15,521.40,1298629,38887,627835121.00,648187,49.91,59.85,19.70
January-2016,518.40,519.00,438.05,476.15,875324,35539,425741239.00,326918,37.35,80.95,-42.25
February-2016,480.00,501.00,447.60,457.30,689721,37206,326843004.00,150016,21.75,53.40,-22.70
March-2016,459.00,515.00,459.00,507.05,506068,28415,248988227.00,117486,23.22,56.00,48.05
April-2016,505.15,598.40,501.25,586.05,1506493,38909,805950892.00,962172,63.87,97.15,80.90
May-2016,587.00,601.50,532.30,571.40,951699,49012,545191655.00,204116,21.45,69.20,-15.60
June-2016,579.90,580.00,505.00,545.65,810803,29032,441510320.00,390818,48.20,75.00,-34.25
July-2016,549.30,608.00,542.50,604.30,815057,33666,469053927.00,269991,33.13,65.50,55.00
August-2016,610.20,613.55,508.00,533.90,1814544,54665,998141383.00,637926,35.16,105.55,-76.30
September-2016,535.40,548.00,475.65,490.15,1049187,36804,542701752.00,315106,30.03,72.35,-45.25
October-2016,488.00,508.70,470.00,483.85,610313,21845,299733620.00,208859,34.22,38.70,-4.15
November-2016,481.75,486.95,400.00,415.50,1228844,45797,530783265.00,555027,45.17,86.95,-66.25
