Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2011,358.40,364.90,312.00,318.55,5096111,75890,1747556616.00,1578151,30.97,52.90,-39.85
February-2011,323.00,344.80,304.25,331.10,10531833,126726,3454231047.00,4334616,41.16,40.55,8.10
March-2011,331.60,364.00,309.00,357.50,7057549,105367,2372824055.00,2786805,39.49,55.00,25.90
April-2011,356.00,390.00,345.50,378.80,6284558,86753,2319755265.00,2459149,39.13,44.50,22.80
May-2011,379.00,400.10,345.25,374.15,21111696,89641,7417021918.00,14696843,69.61,54.85,-4.85
June-2011,376.00,404.90,368.25,395.25,9510133,85153,3701995260.00,5315495,55.89,36.65,19.25
July-2011,396.00,439.20,378.25,437.00,17122067,118604,6976039323.00,10681772,62.39,60.95,41.00
August-2011,443.00,444.70,377.55,404.20,7784833,123978,3181208233.00,2007931,25.79,67.15,-38.80
September-2011,414.00,417.00,361.00,378.10,4759063,87478,1838898767.00,1190944,25.02,56.00,-35.90
October-2011,374.80,408.75,343.75,391.40,5216419,94347,1957333771.00,1302862,24.98,65.00,16.60
November-2011,389.90,412.25,354.95,385.30,10060204,144426,3911299076.00,3780223,37.58,57.30,-4.60
December-2011,389.95,398.00,319.50,342.90,9566582,169083,3389059816.00,2932569,30.65,78.50,-47.05
January-2012,346.00,375.95,320.55,364.90,5514128,113033,1898590432.00,1654327,30.00,55.40,18.90
February-2012,360.10,400.90,334.00,349.25,17870205,302069,6455233285.00,6345259,35.51,66.90,-10.85
March-2012,349.40,354.60,321.05,336.75,6795609,117630,2281545910.00,2791995,41.09,33.55,-12.65
April-2012,337.25,344.00,289.05,310.30,6362108,120062,2012260654.00,2251008,35.38,54.95,-26.95
May-2012,313.30,319.90,280.10,302.10,5338041,106065,1628527258.00,1335464,25.02,39.80,-11.20
June-2012,300.00,316.90,285.50,305.00,4378773,70100,1324170462.00,1665412,38.03,31.40,5.00
July-2012,306.30,328.85,298.00,300.15,5471622,98293,1723947756.00,2027116,37.05,30.85,-6.15
August-2012,302.50,303.00,238.50,245.70,22412673,275843,5930964186.00,9663035,43.11,64.50,-56.80
September-2012,247.00,283.00,241.45,264.85,15700583,134503,4017784351.00,10012459,63.77,41.55,17.85
October-2012,265.50,276.40,256.65,269.00,5707209,80753,1527390862.00,1763803,30.90,19.75,3.50
November-2012,269.50,340.95,267.55,337.15,13222755,133161,3931424265.00,3649578,27.60,73.40,67.65
December-2012,336.00,340.00,299.10,316.80,5666932,85493,1794346894.00,1676709,29.59,40.90,-19.20
January-2013,317.80,370.40,317.50,339.40,13767073,115685,4822175830.00,7983394,57.99,52.90,21.60
February-2013,338.40,347.20,291.65,323.55,8746910,142314,2787158423.00,1931137,22.08,55.55,-14.85
March-2013,323.55,327.00,275.55,291.80,12235245,148495,3721927168.00,4116458,33.64,51.45,-31.75
April-2013,290.70,324.25,266.95,318.75,7237260,96313,2087728435.00,1934532,26.73,57.30,28.05
May-2013,307.00,332.20,294.80,300.55,5559683,85783,1758207016.00,1332177,23.96,37.40,-6.45
June-2013,302.50,308.30,274.50,291.40,4272825,76984,1238746502.00,1071638,25.08,33.80,-11.10
July-2013,292.35,348.30,283.80,344.90,7153848,169771,2277128234.00,1588052,22.20,64.50,52.55
August-2013,345.00,354.00,279.25,298.55,6338813,138609,2064089651.00,2185815,34.48,74.75,-46.45
September-2013,303.00,358.75,281.00,318.25,7426980,151950,2448305321.00,2882480,38.81,77.75,15.25
October-2013,319.60,369.85,309.25,364.65,9349313,187042,3233132107.00,4067857,43.51,60.60,45.05
November-2013,360.00,373.50,318.90,327.20,5325393,94738,1834799271.00,2396063,44.99,54.60,-32.80
December-2013,328.00,342.95,312.25,330.45,5932639,95618,1955249445.00,3090274,52.09,30.70,2.45
January-2014,332.00,339.70,291.25,315.15,6704453,138514,2128321018.00,3413083,50.91,48.45,-16.85
February-2014,314.50,319.30,282.10,287.50,8382857,160679,2529964947.00,4334036,51.70,37.20,-27.00
March-2014,289.70,327.00,282.30,318.90,5616177,111688,1686212056.00,1955898,34.83,44.70,29.20
April-2014,318.00,345.40,312.00,327.65,3116596,101703,1025109864.00,766843,24.61,33.40,9.65
