Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2011,2330.00,2352.00,2118.00,2217.50,1584162,56089,3531158414.00,905070,57.13,234.00,-112.50
February-2011,2230.00,2294.70,1960.00,2000.65,1822350,89374,3827742916.00,758548,41.62,334.70,-229.35
March-2011,2005.20,2150.00,1905.00,2060.85,2016970,100422,4055978409.00,876150,43.44,245.00,55.65
April-2011,2074.90,2251.00,1976.15,2000.75,1812242,106557,3838785031.00,557230,30.75,274.85,-74.15
May-2011,2008.00,2108.90,1892.00,1944.10,2513687,148761,5024038147.00,717751,28.55,216.90,-63.90
June-2011,1945.00,2063.05,1872.50,2046.55,1163372,70780,2262294310.00,387005,33.27,190.55,101.55
July-2011,2055.00,2074.40,1802.00,1838.35,2230492,123472,4293976201.00,714475,32.03,272.40,-216.65
August-2011,1855.00,1861.00,1662.00,1767.70,1902942,108087,3340957896.00,721707,37.93,199.00,-87.30
September-2011,1770.00,1820.00,1575.00,1637.15,1870452,124547,3137236532.00,504879,26.99,245.00,-132.85
October-2011,318.10,344.00,310.50,317.85,4412896,92776,1436985119.00,1790929,40.58,33.50,-0.25
November-2011,317.00,340.00,246.20,282.20,10275972,208946,2943295349.00,3087994,30.05,93.80,-34.80
December-2011,290.00,295.50,225.00,239.00,12244544,215132,3096763052.00,3220709,26.30,70.50,-51.00
January-2012,239.00,287.20,233.50,250.55,14812197,235314,3861680963.00,4821386,32.55,53.70,11.55
February-2012,250.90,328.35,247.25,308.20,25927663,396302,7569820948.00,6416082,24.75,81.10,57.30
March-2012,306.00,306.00,246.25,256.95,18574896,283141,5096442560.00,4851925,26.12,59.75,-49.05
April-2012,258.00,274.45,222.00,224.90,16427608,235304,4120131488.00,4817990,29.33,52.45,-33.10
May-2012,224.50,228.90,197.80,211.95,20292020,290083,4348389127.00,4975245,24.52,31.10,-12.55
June-2012,211.50,232.90,203.15,232.10,12972096,174957,2838874734.00,3350175,25.83,29.75,20.60
July-2012,234.00,240.00,207.10,215.70,10431694,146619,2356691467.00,2654615,25.45,32.90,-18.30
August-2012,215.10,235.50,211.50,214.35,7045005,104520,1594765000.00,2248996,31.92,24.00,-0.75
September-2012,216.00,255.80,195.05,246.85,19812997,258537,4414348655.00,5486843,27.69,60.75,30.85
October-2012,247.00,272.45,222.35,225.10,14775373,198309,3652355937.00,3093876,20.94,50.10,-21.90
November-2012,224.50,239.50,219.30,233.35,6713444,97974,1535080276.00,1733692,25.82,20.20,8.85
December-2012,233.90,247.50,220.40,228.40,8164532,113817,1900860867.00,2445427,29.95,27.10,-5.50
January-2013,229.50,245.40,221.05,227.70,9392723,122323,2177785522.00,2809675,29.91,24.35,-1.80
February-2013,227.80,229.95,200.00,201.20,10283832,136742,2176004544.00,2534174,24.64,29.95,-26.60
March-2013,200.50,208.70,174.50,176.95,8729498,121822,1680734935.00,2831011,32.43,34.20,-23.55
April-2013,178.25,194.50,176.00,192.50,8436522,107777,1548845392.00,2070028,24.54,18.50,14.25
May-2013,193.80,207.90,187.60,199.95,9427068,117680,1868146087.00,2218725,23.54,20.30,6.15
June-2013,200.00,201.70,162.10,174.30,6972795,101706,1249208574.00,1942931,27.86,39.60,-25.70
July-2013,175.70,189.90,148.35,158.25,11514699,223986,1985996429.00,3099849,26.92,41.55,-17.45
August-2013,158.00,160.65,100.35,118.75,34614629,449909,3996031395.00,7211357,20.83,60.30,-39.25
September-2013,119.70,152.55,118.50,137.35,30591143,384871,4169746885.00,5503209,17.99,34.05,17.65
October-2013,139.00,151.90,131.30,140.95,15132080,198257,2168363888.00,3165667,20.92,20.60,1.95
November-2013,141.45,158.35,131.05,156.05,17348646,229903,2478210404.00,3555024,20.49,27.30,14.60
December-2013,157.60,181.20,153.00,176.45,15133100,196709,2509674192.00,2773748,18.33,28.20,18.85
January-2014,177.15,177.90,160.15,172.85,19590231,133183,3302134340.00,12114147,61.84,17.75,-4.30
February-2014,170.00,173.35,145.75,167.20,8657972,127221,1360600995.00,1611243,18.61,27.60,-2.80
March-2014,168.00,201.95,161.40,196.80,124487950,152633,20818674346.00,116473612,93.56,40.55,28.80
April-2014,196.15,198.15,173.00,180.75,8046967,170174,1493731594.00,1894941,23.55,25.15,-15.40
May-2014,182.00,291.50,176.90,242.15,27676879,564812,6715795514.00,5218763,18.86,114.60,60.15
June-2014,242.00,266.55,232.35,250.10,16857812,342154,4220167778.00,3662872,21.73,34.20,8.10
July-2014,251.20,266.40,220.10,228.40,14006654,297302,3384204923.00,3567713,25.47,46.30,-22.80
August-2014,227.00,243.80,205.00,240.75,11420980,233552,2567101678.00,2424550,21.23,38.80,13.75
September-2014,240.20,243.45,199.00,200.95,11468087,231419,2535744985.00,2848825,24.84,44.45,-39.25
October-2014,200.95,258.40,195.10,255.75,12658011,256838,2903521488.00,3094095,24.44,63.30,54.80
November-2014,257.70,287.00,236.25,283.20,10735675,216962,2769995743.00,2481029,23.11,50.75,25.50
December-2014,282.90,282.95,240.55,265.20,10537475,190128,2738569141.00,3270764,31.04,42.40,-17.70
January-2015,266.00,297.35,250.25,291.80,8322596,193797,2278573497.00,1614916,19.40,47.10,25.80
February-2015,291.80,299.50,251.00,262.15,11117755,238980,2982037233.00,1553944,13.98,48.50,-29.65
March-2015,264.00,278.20,227.95,234.95,7960011,182839,2023571356.00,1462755,18.38,50.25,-29.05
April-2015,236.50,243.90,223.05,237.20,8248140,177367,1924022126.00,2999300,36.36,20.85,0.70
May-2015,240.00,255.20,221.60,251.60,6802984,114775,1617353297.00,1287885,18.93,33.60,11.60
June-2015,250.00,259.85,238.35,247.85,19565268,95511,4779641133.00,14508011,74.15,21.50,-2.15
July-2015,248.50,289.85,247.50,278.70,6916461,95693,1881241761.00,1208953,17.48,42.35,30.20
August-2015,278.00,287.90,214.70,226.50,9962485,132408,2563635806.00,1341114,13.46,73.20,-51.50
September-2015,225.00,227.90,192.10,205.55,13337596,133464,2772784864.00,5840717,43.79,35.80,-19.45
October-2015,208.00,219.70,197.15,198.85,10347203,126544,2142608958.00,2050433,19.82,22.55,-9.15
November-2015,198.85,203.30,173.00,175.45,8743098,105849,1611198116.00,1795461,20.54,30.30,-23.40
December-2015,177.00,177.00,164.10,169.25,7769930,88569,1315249239.00,1957717,25.20,12.90,-7.75
January-2016,169.00,175.00,131.90,138.85,13658851,105978,2101223267.00,6182404,45.26,43.10,-30.15
February-2016,140.00,144.75,90.40,91.10,25335902,195814,2733345100.00,5359324,21.15,54.35,-48.90
March-2016,91.50,117.80,90.85,113.75,24127361,173763,2572986207.00,5274272,21.86,26.95,22.25
April-2016,113.75,135.40,112.30,125.40,23917891,172328,2954640812.00,4129446,17.27,23.10,11.65
May-2016,125.25,131.95,115.75,120.70,17816754,125586,2194695291.00,5035077,28.26,16.20,-4.55
June-2016,122.35,128.45,113.90,127.65,16477306,121373,2001857375.00,3868870,23.48,14.55,5.30
July-2016,129.00,151.25,128.75,145.80,18334350,145900,2592516906.00,3805235,20.75,22.50,16.80
August-2016,146.00,149.00,132.15,139.05,16879631,111032,2345831385.00,3428185,20.31,16.85,-6.95
September-2016,138.85,162.80,129.40,134.65,32760689,224267,4882302264.00,5026678,15.34,33.40,-4.20
October-2016,136.00,143.45,130.05,138.80,13102691,82740,1803974056.00,2884253,22.01,13.40,2.80
November-2016,140.00,146.85,122.60,130.35,17507532,109613,2341128681.00,4776844,27.28,24.25,-9.65
December-2016,130.95,131.20,116.15,121.05,9813230,63300,1219957949.00,3227872,32.89,15.05,-9.90
