Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2011,661.10,674.00,565.25,615.80,2126731,52492,1309032212.00,666598,31.34,108.75,-45.30
February-2011,605.90,621.00,530.00,552.05,1721662,51272,1006937883.00,303099,17.61,91.00,-53.85
March-2011,559.50,623.65,539.10,611.30,1848335,53413,1055576822.00,425367,23.01,84.55,51.80
April-2011,596.00,641.00,585.40,627.15,942095,30163,574321687.00,215951,22.92,55.60,31.15
May-2011,633.85,680.45,594.40,632.95,2269289,62809,1464244657.00,559526,24.66,86.05,-0.90
June-2011,634.90,687.00,590.00,649.30,1758359,47940,1132601704.00,430479,24.48,97.00,14.40
July-2011,650.80,699.95,638.00,657.20,745447,19942,491936001.00,245717,32.96,61.95,6.40
August-2011,665.00,712.50,650.00,674.05,1182857,33298,814020758.00,490211,41.44,62.50,9.05
September-2011,672.50,694.90,620.60,646.85,577396,23294,383772099.00,129521,22.43,74.30,-25.65
October-2011,648.50,691.95,616.00,623.25,642939,23503,418781654.00,250339,38.94,75.95,-25.25
November-2011,616.60,641.00,487.05,535.65,1391792,52398,755581194.00,341629,24.55,153.95,-80.95
December-2011,540.00,565.00,468.50,479.15,1322933,51926,694562668.00,328268,24.81,96.50,-60.85
January-2012,486.00,587.75,459.05,571.45,1025102,42819,524809502.00,258064,25.17,128.70,85.45
February-2012,571.80,684.00,557.00,662.70,1634068,59328,1020928079.00,576470,35.28,127.00,90.90
March-2012,657.00,702.20,648.90,699.30,843917,34952,569127329.00,221363,26.23,53.30,42.30
April-2012,691.00,709.90,653.30,671.40,666204,27286,457794011.00,212007,31.82,56.60,-19.60
May-2012,671.90,768.40,648.10,696.50,2347983,80727,1694849432.00,435275,18.54,120.30,24.60
June-2012,697.80,774.60,684.05,745.00,1150819,40969,843940174.00,240547,20.90,90.55,47.20
July-2012,747.40,789.20,346.05,363.50,1035281,29625,573025351.00,340454,32.89,443.15,-383.90
August-2012,361.00,364.00,332.65,337.10,1567160,29960,545362153.00,757306,48.32,31.35,-23.90
September-2012,337.10,378.90,329.90,346.35,2667594,53177,931228362.00,1047374,39.26,49.00,9.25
October-2012,352.00,368.00,335.20,337.65,998851,25945,351627055.00,355487,35.59,32.80,-14.35
November-2012,338.95,349.10,315.60,347.55,958863,23695,321306636.00,336530,35.10,33.50,8.60
December-2012,347.55,366.00,341.00,356.10,1486253,31433,527047430.00,879919,59.20,25.00,8.55
January-2013,357.95,449.00,353.80,410.50,5117252,109236,2086110734.00,1064654,20.81,95.20,52.55
February-2013,410.45,429.00,368.00,371.80,2078205,49129,822031394.00,455847,21.93,61.00,-38.65
March-2013,372.00,410.25,361.60,378.15,1525285,28737,593102135.00,449014,29.44,48.65,6.15
April-2013,378.60,422.00,365.10,414.60,1305508,28220,514606210.00,358409,27.45,56.90,36.00
May-2013,415.10,428.45,371.55,375.70,2004265,38154,800074311.00,779201,38.88,56.90,-39.40
June-2013,381.00,381.05,335.80,365.60,1276520,37199,461253199.00,412331,32.30,45.25,-15.40
July-2013,370.00,380.00,288.60,323.55,1662273,53566,567903489.00,478063,28.76,91.40,-46.45
August-2013,326.05,327.00,256.00,271.90,3539729,94720,997547304.00,1134478,32.05,71.00,-54.15
