Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2011,415.00,424.00,352.00,377.10,327150,10312,124825377.00,215324,65.82,72.00,-37.90
February-2011,380.80,390.90,334.10,337.45,444631,7959,159167348.00,354530,79.74,56.80,-43.35
March-2011,343.80,374.00,340.00,370.55,116976,5645,41391170.00,68738,58.76,34.00,26.75
April-2011,368.00,402.45,361.00,369.55,313189,10912,120427838.00,132888,42.43,41.45,1.55
May-2011,371.90,419.50,324.00,417.30,766029,21837,294076542.00,334072,43.61,95.50,45.40
June-2011,425.20,487.80,414.15,477.50,678756,26379,311921127.00,195869,28.86,73.65,52.30
July-2011,483.00,498.00,463.10,482.05,326648,11952,157675750.00,211738,64.82,34.90,-0.95
August-2011,482.05,490.00,450.00,485.40,215523,7954,102171672.00,150369,69.77,40.00,3.35
September-2011,488.85,495.00,449.10,469.55,488280,7769,227767386.00,441166,90.35,45.90,-19.30
October-2011,462.00,475.00,439.05,470.55,261264,6857,118562823.00,228090,87.30,35.95,8.55
November-2011,471.25,493.00,455.00,468.80,221055,8840,105990553.00,157770,71.37,38.00,-2.45
December-2011,472.05,477.00,434.00,448.15,696794,7617,323001664.00,643677,92.38,43.00,-23.90
January-2012,445.00,466.00,435.00,451.50,114382,5567,51350396.00,69565,60.82,31.00,6.50
February-2012,457.85,547.70,450.00,515.35,515604,14823,263158361.00,326184,63.26,97.70,57.50
March-2012,515.00,596.00,507.05,592.50,846820,13198,492074584.00,714312,84.35,88.95,77.50
April-2012,590.00,599.90,543.20,560.35,1246485,6110,711321847.00,1195586,95.92,56.70,-29.65
May-2012,557.10,566.95,506.60,533.45,573447,5834,309251062.00,537270,93.69,60.35,-23.65
June-2012,538.00,549.00,511.10,524.80,121108,7704,63874638.00,57877,47.79,37.90,-13.20
July-2012,522.00,552.90,462.00,464.90,348822,9205,182974740.00,280487,80.41,90.90,-57.10
August-2012,463.00,505.00,450.00,502.15,726587,15020,354861680.00,555062,76.39,55.00,39.15
September-2012,506.50,509.00,468.15,475.95,785713,9047,381381791.00,717277,91.29,40.85,-30.55
October-2012,480.00,524.80,462.95,483.45,817628,14284,400528506.00,648111,79.27,61.85,3.45
November-2012,483.00,504.00,400.00,496.35,648959,11183,311367376.00,526845,81.18,104.00,13.35
December-2012,498.00,509.25,486.15,499.25,127401,7146,63099758.00,71111,55.82,23.10,1.25
January-2013,501.95,566.00,468.20,483.55,421373,13580,207778552.00,337372,80.06,97.80,-18.40
February-2013,484.70,595.00,463.00,480.30,175997,8526,84191041.00,118821,67.51,132.00,-4.40
March-2013,485.00,548.20,478.25,524.30,189312,10594,98733869.00,110936,58.60,69.95,39.30
April-2013,525.00,585.00,505.00,578.25,702857,11410,389998713.00,652136,92.78,80.00,53.25
May-2013,575.00,727.00,557.10,723.60,1089367,50155,715851630.00,313990,28.82,169.90,148.60
June-2013,725.00,752.20,644.90,671.75,540801,37425,371240319.00,129929,24.03,107.30,-53.25
July-2013,671.75,746.90,665.60,699.80,433190,36369,305987584.00,144801,33.43,81.30,28.05
August-2013,699.35,774.80,658.00,702.80,749724,49971,549896491.00,251443,33.54,116.80,3.45
September-2013,704.00,840.00,704.00,823.55,608092,25008,458157871.00,424257,69.77,136.00,119.55
October-2013,829.25,972.50,823.00,938.60,490631,35633,429248537.00,245705,50.08,149.50,109.35
November-2013,945.85,965.35,870.00,875.75,386717,29110,354237212.00,198320,51.28,95.35,-70.10
December-2013,875.00,937.70,852.55,920.40,184018,20053,164719203.00,91331,49.63,85.15,45.40
January-2014,924.90,932.00,840.00,883.05,199235,12877,180133090.00,150327,75.45,92.00,-41.85
February-2014,886.00,923.00,865.25,887.20,117628,11976,106163130.00,58592,49.81,57.75,1.20
March-2014,886.00,899.00,812.00,843.35,175303,14980,150049554.00,114516,65.32,87.00,-42.65
April-2014,845.00,921.95,831.00,862.90,132454,17988,115903949.00,75001,56.62,90.95,17.90
May-2014,864.00,899.55,821.00,879.75,315802,33417,272934086.00,210246,66.58,78.55,15.75
June-2014,890.00,1021.60,873.60,1006.85,665394,74439,632507428.00,306049,46.00,148.00,116.85
July-2014,1010.00,1150.95,966.00,1144.05,742777,35373,757477965.00,616613,83.01,184.95,134.05
August-2014,1140.15,1310.85,1085.00,1246.15,334423,42368,407648791.00,149744,44.78,225.85,106.00
September-2014,1250.00,1510.00,1237.00,1396.85,257614,43784,352354065.00,126905,49.26,273.00,146.85
October-2014,1381.00,1547.00,1301.60,1531.05,196504,26633,274088425.00,107380,54.65,245.40,150.05
November-2014,1540.00,1730.00,1500.10,1649.40,331020,48871,540436745.00,154666,46.72,229.90,109.40
December-2014,1616.40,1865.00,1616.40,1840.20,533351,48767,954375755.00,381019,71.44,248.60,223.80
January-2015,1840.20,2018.95,1825.00,1888.60,468899,63284,904375352.00,256526,54.71,193.95,48.40
February-2015,1899.45,2114.45,1854.00,2093.80,336930,52315,665214928.00,163073,48.40,260.45,194.35
March-2015,2096.00,2249.95,2056.50,2158.50,284509,55423,614501455.00,146558,51.51,193.45,62.50
April-2015,2150.00,2377.00,2009.00,2193.20,305355,58950,670509039.00,131406,43.03,368.00,43.20
May-2015,2197.00,2685.00,2195.00,2548.90,661747,58612,1617764959.00,349094,52.75,490.00,351.90
June-2015,2560.00,2809.00,2421.00,2763.35,667141,66955,1777602043.00,176860,26.51,388.00,203.35
July-2015,2758.00,3250.00,2720.00,3156.35,396900,45307,1154927306.00,121705,30.66,530.00,398.35
August-2015,3180.00,3435.00,2788.80,2928.95,702922,74792,2224062170.00,159757,22.73,646.20,-251.05
September-2015,2900.00,3147.00,2770.85,3082.90,489655,48705,1447132180.00,188163,38.43,376.15,182.90
October-2015,3092.00,3333.00,3085.55,3227.05,280872,38503,903840908.00,94588,33.68,247.45,135.05
November-2015,3225.00,3237.00,2824.50,2923.95,268954,36062,810677481.00,93029,34.59,412.50,-301.05
December-2015,2910.65,3012.75,2723.00,2963.70,267844,33432,775441502.00,110776,41.36,289.75,53.05
January-2016,2963.10,3012.00,2587.95,2682.85,245920,36430,695610357.00,101311,41.20,424.05,-280.25
February-2016,2695.00,2952.00,2506.65,2758.50,330009,46898,904396774.00,114263,34.62,445.35,63.50
March-2016,2767.00,2912.50,2523.15,2675.55,245263,32768,669414986.00,100023,40.78,389.35,-91.45
April-2016,2675.55,2917.00,2609.00,2857.20,212279,33026,587851035.00,89395,42.11,308.00,181.65
May-2016,2879.90,3034.00,2611.20,2706.00,734083,51755,2034765675.00,479480,65.32,422.80,-173.90
June-2016,2735.00,2820.75,2523.90,2756.80,377493,42102,1007145056.00,193971,51.38,296.85,21.80
July-2016,2760.00,2944.55,2747.40,2929.85,255154,28235,723684217.00,123667,48.47,197.15,169.85
August-2016,2951.00,3497.00,2811.15,3453.80,739101,66845,2363510609.00,297261,40.22,685.85,502.80
September-2016,3452.00,3575.00,3199.00,3366.80,252960,32024,869226379.00,104739,41.41,376.00,-85.20
October-2016,3390.00,3525.00,3177.00,3312.55,232977,23715,775851478.00,143757,61.70,348.00,-77.45
November-2016,3326.30,3379.35,2781.00,3037.60,417714,44561,1291981555.00,258053,61.78,598.35,-288.70
December-2016,3020.00,3087.00,2776.00,2882.20,554039,34052,1624488266.00,461164,83.24,311.00,-137.80
January-2017,2897.70,3160.50,2832.90,3127.15,237820,37351,717560832.00,97202,40.87,327.60,229.45
