Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2011,370.00,380.80,325.00,332.25,3456288,55851,1219719675.00,1263268,36.55,55.80,-37.75
February-2011,332.00,334.00,296.45,299.70,4827907,62232,1499466610.00,2861272,59.27,37.55,-32.30
March-2011,300.00,332.00,286.10,321.05,5431128,72194,1648716616.00,2809118,51.72,45.90,21.05
April-2011,323.00,326.00,305.00,308.85,2008138,33282,638758997.00,941595,46.89,21.00,-14.15
May-2011,311.30,334.00,295.15,326.10,3131451,44334,975043527.00,1705455,54.46,38.85,14.80
June-2011,326.10,341.50,310.05,330.35,2874171,48995,952879897.00,1381065,48.05,31.45,4.25
July-2011,330.00,337.95,305.10,307.85,1813764,32254,579569123.00,853076,47.03,32.85,-22.15
August-2011,312.00,315.00,274.10,280.00,2266020,49622,661760249.00,684044,30.19,40.90,-32.00
September-2011,285.00,299.10,273.60,282.70,2619325,52050,744933899.00,760924,29.05,25.50,-2.30
October-2011,280.75,299.95,276.10,294.55,1733876,34261,497309141.00,754974,43.54,23.85,13.80
November-2011,293.20,329.50,284.00,327.95,4043059,67814,1260188625.00,1849662,45.75,45.50,34.75
December-2011,331.00,340.00,315.00,319.55,3152893,51736,1037754552.00,1574636,49.94,25.00,-11.45
January-2012,320.25,351.90,315.10,349.15,3126120,45605,1058067640.00,1788153,57.20,36.80,28.90
February-2012,351.00,359.00,311.00,316.80,3141318,61240,1040761207.00,1424627,45.35,48.00,-34.20
March-2012,318.00,320.00,286.50,304.55,6751110,46886,2024928524.00,5602902,82.99,33.50,-13.45
April-2012,305.00,324.60,302.20,311.85,3667369,30259,1154799917.00,2813246,76.71,22.40,6.85
May-2012,312.40,331.00,304.30,309.65,2532991,53743,812553555.00,980229,38.70,26.70,-2.75
June-2012,310.10,317.15,300.70,316.40,1300506,31869,401398365.00,473763,36.43,16.45,6.30
July-2012,316.00,341.90,313.35,338.55,3057820,40746,1003590242.00,1887144,61.72,28.55,22.55
August-2012,360.00,383.00,344.75,378.15,5874881,75414,2127272462.00,3317484,56.47,38.25,18.15
September-2012,378.00,395.45,352.80,380.60,4901865,77591,1829685362.00,2128601,43.42,42.65,2.60
October-2012,379.40,386.85,353.10,363.50,3204461,60112,1178370335.00,1379318,43.04,33.75,-15.90
November-2012,365.90,415.90,363.60,414.00,6032591,91606,2357377238.00,2970174,49.24,52.30,48.10
December-2012,415.05,430.00,402.70,414.10,2991040,52036,1248318646.00,1492199,49.89,27.30,-0.95
January-2013,415.05,435.00,385.20,407.20,4615981,73732,1928361352.00,2342255,50.74,49.80,-7.85
February-2013,407.00,417.45,357.00,360.75,3917874,79246,1517452361.00,1468187,37.47,60.45,-46.25
March-2013,362.00,395.90,354.40,379.75,2365399,45011,907114024.00,910747,38.50,41.50,17.75
April-2013,380.55,413.55,379.55,405.95,1845131,40122,735647558.00,573073,31.06,34.00,25.40
May-2013,406.00,428.00,368.00,370.45,3619047,64415,1461851846.00,1421161,39.27,60.00,-35.55
June-2013,371.00,392.80,364.05,391.45,3492798,55590,1323170072.00,1829891,52.39,28.75,20.45
July-2013,392.50,419.60,369.25,400.95,2309877,61581,937978506.00,859447,37.21,50.35,8.45
August-2013,401.00,429.50,381.80,416.95,2840673,91983,1149880562.00,892013,31.40,47.70,15.95
September-2013,418.00,450.00,403.55,432.00,3046025,83553,1317549625.00,1176259,38.62,46.45,14.00
October-2013,433.00,444.40,409.00,413.95,2176921,65586,919842026.00,865213,39.74,35.40,-19.05
November-2013,414.00,429.40,378.00,391.10,2549250,77455,1027302083.00,979013,38.40,51.40,-22.90
December-2013,392.25,409.50,374.00,400.55,2776819,72723,1092539636.00,1146811,41.30,35.50,8.30
January-2014,403.00,425.00,386.65,410.65,2582202,68173,1055712669.00,1038996,40.24,38.35,7.65
February-2014,410.10,423.65,366.70,384.35,6617406,106509,2561197962.00,4068865,61.49,56.95,-25.75
March-2014,387.45,401.70,375.00,383.70,2376910,63459,913664584.00,890289,37.46,26.70,-3.75
April-2014,384.00,409.30,380.25,398.00,4224455,92629,1665785043.00,2353576,55.71,29.05,14.00
May-2014,398.70,425.00,368.70,384.15,4974003,124880,1933942859.00,2468328,49.62,56.30,-14.55
June-2014,388.10,445.00,381.90,437.95,5838283,163350,2443314381.00,1609223,27.56,63.10,49.85
July-2014,438.80,462.65,425.90,456.30,3188429,98078,1414857020.00,964527,30.25,36.75,17.50
August-2014,456.90,517.10,430.35,514.30,3212232,109562,1512069379.00,935653,29.13,86.75,57.40
September-2014,519.80,639.05,515.00,625.70,6540955,221323,3866817367.00,1551081,23.71,124.05,105.90
October-2014,626.05,671.95,571.05,667.10,3018933,123972,1840475415.00,748057,24.78,100.90,41.05
November-2014,670.00,670.50,593.25,634.95,3683322,122158,2320379243.00,1394100,37.85,77.25,-35.05
December-2014,635.00,667.55,598.25,625.80,3441988,95518,2192828343.00,1700892,49.42,69.30,-9.20
January-2015,627.10,711.45,604.80,696.05,3150922,116498,2078244441.00,1126152,35.74,106.65,68.95
February-2015,698.00,706.00,624.00,681.50,5252889,157611,3489818729.00,2402802,45.74,82.00,-16.50
March-2015,682.00,752.45,681.45,711.20,3870548,147857,2762733253.00,1378656,35.62,71.00,29.20
April-2015,708.05,745.55,619.30,637.05,3994108,152097,2756592031.00,1397247,34.98,126.25,-71.00
May-2015,640.00,696.15,621.00,650.45,3651013,116106,2421345171.00,1196926,32.78,75.15,10.45
June-2015,645.00,672.60,572.00,616.30,4294666,92114,2653102267.00,1688992,39.33,100.60,-28.70
July-2015,617.00,724.75,617.00,709.20,2435649,65200,1623244375.00,666552,27.37,107.75,92.20
August-2015,705.00,748.00,606.00,681.50,5267550,138761,3635142712.00,1328312,25.22,142.00,-23.50
September-2015,683.00,688.75,624.20,637.80,3035147,86809,1980523083.00,662257,21.82,64.55,-45.20
October-2015,643.85,704.75,633.00,689.85,2776414,79893,1866520398.00,738691,26.61,71.75,46.00
November-2015,690.50,690.50,613.55,644.00,1957792,58495,1271533459.00,551455,28.17,76.95,-46.50
December-2015,646.00,660.00,620.10,649.50,1284987,45253,828801651.00,390313,30.37,39.90,3.50
