Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2011,316.30,320.00,301.00,304.00,14055578,152487,4373301838.00,7369343,52.43,19.00,-12.30
February-2011,305.90,331.75,288.95,328.15,15326369,204536,4789534442.00,4977430,32.48,42.80,22.25
March-2011,327.40,370.90,318.25,347.10,23034709,298015,7921178584.00,5667320,24.60,52.65,19.70
April-2011,348.00,383.30,342.80,380.10,14996475,187430,5471332340.00,4444457,29.64,40.50,32.10
May-2011,383.80,422.30,359.70,408.45,29940024,433739,11555747637.00,8107342,27.08,62.60,24.65
June-2011,407.60,416.25,370.00,392.40,12216702,219934,4869715719.00,2751411,22.52,46.25,-15.20
July-2011,393.75,408.40,353.25,387.95,20223852,300758,7599174963.00,6955686,34.39,55.15,-5.80
August-2011,391.70,406.10,357.60,374.95,14777457,258318,5685203448.00,4429275,29.97,48.50,-16.75
September-2011,379.40,393.40,325.40,332.75,10760883,196479,3901925935.00,2875060,26.72,68.00,-46.65
October-2011,330.00,349.00,314.25,332.40,18848824,299083,6248316273.00,6101615,32.37,34.75,2.40
November-2011,331.30,332.40,295.00,326.40,11894809,161833,3760075241.00,5576656,46.88,37.40,-4.90
December-2011,334.10,338.00,293.75,300.85,9772166,159628,3014418738.00,3412317,34.92,44.25,-33.25
January-2012,302.60,358.00,302.60,325.65,14146739,232738,4696915444.00,4660578,32.94,55.40,23.05
February-2012,326.60,343.80,315.65,333.15,12752644,231954,4182985363.00,4732446,37.11,28.15,6.55
March-2012,333.00,350.00,324.05,343.10,17364101,142475,5861946691.00,12246505,70.53,25.95,10.10
April-2012,341.40,367.10,328.55,352.55,5183902,97583,1813981583.00,1468680,28.33,38.55,11.15
May-2012,355.00,355.20,301.20,321.70,5693581,105873,1829345951.00,2799034,49.16,54.00,-33.30
June-2012,322.00,353.60,315.15,347.40,3552823,79399,1195126014.00,1453155,40.90,38.45,25.40
July-2012,347.00,363.30,344.75,359.30,3344133,69171,1184682046.00,1560855,46.67,18.55,12.30
August-2012,358.70,371.65,335.05,352.75,4393435,94117,1551986552.00,1827107,41.59,36.60,-5.95
September-2012,350.20,386.00,349.35,359.45,3204115,74425,1178268061.00,1294020,40.39,36.65,9.25
October-2012,360.00,369.90,343.15,346.25,2758626,55223,988032251.00,1292928,46.87,26.75,-13.75
November-2012,347.00,373.30,342.25,365.95,3159273,53421,1116382483.00,1566562,49.59,31.05,18.95
December-2012,366.00,374.05,348.50,355.05,4420193,48967,1570523196.00,1564077,35.38,25.55,-10.95
January-2013,355.50,372.10,337.05,353.55,3988620,62738,1419919106.00,2144559,53.77,35.05,-1.95
February-2013,350.50,359.00,305.10,310.30,6078069,74213,2061678047.00,3930821,64.67,53.90,-40.20
March-2013,309.20,327.30,291.20,309.15,6672610,70456,2052087587.00,3933896,58.96,36.10,-0.05
April-2013,308.20,323.80,292.05,318.70,3384001,63197,1044440959.00,1226115,36.23,31.75,10.50
May-2013,321.25,329.60,294.45,324.95,4571562,75572,1423528023.00,2112268,46.20,35.15,3.70
June-2013,323.50,330.65,285.15,302.95,7606554,93817,2336826162.00,5077106,66.75,45.50,-20.55
July-2013,303.05,307.60,270.00,281.45,5583069,120049,1633282581.00,2913621,52.19,37.60,-21.60
August-2013,282.25,286.00,238.35,250.50,4576266,160779,1193592451.00,1815212,39.67,47.65,-31.75
September-2013,252.30,309.00,252.30,295.00,4542832,159079,1318137074.00,2380960,52.41,56.70,42.70
October-2013,294.95,314.85,275.30,287.35,4808546,128971,1405920516.00,2400786,49.93,39.55,-7.60
November-2013,286.00,301.65,261.10,271.60,7070532,97269,2005375324.00,5159793,72.98,40.55,-14.40
December-2013,270.00,297.95,268.10,290.00,5008739,114425,1422369646.00,1794628,35.83,29.85,20.00
January-2014,294.05,304.95,244.45,247.50,13734704,257116,3869670487.00,7780694,56.65,60.50,-46.55
February-2014,246.50,271.10,240.50,244.00,5074590,102834,1314435398.00,2935016,57.84,30.60,-2.50
March-2014,244.50,292.10,240.80,287.90,8645910,147179,2269029229.00,5926107,68.54,51.30,43.40
April-2014,289.90,304.15,275.30,291.70,3476288,114487,1013528667.00,1385315,39.85,28.85,1.80
May-2014,292.00,417.00,292.00,371.15,15390089,409898,5623351494.00,5130476,33.34,125.00,79.15
June-2014,370.50,423.85,367.05,385.30,11725766,345762,4659816091.00,3461075,29.52,56.80,14.80
July-2014,388.00,399.50,353.00,368.95,9505767,257505,3562201056.00,3935348,41.40,46.50,-19.05
August-2014,366.80,372.85,348.00,356.40,5117620,152743,1843736948.00,2060739,40.27,24.85,-10.40
September-2014,358.00,384.90,333.00,341.35,7339094,226144,2618753411.00,2161608,29.45,51.90,-16.65
October-2014,342.55,370.85,331.60,369.35,4210955,128807,1471728638.00,1784312,42.37,39.25,26.80
November-2014,372.00,375.15,340.00,354.75,5022924,120271,1754293537.00,2376780,47.32,35.15,-17.25
December-2014,354.90,393.00,346.40,383.75,4382529,128577,1615406949.00,1861163,42.47,46.60,28.85
January-2015,384.00,399.85,356.75,360.85,6997058,168485,2608097288.00,3202835,45.77,43.10,-23.15
February-2015,353.05,399.00,349.95,393.85,19409152,363311,7062540497.00,10666892,54.96,49.05,40.80
March-2015,397.10,398.00,346.20,362.40,6157141,153991,2255748092.00,3186882,51.76,51.80,-34.70
April-2015,363.00,395.40,356.35,363.00,3081161,127819,1162851002.00,1101625,35.75,39.05,0.00
May-2015,364.90,393.40,352.00,391.30,12550439,115835,4571096605.00,9872185,78.66,41.40,26.40
June-2015,390.00,422.10,382.00,421.05,9271021,120877,3748308907.00,4038768,43.56,40.10,31.05
July-2015,422.90,442.00,413.80,439.30,9062339,113420,3869164275.00,5380021,59.37,28.20,16.40
August-2015,441.15,447.25,332.95,366.35,8989163,131294,3391937856.00,2938127,32.69,114.30,-74.80
September-2015,362.00,365.50,300.75,326.50,11479938,100571,3751108758.00,7706508,67.13,64.75,-35.50
October-2015,329.00,349.00,318.55,319.90,4531707,73849,1519107557.00,1670338,36.86,30.45,-9.10
November-2015,323.90,344.70,316.95,330.70,4400992,67254,1468591370.00,1581493,35.93,27.75,6.80
December-2015,331.00,346.50,305.50,328.70,3870396,64768,1249705691.00,1227758,31.72,41.00,-2.30
January-2016,329.80,337.00,286.90,320.05,5523099,75710,1718745760.00,2627124,47.57,50.10,-9.75
February-2016,320.50,336.80,293.00,311.20,6538117,124958,2042564887.00,2142667,32.77,43.80,-9.30
March-2016,312.00,334.00,291.05,292.00,10850422,144728,3399629883.00,6073061,55.97,42.95,-20.00
April-2016,292.00,293.80,272.05,287.10,8876641,126501,2492738809.00,3826518,43.11,21.75,-4.90
May-2016,288.00,296.00,272.65,291.65,13741203,92106,3900056202.00,10458960,76.11,23.35,3.65
June-2016,293.00,318.80,289.15,313.15,8877038,95001,2741579430.00,5105678,57.52,29.65,20.15
July-2016,313.50,335.80,309.60,328.00,6341943,93047,2039242772.00,2720808,42.90,26.20,14.50
August-2016,330.00,349.85,320.90,333.65,10895085,79336,3637841904.00,8189795,75.17,28.95,3.65
September-2016,333.65,341.00,317.20,322.55,7298540,71536,2391160781.00,4763370,65.26,23.80,-11.10
October-2016,322.50,329.55,309.55,326.00,6189603,63123,1962994658.00,4217120,68.13,20.00,3.50
November-2016,325.30,337.30,289.20,308.20,8719159,79378,2769736976.00,5680068,65.14,48.10,-17.10
December-2016,309.00,315.00,282.20,300.00,5254982,83710,1561436432.00,2343055,44.59,32.80,-9.00
January-2017,303.00,320.00,297.15,309.90,4647680,89081,1437859814.00,1650775,35.52,22.85,6.90
February-2017,310.00,332.10,306.60,321.80,5963600,83105,1922019805.00,2928576,49.11,25.50,11.80
March-2017,323.00,327.95,288.20,292.80,12789502,116165,3842226180.00,8193810,64.07,39.75,-30.20
April-2017,292.10,298.00,273.70,276.85,8995392,69538,2562907357.00,5505529,61.20,24.30,-15.25
May-2017,278.25,284.35,260.00,263.30,5928408,58070,1617516182.00,2712992,45.76,24.35,-14.95
June-2017,263.00,270.00,243.35,244.20,4735330,54555,1209858247.00,2287620,48.31,26.65,-18.80
July-2017,244.45,265.30,243.00,249.15,9896682,67564,2509476186.00,5705856,57.65,22.30,4.70
August-2017,249.80,253.75,234.00,238.00,10264768,82578,2486763850.00,5186322,50.53,19.75,-11.80
September-2017,239.00,272.20,238.00,270.60,12309735,80837,3155727020.00,5990938,48.67,34.20,31.60
October-2017,273.00,294.90,268.70,286.35,10938114,46974,3110728883.00,7665375,70.08,26.20,13.35
November-2017,288.30,292.40,266.30,276.20,5977147,49411,1680218124.00,2527105,42.28,26.10,-12.10
December-2017,275.10,276.15,261.05,263.00,3845234,46317,1025896239.00,1310000,34.07,15.10,-12.10
January-2018,265.95,310.45,262.55,298.60,9237378,82294,2697021431.00,3702495,40.08,47.90,32.65
February-2018,300.00,316.55,284.80,309.55,9909738,57391,2995780678.00,5036562,50.82,31.75,9.55
March-2018,310.00,314.00,265.45,283.50,6135079,42102,1801425664.00,3063389,49.93,48.55,-26.50
April-2018,283.50,294.80,272.45,283.85,2853860,27493,811958438.00,1365139,47.83,22.35,0.35
May-2018,281.10,303.00,257.60,294.50,4612681,48415,1272946007.00,1468487,31.84,45.40,13.40
June-2018,295.00,299.15,256.00,264.40,3411327,41678,951151285.00,1372448,40.23,43.15,-30.60
July-2018,264.00,279.80,258.70,261.70,2528781,29387,672754516.00,835961,33.06,21.10,-2.30
August-2018,261.50,299.60,261.50,286.10,6948412,50826,1940851808.00,3147306,45.30,38.10,24.60
September-2018,286.70,289.90,264.85,266.85,2518390,48640,701134453.00,668079,26.53,25.05,-19.85
October-2018,266.00,288.30,261.55,266.15,5183170,49659,1420771713.00,2526836,48.75,26.75,0.15
November-2018,265.40,271.70,239.55,244.30,8051951,63782,2090103019.00,4400007,54.65,32.15,-21.10
December-2018,246.45,254.10,228.50,240.75,5626332,56913,1385975269.00,1946128,34.59,25.60,-5.70
January-2019,241.00,241.75,218.10,225.15,3692949,43581,853522589.00,1342548,36.35,23.65,-15.85
February-2019,224.50,229.00,212.00,228.35,6246587,58743,1370340500.00,2013043,32.23,17.00,3.85
March-2019,229.45,247.70,226.60,236.80,6457198,62695,1541432007.00,1968771,30.49,21.10,7.35
April-2019,237.00,258.20,232.00,251.95,4155040,42498,1025353995.00,1701061,40.94,26.20,14.95
May-2019,252.00,263.30,229.85,253.35,4929259,47966,1226365876.00,1347028,27.33,33.45,1.35
June-2019,254.80,270.90,250.85,253.75,3780867,41793,982250732.00,1135428,30.03,20.05,-1.05
July-2019,253.00,256.35,197.15,204.50,5207831,45889,1193384063.00,2068337,39.72,59.20,-48.50
August-2019,205.00,215.60,177.80,184.60,13820279,79322,2713339065.00,7703206,55.74,37.80,-20.40
September-2019,184.00,208.00,179.15,199.90,12162802,68698,2393844629.00,5340605,43.91,28.85,15.90
October-2019,200.00,211.65,182.20,207.80,6365160,40475,1253387303.00,1441310,22.64,29.45,7.80
November-2019,205.10,217.90,195.95,205.05,3987885,37789,826036171.00,914714,22.94,21.95,-0.05
December-2019,204.80,212.30,185.10,211.40,11711829,29351,2356420085.00,9005680,76.89,27.20,6.60
January-2020,211.95,214.50,180.05,181.85,6437634,66078,1276460723.00,1788185,27.78,34.45,-30.10
February-2020,184.80,185.95,165.00,168.25,8238628,84387,1455342649.00,2443814,29.66,20.95,-16.55
March-2020,172.10,180.40,119.25,140.00,12884439,126874,1884303128.00,3873877,30.07,61.15,-32.10
April-2020,140.00,152.45,131.85,148.60,5581712,75609,793589036.00,1337265,23.96,20.60,8.60
May-2020,146.90,147.25,121.10,141.05,9547158,78684,1241728406.00,4829820,50.59,26.15,-5.85
June-2020,142.90,149.50,128.15,132.50,17264902,141905,2386211484.00,4724930,27.37,21.35,-10.40
July-2020,133.00,137.50,124.65,129.35,12147658,141207,1595110631.00,4050689,33.35,12.85,-3.65
August-2020,128.60,143.90,127.80,134.45,13504701,116210,1842583509.00,5012730,37.12,16.10,5.85
September-2020,135.00,138.10,113.95,116.00,13833124,155299,1714480386.00,4992941,36.09,24.15,-19.00
October-2020,116.05,119.65,109.50,114.20,14297878,124693,1630385008.00,5136770,35.93,10.15,-1.85
November-2020,115.00,129.35,113.60,125.60,19869530,181972,2446196453.00,7605878,38.28,15.75,10.60
December-2020,126.00,145.75,124.90,135.50,27064415,207029,3720769578.00,9861007,36.44,20.85,9.50
January-2021,135.10,148.90,125.20,126.05,19588413,170510,2722972756.00,7208961,36.80,23.70,-9.05
February-2021,126.30,162.95,125.80,152.15,40311788,232645,5811213904.00,11233578,27.87,37.15,25.85
March-2021,155.00,157.25,127.10,130.40,18194943,134148,2642787874.00,6038541,33.19,30.15,-24.60
April-2021,131.00,134.60,123.45,133.15,11798950,91338,1520453619.00,4057016,34.38,11.15,2.15
May-2021,132.35,159.70,131.20,147.80,22869801,177213,3378526138.00,7264694,31.77,28.50,15.45
June-2021,149.00,164.90,143.55,146.60,25721563,214725,3976391015.00,8935620,34.74,21.35,-2.40
July-2021,146.65,150.65,141.10,143.25,10337545,87109,1513668381.00,3237043,31.31,9.55,-3.40
August-2021,144.80,148.45,132.80,145.80,11296233,106023,1603906316.00,5063574,44.83,15.65,1.00
September-2021,146.50,195.80,140.95,185.20,28767384,229281,4815430136.00,11557359,40.18,54.85,38.70
October-2021,184.80,203.85,171.80,173.55,22672263,162934,4263705363.00,8119896,35.81,32.05,-11.25
