Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2011,100.40,105.00,86.70,93.95,3502839,31218,349289668.00,1586666,45.30,18.30,-6.45
February-2011,94.20,102.00,89.80,100.05,3649600,22595,345482144.00,2608501,71.47,12.20,5.85
March-2011,100.00,103.50,93.00,96.05,2297274,16279,222266186.00,1594151,69.39,10.50,-3.95
April-2011,96.50,105.00,96.15,101.20,3283798,27924,332381262.00,1480470,45.08,8.85,4.70
May-2011,101.80,119.90,98.10,116.85,7435424,41074,786344312.00,4902444,65.93,21.80,15.05
June-2011,115.00,122.00,110.25,114.05,3641937,28602,420912248.00,1757916,48.27,11.75,-0.95
July-2011,115.60,118.90,103.70,104.25,3029875,24169,342289702.00,1355627,44.74,15.20,-11.35
August-2011,105.50,110.95,98.40,110.50,2405240,23006,251632124.00,1288784,53.58,12.55,5.00
September-2011,111.00,113.60,100.20,102.70,2510309,29849,266152377.00,1046941,41.71,13.40,-8.30
October-2011,102.00,104.90,95.00,101.00,2201309,23279,219384339.00,1022421,46.45,9.90,-1.00
November-2011,102.50,102.50,93.85,95.50,2182261,22167,214692759.00,996123,45.65,8.65,-7.00
December-2011,96.90,105.20,93.50,99.75,1575380,22271,154921898.00,639144,40.57,11.70,2.85
January-2012,100.15,102.80,92.30,94.10,5763673,26108,547775435.00,4490682,77.91,10.50,-6.05
February-2012,92.05,106.90,92.05,103.85,9953553,31640,1004927839.00,8047532,80.85,14.85,11.80
March-2012,104.55,108.00,101.80,106.40,1826168,14014,190521961.00,1103786,60.44,6.20,1.85
April-2012,106.50,114.40,103.20,111.60,1754066,19402,194551505.00,763832,43.55,11.20,5.10
May-2012,112.25,113.00,102.25,104.35,6838109,11723,729160502.00,6297279,92.09,10.75,-7.90
June-2012,104.35,115.30,101.25,114.05,1656802,17076,182054805.00,824004,49.73,14.05,9.70
July-2012,114.60,121.40,111.60,119.20,2892011,16750,339650504.00,1959308,67.75,9.80,4.60
August-2012,119.50,126.65,117.00,123.50,3234140,16100,391762666.00,2358853,72.94,9.65,4.00
September-2012,124.15,132.05,122.50,128.10,1630926,17547,206689537.00,755656,46.33,9.55,3.95
October-2012,129.20,138.65,123.60,124.25,3516805,27931,463502898.00,2041138,58.04,15.05,-4.95
November-2012,140.00,140.00,120.90,127.80,1335056,15356,167718075.00,599917,44.94,19.10,-12.20
December-2012,128.60,132.50,126.15,128.75,3237685,15212,419076877.00,2467484,76.21,6.35,0.15
January-2013,129.40,133.55,124.45,131.75,2526382,17997,326939433.00,1625388,64.34,9.10,2.35
February-2013,133.45,134.70,125.05,126.45,4031984,10579,534548724.00,3512778,87.12,9.65,-7.00
March-2013,126.00,139.70,126.00,137.05,1878074,15889,251530465.00,933852,49.72,13.70,11.05
April-2013,137.55,155.85,137.00,147.85,2810746,28808,409748132.00,1184735,42.15,18.85,10.30
May-2013,148.00,165.70,148.00,156.55,2450580,30199,389034535.00,808838,33.01,17.70,8.55
June-2013,156.55,160.15,144.90,155.70,2005236,25127,307978651.00,1144030,57.05,15.25,-0.85
July-2013,156.00,177.40,153.60,161.70,3413695,67362,569909363.00,1384309,40.55,23.80,5.70
August-2013,162.00,174.70,142.75,162.75,3149782,60618,493352946.00,1352754,42.95,31.95,0.75
September-2013,163.50,172.95,162.40,169.80,1693522,38194,285265231.00,716917,42.33,10.55,6.30
October-2013,169.80,184.90,166.00,178.50,2036683,45825,358286499.00,622850,30.58,18.90,8.70
November-2013,179.90,179.90,156.50,165.40,2762051,57121,452243775.00,1327122,48.05,23.40,-14.50
December-2013,165.40,174.30,161.80,170.20,2503936,48133,420131292.00,1225296,48.93,12.50,4.80
January-2014,171.00,175.25,159.60,172.00,4122117,56057,692433360.00,2490057,60.41,15.65,1.00
February-2014,172.00,178.20,154.00,172.95,1509303,20620,261944896.00,938638,62.19,24.20,0.95
March-2014,174.00,182.00,170.60,179.55,2644116,30586,466505362.00,1756859,66.44,11.40,5.55
April-2014,179.00,190.00,177.00,179.35,1974835,40938,355582051.00,1094490,55.42,13.00,0.35
May-2014,179.35,191.90,177.15,187.50,3017102,74703,550508801.00,1673691,55.47,14.75,8.15
June-2014,188.50,196.15,183.15,187.25,1635713,39460,308889589.00,459315,28.08,13.00,-1.25
July-2014,187.60,207.90,186.00,206.70,3784031,72161,736194127.00,2031790,53.69,21.90,19.10
August-2014,205.70,235.40,200.00,232.40,3465700,66663,766379687.00,1767268,50.99,35.40,26.70
September-2014,232.15,234.05,220.00,222.20,3458826,40212,780021682.00,2083198,60.23,14.05,-9.95
October-2014,222.20,228.55,196.40,225.90,3311610,73621,698526410.00,501804,15.15,32.15,3.70
November-2014,228.05,248.60,223.25,241.10,2056439,45458,480636243.00,491817,23.92,25.35,13.05
December-2014,241.00,248.00,217.60,233.55,1109337,36063,260273118.00,284872,25.68,30.40,-7.45
January-2015,234.75,262.60,222.20,256.15,2387696,57043,589930528.00,831355,34.82,40.40,21.40
February-2015,261.80,276.50,255.75,263.95,1629339,53495,435339885.00,436859,26.81,20.75,2.15
March-2015,264.10,286.90,260.50,265.45,1945895,66738,527235811.00,709369,36.45,26.40,1.35
April-2015,268.10,286.95,250.85,251.95,2456627,43917,669798527.00,1515744,61.70,36.10,-16.15
May-2015,251.10,275.00,251.10,270.85,1214897,39583,320055571.00,300664,24.75,23.90,19.75
June-2015,271.05,281.50,249.25,280.40,2097954,30681,567728017.00,1114771,53.14,32.25,9.35
July-2015,281.00,304.00,277.00,293.35,2537346,32456,737392670.00,1364789,53.79,27.00,12.35
August-2015,294.65,316.50,257.25,273.70,2412671,36056,710252973.00,1200282,49.75,59.25,-20.95
September-2015,274.00,287.90,269.00,276.30,2310827,32802,639793652.00,1449027,62.71,18.90,2.30
October-2015,276.60,286.70,261.80,270.20,1372644,31807,375182603.00,433539,31.58,24.90,-6.40
November-2015,270.00,281.25,260.30,273.65,1406146,25013,378835663.00,633378,45.04,20.95,3.65
December-2015,275.00,283.80,262.00,276.60,1216909,26133,333301316.00,455949,37.47,21.80,1.60
January-2016,277.00,281.00,231.30,250.05,14038246,36509,3516941704.00,13148747,93.66,49.70,-26.95
February-2016,250.05,253.25,233.80,237.80,840270,26602,205095413.00,263452,31.35,19.45,-12.25
March-2016,237.00,255.90,237.00,249.15,937186,25531,232023933.00,342795,36.58,18.90,12.15
