Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2011,655.00,674.55,592.05,636.20,174244,6955,111038112.00,89815,51.55,82.50,-18.80
February-2011,641.00,673.85,585.00,589.55,1062419,23784,664422920.00,790247,74.38,88.85,-51.45
March-2011,603.00,692.50,582.05,675.90,335218,7979,212583671.00,228956,68.30,110.45,72.90
April-2011,673.10,724.50,668.00,706.35,746980,11766,533908388.00,595312,79.70,56.50,33.25
May-2011,712.00,777.40,672.10,776.25,3379657,43614,2417510873.00,2420520,71.62,105.30,64.25
June-2011,780.00,806.90,715.00,785.05,383556,15449,298700806.00,164691,42.94,91.90,5.05
July-2011,792.00,842.50,781.90,824.75,320594,12800,263590124.00,145007,45.23,60.60,32.75
August-2011,830.00,831.90,690.00,722.45,347686,10606,269050064.00,223697,64.34,141.90,-107.55
September-2011,728.00,763.00,701.05,732.20,301396,10229,220350246.00,201119,66.73,61.95,4.20
October-2011,728.60,777.75,711.00,770.65,158614,8530,116556997.00,99423,62.68,66.75,42.05
November-2011,772.10,785.40,695.00,747.15,239293,12101,176100416.00,130244,54.43,90.40,-24.95
December-2011,758.80,790.00,715.00,775.35,221155,12142,167203996.00,110734,50.07,75.00,16.55
January-2012,784.85,825.30,753.45,786.70,332134,16640,260447142.00,170474,51.33,71.85,1.85
February-2012,793.50,799.00,711.00,728.70,424988,15856,318974996.00,205899,48.45,88.00,-64.80
March-2012,730.20,771.00,714.00,766.65,230519,8149,171129599.00,147574,64.02,57.00,36.45
April-2012,752.10,861.70,752.05,856.15,338399,16525,276652899.00,127142,37.57,109.65,104.05
May-2012,861.70,951.00,810.10,935.25,709944,31512,633146899.00,273701,38.55,140.90,73.55
June-2012,930.00,1033.00,898.30,1026.85,300902,18564,288288717.00,97510,32.41,134.70,96.85
July-2012,1030.00,1113.00,1011.00,1095.30,395386,20338,414745576.00,177131,44.80,102.00,65.30
August-2012,1095.00,1201.00,1090.00,1154.10,536298,23926,623461627.00,273755,51.05,111.00,59.10
September-2012,1142.90,1175.00,1025.20,1080.10,694656,24839,758612281.00,422696,60.85,149.80,-62.80
October-2012,1090.00,1202.00,1084.70,1199.90,416329,24385,476405819.00,205386,49.33,117.30,109.90
November-2012,1205.00,1233.00,1101.55,1174.75,324602,23432,381596041.00,139800,43.07,131.45,-30.25
December-2012,1175.00,1195.00,1046.00,1103.90,2245205,24940,2484931841.00,2025042,90.19,149.00,-71.10
January-2013,1111.05,1118.75,1005.15,1049.95,445125,16739,473260692.00,327156,73.50,113.60,-61.10
February-2013,1059.00,1120.00,994.65,1013.60,169363,12955,177005910.00,57429,33.91,125.35,-45.40
March-2013,1014.75,1056.00,925.00,983.70,157127,11210,158259034.00,56727,36.10,131.00,-31.05
April-2013,995.40,1103.95,988.00,1074.15,133049,11765,139016644.00,44855,33.71,115.95,78.75
May-2013,1078.60,1150.00,966.40,974.25,348146,18484,360367988.00,205649,59.07,183.60,-104.35
June-2013,984.35,1000.90,927.00,990.65,190603,15755,184682049.00,65915,34.58,73.90,6.30
July-2013,991.00,1025.80,906.15,933.95,295749,18187,293400092.00,185295,62.65,119.65,-57.05
August-2013,938.60,1015.00,905.00,990.95,426268,15337,417676661.00,314092,73.68,110.00,52.35
September-2013,992.50,1034.80,931.00,967.55,255653,19195,253547355.00,113555,44.42,103.80,-24.95
October-2013,969.00,1065.00,962.80,972.55,229713,18685,231816771.00,121177,52.75,102.20,3.55
November-2013,980.00,1184.00,968.75,1152.40,1020815,43125,1069716931.00,670205,65.65,215.25,172.40
December-2013,1160.00,1236.85,1095.10,1221.80,298415,24377,349607730.00,116294,38.97,141.75,61.80
January-2014,1227.40,1342.60,1220.00,1316.15,724435,21003,940406228.00,581853,80.32,122.60,88.75
February-2014,1320.00,1445.00,1297.00,1422.65,488590,25131,670223359.00,301869,61.78,148.00,102.65
March-2014,1424.00,1459.00,1301.55,1369.00,277328,15656,383968246.00,176038,63.48,157.45,-55.00
April-2014,1369.55,1410.00,1305.50,1379.95,194227,20998,263746258.00,80219,41.30,104.50,10.40
May-2014,1386.40,1411.00,1217.00,1272.15,297866,30810,381605635.00,151015,50.70,194.00,-114.25
June-2014,1275.85,1470.00,1227.40,1460.35,808573,42616,1040425661.00,627977,77.66,242.60,184.50
July-2014,1469.00,1548.95,1406.95,1474.55,186563,28242,277085785.00,70992,38.05,142.00,5.55
August-2014,1478.20,1601.15,1449.00,1560.30,299461,35483,449839541.00,159770,53.35,152.15,82.10
September-2014,1565.00,1819.00,1559.70,1799.30,350437,39796,596729858.00,188148,53.69,259.30,234.30
October-2014,1799.00,1881.90,1695.00,1871.70,167295,19494,297539841.00,80182,47.93,186.90,72.70
November-2014,1871.00,1871.00,1683.10,1730.00,433140,31733,753076521.00,273607,63.17,187.90,-141.00
December-2014,1750.00,1752.20,1620.80,1718.50,199863,25296,339088010.00,85463,42.76,131.40,-31.50
January-2015,1730.70,1790.00,1635.25,1742.45,199793,29394,341617368.00,112044,56.08,154.75,11.75
February-2015,1734.00,1765.00,1573.20,1721.30,274707,34622,460679923.00,156988,57.15,191.80,-12.70
March-2015,1733.30,1852.00,1717.00,1790.15,199086,34985,357101477.00,83665,42.02,135.00,56.85
April-2015,1784.00,1968.05,1689.00,1724.00,121601,28995,225549656.00,35940,29.56,279.05,-60.00
May-2015,1723.00,1880.00,1675.00,1819.15,516228,26370,909502386.00,347506,67.32,205.00,96.15
June-2015,1821.25,1890.00,1742.00,1876.00,168753,15453,302246249.00,91550,54.25,148.00,54.75
July-2015,1885.00,2029.00,1840.00,1962.80,152659,15172,294249535.00,61885,40.54,189.00,77.80
August-2015,1974.45,2483.60,1940.00,2370.65,496128,51413,1091096769.00,143619,28.95,543.60,396.20
September-2015,2390.00,2416.00,1065.40,1114.80,2905809,50512,5235537882.00,2507869,86.31,1350.60,-1275.20
October-2015,1138.00,1165.50,1051.75,1150.00,1050970,39318,1187686132.00,729790,69.44,113.75,12.00
November-2015,1164.00,1205.00,1090.00,1147.15,615874,36779,703051237.00,327584,53.19,115.00,-16.85
