Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2011,1666.00,1728.90,1526.00,1624.45,665761,29776,1092174654.00,259839,39.03,202.90,-41.55
February-2011,1638.00,1640.00,1451.25,1547.05,335922,22030,522328172.00,95972,28.57,188.75,-90.95
March-2011,1545.00,1675.00,1492.00,1638.55,500488,25370,786471594.00,170669,34.10,183.00,93.55
April-2011,1610.00,1700.00,1600.00,1662.35,235897,13916,387396454.00,68892,29.20,100.00,52.35
May-2011,1683.00,1716.00,1527.90,1616.25,618807,32791,988675338.00,278367,44.98,188.10,-66.75
June-2011,1612.00,1630.25,1483.10,1533.40,1360209,20912,2098003880.00,1105720,81.29,147.15,-78.60
July-2011,1541.00,1628.00,1511.00,1587.50,1040870,27934,1638044819.00,653506,62.78,117.00,46.50
August-2011,1587.50,1614.45,1387.00,1493.85,450986,26002,671271352.00,160974,35.69,227.45,-93.65
September-2011,1533.00,1650.00,1436.40,1480.80,273384,18719,407195225.00,75302,27.54,213.60,-52.20
October-2011,1470.00,1678.55,1443.70,1671.40,384149,19170,591860274.00,196681,51.20,234.85,201.40
November-2011,1650.00,1656.90,1501.00,1574.70,1047622,24265,1690998133.00,809256,77.25,155.90,-75.30
December-2011,1590.00,1635.00,1530.75,1577.95,594606,22432,932005945.00,344441,57.93,104.25,-12.05
January-2012,1570.15,1700.00,1535.15,1687.85,451120,16760,742731533.00,269755,59.80,164.85,117.70
February-2012,1695.00,1700.00,1593.45,1638.65,648694,40107,1068260875.00,199178,30.70,106.55,-56.35
March-2012,1642.85,1770.80,1631.25,1758.65,342734,18556,581202463.00,162673,47.46,139.55,115.80
April-2012,1770.00,1818.00,1690.00,1760.00,261450,19094,456347024.00,72706,27.81,128.00,-10.00
May-2012,1778.00,1780.00,1626.00,1690.75,302746,17568,508876352.00,81924,27.06,154.00,-87.25
June-2012,1675.95,1680.00,1528.00,1649.25,400239,22420,640037704.00,183202,45.77,152.00,-26.70
July-2012,1649.00,1725.00,1592.25,1614.45,525642,27663,864141557.00,212156,40.36,132.75,-34.55
August-2012,1620.00,1707.00,1604.00,1685.20,316115,16584,526340269.00,162712,51.47,103.00,65.20
September-2012,1690.00,1797.70,1617.00,1647.40,495639,20795,833032860.00,293527,59.22,180.70,-42.60
October-2012,1656.00,1781.00,1639.80,1756.90,469775,25150,803173754.00,155649,33.13,141.20,100.90
November-2012,1760.00,1830.00,1711.60,1822.90,1107503,17829,1960383238.00,641226,57.90,118.40,62.90
December-2012,1804.00,1912.90,1804.00,1828.50,284161,14267,523913869.00,155478,54.71,108.90,24.50
January-2013,1829.90,1968.60,1820.25,1918.25,1333053,25755,2559836874.00,1099960,82.51,148.35,88.35
February-2013,1918.00,1958.00,1727.40,1760.50,435011,17970,808774150.00,221420,50.90,230.60,-157.50
March-2013,1756.10,1845.35,1720.50,1766.30,177049,10212,316490502.00,56529,31.93,124.85,10.20
April-2013,1766.30,2035.00,1766.30,2023.75,357214,20959,687101143.00,126316,35.36,268.70,257.45
May-2013,2023.75,2150.90,1970.25,2092.60,967775,35322,2005236857.00,557699,57.63,180.65,68.85
June-2013,2095.00,2230.00,2037.00,2215.40,386553,22910,831971006.00,173549,44.90,193.00,120.40
July-2013,2220.00,2400.75,2136.35,2282.55,608259,49174,1379356578.00,226639,37.26,264.40,62.55
August-2013,2280.00,2354.95,2025.00,2293.25,374255,38715,817192664.00,116201,31.05,329.95,13.25
September-2013,2272.00,2471.70,2161.00,2383.65,438526,39282,1020565351.00,176957,40.35,310.70,111.65
October-2013,2395.65,2545.00,2350.00,2455.95,561434,40631,1366609486.00,288143,51.32,195.00,60.30
November-2013,2445.00,2498.70,2313.00,2484.85,315915,30978,772589517.00,97488,30.86,185.70,39.85
December-2013,2484.00,2554.00,2393.15,2533.05,216118,23640,533121727.00,64486,29.84,160.85,49.05
January-2014,2534.00,2690.00,2460.00,2607.00,388446,24006,1012291418.00,256334,65.99,230.00,73.00
February-2014,2607.20,2939.80,2517.05,2901.55,371192,41277,999975940.00,83299,22.44,422.75,294.35
March-2014,2880.00,2890.00,2548.00,2560.80,613453,47200,1669825254.00,274468,44.74,342.00,-319.20
April-2014,2580.00,2783.00,2522.00,2705.30,500334,48948,1307073756.00,218129,43.60,261.00,125.30
May-2014,2705.40,2753.00,2250.00,2448.10,1117007,98381,2794091956.00,680185,60.89,503.00,-257.30
June-2014,2455.00,2623.00,2293.00,2615.15,642837,72199,1533745716.00,306007,47.60,330.00,160.15
July-2014,2624.35,2852.00,2598.10,2807.40,578826,83668,1574191479.00,151645,26.20,253.90,183.05
August-2014,2773.00,2969.00,2711.90,2951.10,330630,41212,930894040.00,130121,39.36,257.10,178.10
September-2014,2950.00,3353.85,2942.20,3227.65,396840,55353,1239182565.00,121267,30.56,411.65,277.65
October-2014,3280.00,3280.00,2883.40,3161.70,427651,49316,1295296653.00,188496,44.08,396.60,-118.30
