Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2011,1240.50,1299.85,980.25,1029.50,105401,10196,119544356.00,38201,36.24,319.60,-211.00
February-2011,1015.00,1148.00,975.00,1062.25,540581,14312,574292716.00,319771,59.15,173.00,47.25
March-2011,1060.50,1365.90,1010.00,1333.10,294308,7701,320516445.00,244510,83.08,355.90,272.60
April-2011,1356.00,1366.60,1211.65,1241.80,58954,3423,76275441.00,34356,58.28,154.95,-114.20
May-2011,1230.50,1396.00,1119.00,1337.75,330712,21382,428916265.00,114108,34.50,277.00,107.25
June-2011,1348.70,1375.00,1170.00,1298.00,166137,3830,218451126.00,145302,87.46,205.00,-50.70
July-2011,1329.00,1365.00,1275.00,1320.30,28938,2905,38347850.00,16758,57.91,90.00,-8.70
August-2011,1350.00,1388.00,1292.05,1349.20,49450,3715,66222495.00,31743,64.19,95.95,-0.80
September-2011,1355.00,1648.00,1324.00,1600.25,261804,20698,394325372.00,110790,42.32,324.00,245.25
October-2011,1590.00,1730.00,1585.00,1692.75,97414,6174,162578466.00,68838,70.67,145.00,102.75
November-2011,1691.85,1762.00,1555.00,1605.30,170183,5342,277077905.00,151520,89.03,207.00,-86.55
December-2011,1639.70,1639.70,1376.05,1475.90,31100,4471,46931498.00,17732,57.02,263.65,-163.80
January-2012,1482.00,1700.00,1456.65,1671.00,78828,3246,120852145.00,68648,87.09,243.35,189.00
February-2012,1670.00,1820.00,1630.00,1730.40,126253,2855,218015443.00,90403,71.60,190.00,60.40
March-2012,1725.00,1999.00,1638.10,1983.25,254974,4569,467303765.00,239117,93.78,360.90,258.25
April-2012,1999.00,2360.95,1999.00,2278.50,123640,14712,270294906.00,62512,50.56,361.95,279.50
May-2012,2299.00,2310.00,1955.00,2293.50,159839,6406,351085441.00,133713,83.65,355.00,-5.50
June-2012,2314.00,2314.00,1620.00,1999.35,166111,3362,343521418.00,155806,93.80,694.00,-314.65
July-2012,2009.95,2069.95,1902.30,1950.90,225155,7118,441953124.00,193170,85.79,167.65,-59.05
August-2012,1955.00,2310.00,1900.00,2111.65,198997,7814,418920431.00,133411,67.04,410.00,156.65
September-2012,2219.95,2330.00,2049.05,2299.75,26983,4665,59195316.00,13838,51.28,280.95,79.80
