Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2011,386.00,423.70,367.00,369.30,666512,15344,264567643.00,459716,68.97,56.70,-16.70
February-2011,360.05,378.40,325.20,360.05,339760,15029,119295030.00,142852,42.04,53.20,0.00
March-2011,364.00,384.00,348.40,365.40,395979,16396,143838129.00,219556,55.45,35.60,1.40
April-2011,365.00,398.60,363.15,376.30,133370,6804,51029479.00,54844,41.12,35.45,11.30
May-2011,382.70,424.00,373.05,417.50,474643,15762,186521191.00,146411,30.85,50.95,34.80
June-2011,420.00,445.00,401.25,430.25,1057364,17223,442664178.00,731375,69.17,43.75,10.25
July-2011,434.00,463.95,425.05,435.70,572546,15631,252393501.00,297243,51.92,38.90,1.70
August-2011,435.00,443.00,398.00,425.20,389673,13843,162154247.00,251826,64.62,45.00,-9.80
September-2011,420.05,434.00,399.00,400.70,1575963,10580,642072667.00,1404264,89.11,35.00,-19.35
October-2011,400.00,455.55,387.00,438.40,281787,9552,115337167.00,150949,53.57,68.55,38.40
November-2011,435.00,437.90,374.15,400.75,137629,7233,55435071.00,67719,49.20,63.75,-34.25
December-2011,405.00,408.70,376.95,385.20,1139308,7232,446522172.00,1073617,94.23,31.75,-19.80
January-2012,387.00,450.00,370.00,445.70,504146,12497,207448710.00,308652,61.22,80.00,58.70
February-2012,445.00,459.00,420.55,447.95,278647,7039,123335818.00,219979,78.95,38.45,2.95
March-2012,451.00,494.00,431.00,479.65,1503656,13518,708738944.00,1371999,91.24,63.00,28.65
April-2012,482.00,544.25,482.00,539.75,1261188,14682,630373951.00,1055875,83.72,62.25,57.75
May-2012,545.00,601.00,503.10,574.75,835807,31558,471220963.00,299022,35.78,97.90,29.75
June-2012,573.80,583.70,465.00,572.60,2167158,12436,1212483694.00,2018517,93.14,118.70,-1.20
July-2012,574.90,658.00,563.70,627.60,245125,12269,148853588.00,83164,33.93,94.30,52.70
August-2012,628.10,701.90,600.30,690.60,229487,11017,149779589.00,87203,38.00,101.60,62.50
September-2012,695.00,695.00,625.00,667.75,1883455,10909,1242859572.00,1759151,93.40,70.00,-27.25
October-2012,669.00,744.60,663.05,723.70,314312,11331,217506453.00,194186,61.78,81.55,54.70
November-2012,710.00,742.00,661.25,735.45,1246181,14638,887208309.00,1095558,87.91,80.75,25.45
December-2012,739.40,767.80,678.95,721.90,134223,9462,97749598.00,60960,45.42,88.85,-17.50
