Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2011,2341.00,2510.00,2260.00,2277.70,237797,13566,569278160.00,104776,44.06,250.00,-63.30
February-2011,2310.05,2393.00,2190.00,2264.25,112581,10658,257910692.00,32309,28.70,203.00,-45.80
March-2011,2270.00,2550.00,2260.10,2461.25,464337,15950,1123302958.00,319277,68.76,289.90,191.25
April-2011,2495.00,2625.00,2375.00,2452.75,290039,17528,728186590.00,144875,49.95,250.00,-42.25
May-2011,2444.00,2492.90,2196.00,2300.20,166843,14731,388647123.00,68018,40.77,296.90,-143.80
June-2011,2319.90,2335.00,1981.20,2093.50,159368,12209,337831622.00,86397,54.21,353.80,-226.40
July-2011,2092.80,2259.80,2048.00,2193.45,147808,10734,322679264.00,69314,46.89,211.80,100.65
August-2011,2220.00,2235.00,2040.00,2184.35,132493,11041,281675585.00,48791,36.83,195.00,-35.65
September-2011,2180.00,2376.90,2120.00,2343.60,195402,19817,441941882.00,62121,31.79,256.90,163.60
October-2011,2328.00,2580.00,2257.00,2477.80,151097,15556,360020262.00,47747,31.60,323.00,149.80
November-2011,2478.05,2539.80,2207.65,2337.85,134462,12009,321713003.00,53244,39.60,332.15,-140.20
December-2011,2348.90,2550.00,2277.50,2508.55,175116,16342,425911567.00,67963,38.81,272.50,159.65
January-2012,2470.00,2640.00,2374.05,2613.65,191288,19227,476290338.00,68715,35.92,265.95,143.65
February-2012,2610.00,2924.45,2609.20,2770.55,224746,20302,627297981.00,74263,33.04,315.25,160.55
March-2012,2772.95,2845.85,2545.70,2629.35,169215,11789,458311030.00,89750,53.04,300.15,-143.60
April-2012,2592.00,2688.00,2483.00,2567.80,114622,9162,295229935.00,57992,50.59,205.00,-24.20
May-2012,2567.80,2595.55,2273.30,2312.10,196572,14314,469081845.00,114805,58.40,322.25,-255.70
June-2012,2305.00,2670.00,2216.00,2647.35,251622,20684,620267587.00,89242,35.47,454.00,342.35
July-2012,2636.00,2886.90,2566.15,2870.95,179969,16499,486204750.00,66286,36.83,320.75,234.95
August-2012,2831.00,3073.00,2831.00,2968.30,297414,18170,883735985.00,145914,49.06,242.00,137.30
September-2012,2980.05,3346.60,2886.00,3315.40,193002,15639,597565980.00,97931,50.74,460.60,335.35
October-2012,3300.00,3511.00,3232.35,3315.20,209396,18477,714288659.00,94112,44.94,278.65,15.20
November-2012,3339.00,3413.90,3140.00,3359.65,115772,12151,378031461.00,60802,52.52,273.90,20.65
December-2012,3379.90,3406.75,3120.05,3162.45,163849,11611,529546519.00,84071,51.31,286.70,-217.45
January-2013,3179.35,3242.00,2950.00,3006.70,173022,13375,530663866.00,95972,55.47,292.00,-172.65
February-2013,3016.75,3100.00,2929.00,2964.35,151206,10587,457319260.00,94532,62.52,171.00,-52.40
March-2013,2939.90,3059.00,2800.00,2811.80,124164,10344,366871393.00,58429,47.06,259.00,-128.10
April-2013,2815.00,3000.00,2673.00,2931.40,120960,10207,340206529.00,59199,48.94,327.00,116.40
May-2013,2952.45,3159.00,2843.00,2855.65,96684,10831,289593295.00,32233,33.34,316.00,-96.80
June-2013,2860.00,2861.70,2713.50,2761.90,119813,10288,332133041.00,59639,49.78,148.20,-98.10
July-2013,2780.00,2834.90,2620.50,2640.20,123990,12928,343501703.00,72334,58.34,214.40,-139.80
August-2013,2649.00,2674.00,2134.00,2259.20,175676,20248,409184270.00,68513,39.00,540.00,-389.80
September-2013,2258.00,2858.10,2121.00,2656.15,169332,22985,423967146.00,43230,25.53,737.10,398.15
October-2013,2655.00,2839.05,2616.15,2817.65,119352,17075,325628523.00,50910,42.66,222.90,162.65
November-2013,2817.00,2843.95,2522.35,2658.35,109674,14391,287652678.00,49935,45.53,321.60,-158.65
