Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2011,2369.00,2398.85,1997.00,2042.85,2300717,93238,4960484832.00,786043,34.17,401.85,-326.15
February-2011,2059.80,2245.00,1980.00,2049.70,1781408,71589,3713497570.00,705212,39.59,265.00,-10.10
March-2011,2062.00,2390.00,2060.00,2342.95,1774933,76843,3923055519.00,610790,34.41,330.00,280.95
April-2011,2346.10,2440.00,2275.00,2292.50,1525760,65461,3604356117.00,590775,38.72,165.00,-53.60
May-2011,2300.00,2400.00,2210.00,2388.30,2066888,62371,4648188096.00,1140839,55.20,190.00,88.30
June-2011,2384.10,2515.00,2270.00,2502.60,880502,40344,2100661432.00,366036,41.57,245.00,118.50
July-2011,2527.00,2582.50,481.75,487.40,4008655,88610,3070855068.00,1477779,36.86,2100.75,-2039.60
August-2011,490.75,495.65,435.50,472.20,5373266,99210,2502818699.00,2173345,40.45,60.15,-18.55
September-2011,480.30,497.40,438.80,467.25,7196521,84555,3344916003.00,4276653,59.43,58.60,-13.05
October-2011,465.00,496.90,437.00,489.05,5022177,86537,2359411080.00,2220720,44.22,59.90,24.05
November-2011,485.00,492.40,411.25,441.45,5467949,104881,2461183008.00,2598399,47.52,81.15,-43.55
December-2011,456.00,470.05,400.45,427.05,5084562,107311,2208031864.00,1800226,35.41,69.60,-28.95
January-2012,431.80,501.05,419.35,490.90,3399145,81593,1583446210.00,1199760,35.30,81.70,59.10
February-2012,491.05,540.00,481.80,517.80,5133496,92080,2652566493.00,2692748,52.45,58.20,26.75
March-2012,513.05,533.00,493.20,520.05,4350737,61759,2248454821.00,2695517,61.96,39.80,7.00
April-2012,518.20,557.70,515.70,542.20,2296186,53818,1235091805.00,898735,39.14,42.00,24.00
May-2012,542.00,556.95,482.30,505.95,2919633,58775,1494373542.00,1304244,44.67,74.65,-36.05
June-2012,508.05,565.00,485.10,563.50,3021429,48446,1611294658.00,1729938,57.26,79.90,55.45
