Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
November-2017,311.00,417.65,307.65,370.80,35506385,497719,12432840827.00,13275139,37.39,110.00,59.80
December-2017,374.95,394.90,357.00,386.10,4016733,73789,1516335219.00,1563125,38.92,37.90,11.15
January-2018,389.00,493.75,384.00,427.10,7966725,144731,3543947625.00,2413536,30.30,109.75,38.10
February-2018,428.10,477.80,417.40,460.95,3818011,81144,1693886529.00,1159877,30.38,60.40,32.85
March-2018,462.00,464.55,418.00,453.50,1655411,46115,726594174.00,690441,41.71,46.55,-8.50
April-2018,455.00,546.50,455.00,518.95,4808099,93448,2427757186.00,2437207,50.69,91.50,63.95
May-2018,518.95,547.25,470.00,492.05,3352004,97842,1684542570.00,1214074,36.22,77.25,-26.90
June-2018,490.10,506.40,454.10,455.70,2622465,60053,1250441315.00,935992,35.69,52.30,-34.40
July-2018,458.85,510.75,451.00,501.15,2416806,46332,1158362412.00,1247630,51.62,59.75,42.30
August-2018,501.95,505.00,458.50,461.90,2336222,49853,1103510769.00,1146354,49.07,46.50,-40.05
September-2018,461.00,465.70,363.10,392.10,2974179,87404,1223473211.00,1514238,50.91,102.60,-68.90
October-2018,393.50,393.95,354.00,371.30,2184315,43796,814033080.00,1091560,49.97,39.95,-22.20
November-2018,375.75,407.90,370.10,396.15,4022922,30391,1553648936.00,3060298,76.07,37.80,20.40
December-2018,396.50,400.70,379.85,387.55,1443594,19677,562504731.00,919285,63.68,20.85,-8.95
January-2019,387.60,409.90,345.00,371.10,1385092,36319,529672370.00,491541,35.49,64.90,-16.50
February-2019,374.80,377.90,346.15,351.65,770376,19705,277054973.00,327221,42.48,31.75,-23.15
March-2019,353.00,393.80,352.00,378.50,6648770,76600,2459281285.00,3790675,57.01,41.80,25.50
April-2019,377.70,413.40,373.90,404.10,2497334,57790,983227652.00,1069810,42.84,39.50,26.40
May-2019,405.00,445.00,374.50,441.35,5327137,70614,2152843621.00,3273680,61.45,70.50,36.35
June-2019,441.00,470.40,429.10,464.35,2087294,61305,934479688.00,745496,35.72,41.30,23.35
July-2019,467.00,532.90,447.70,493.50,4740162,130438,2322320100.00,1461981,30.84,85.20,26.50
August-2019,493.45,569.60,480.35,557.05,84277040,246473,40991731011.00,69489003,82.45,89.25,63.60
September-2019,552.00,609.00,524.25,600.85,4142732,125800,2299443254.00,1310405,31.63,84.75,48.85
October-2019,604.70,646.40,572.30,625.90,112494491,186151,65107950350.00,101259445,90.01,74.10,21.20
November-2019,625.00,635.90,565.15,571.55,4295485,133705,2519764834.00,1797105,41.84,70.75,-53.45
December-2019,571.50,645.50,565.70,625.90,3274102,78831,1964799095.00,1812840,55.37,79.80,54.40
January-2020,623.85,644.00,594.80,599.10,3217255,101720,1974612179.00,1595965,49.61,49.20,-24.75
February-2020,598.00,608.95,527.60,544.00,4200741,112874,2399873983.00,1951285,46.45,81.35,-54.00
March-2020,553.00,572.70,339.15,441.60,59509150,192529,26435284052.00,51794352,87.04,233.55,-111.40
April-2020,439.00,518.70,416.30,500.90,5232989,117818,2509265624.00,2813815,53.77,102.40,61.90
May-2020,494.90,540.30,464.40,523.10,2537524,90408,1280352718.00,718989,28.33,75.90,28.20
June-2020,522.80,554.55,486.95,549.15,72179911,150593,35781249216.00,67411646,93.39,67.60,26.35
July-2020,554.00,647.50,545.70,627.20,5119062,145399,3106037508.00,1878004,36.69,101.80,73.20
August-2020,621.10,626.05,567.10,574.95,2236429,102442,1340857715.00,895427,40.04,58.95,-46.15
September-2020,579.80,613.60,556.25,561.20,1842651,90484,1079097460.00,760550,41.27,57.35,-18.60
October-2020,565.00,598.00,556.35,589.90,9733723,157995,5548973475.00,7394159,75.96,41.65,24.90
November-2020,591.80,688.35,585.35,647.65,3799817,133504,2418034251.00,1926164,50.69,103.00,55.85
December-2020,650.00,686.00,617.25,676.30,42601282,201796,26737565946.00,30401699,71.36,68.75,26.30
January-2021,679.00,731.00,666.00,677.80,3386785,116213,2362436782.00,1524037,45.00,65.00,-1.20
February-2021,677.85,744.00,668.50,701.40,4371067,139858,3085586056.00,2178073,49.83,75.50,23.55
March-2021,710.00,746.00,662.30,695.75,2740644,98178,1921945039.00,1148512,41.91,83.70,-14.25
April-2021,700.00,719.00,653.55,665.20,2901214,105985,1991123532.00,1360929,46.91,65.45,-34.80
May-2021,659.50,685.80,657.00,666.40,3710010,120620,2479462411.00,2083518,56.16,28.80,6.90
June-2021,667.15,731.25,663.00,686.40,114148626,201574,77010681952.00,102957064,90.20,68.25,19.25
July-2021,689.95,702.00,660.15,664.10,4564985,125023,3102385520.00,3410688,74.71,41.85,-25.85
August-2021,665.25,719.50,655.80,717.70,2303655,111610,1571947032.00,1245266,54.06,63.70,52.45
September-2021,720.00,775.65,707.30,722.60,4315493,120743,3192550645.00,2545972,59.00,68.35,2.60
October-2021,720.00,741.50,676.65,693.50,5203064,90797,3674087116.00,3983465,76.56,64.85,-26.50
