Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2011,248.00,251.90,217.10,229.40,24064039,204227,5655832204.00,6199101,25.76,34.80,-18.60
February-2011,231.00,251.35,194.70,200.80,28348913,259154,6177887280.00,4931575,17.40,56.65,-30.20
March-2011,202.50,215.30,189.50,208.65,21514987,198346,4414303915.00,5373124,24.97,25.80,6.15
April-2011,209.90,224.60,200.00,215.55,12379393,123065,2650506319.00,2872051,23.20,24.60,5.65
May-2011,217.50,217.50,181.95,197.10,14716285,158401,2896703160.00,2732292,18.57,35.55,-20.40
June-2011,198.00,198.85,161.55,181.00,17631758,163744,3156069686.00,5167316,29.31,37.30,-17.00
July-2011,183.45,197.00,166.70,168.40,14643162,138269,2635726687.00,4827680,32.97,30.30,-15.05
August-2011,170.00,171.80,128.55,150.35,22885247,217936,3401230274.00,6025328,26.33,43.25,-19.65
September-2011,154.00,163.35,125.00,131.30,21529455,201459,3072755842.00,5357441,24.88,38.35,-22.70
October-2011,129.45,143.70,119.50,136.35,24678817,200789,3176230849.00,7413628,30.04,24.20,6.90
November-2011,134.55,141.60,113.00,122.65,23273478,180073,2939720087.00,6464007,27.77,28.60,-11.90
December-2011,129.50,140.25,115.00,115.75,27468699,243266,3475553424.00,5262777,19.16,25.25,-13.75
January-2012,116.50,148.60,111.25,146.65,27885044,233471,3647529026.00,6921611,24.82,37.35,30.15
February-2012,147.10,164.90,138.60,148.65,32629079,298581,5022324692.00,7589759,23.26,26.30,1.55
March-2012,148.00,155.75,122.65,129.45,33802134,266641,4612988573.00,9652775,28.56,33.10,-18.55
April-2012,129.50,133.60,115.50,120.60,20327717,172771,2545968412.00,6346457,31.22,18.10,-8.90
May-2012,120.60,121.95,105.35,116.70,24439512,215626,2786587787.00,6711506,27.46,16.60,-3.90
June-2012,116.50,126.80,112.80,119.90,17620153,153795,2098987613.00,5076414,28.81,14.00,3.40
July-2012,120.50,127.80,113.00,119.90,17425858,133756,2112099596.00,7167642,41.13,14.80,-0.60
August-2012,120.25,124.00,102.35,103.75,15715243,141818,1787181590.00,5068323,32.25,21.65,-16.50
September-2012,105.40,121.85,100.15,120.50,17225123,142823,1942152772.00,5622660,32.64,21.70,15.10
October-2012,120.80,126.35,110.60,116.45,14279936,108737,1694351857.00,4240060,29.69,15.75,-4.35
November-2012,117.00,118.75,104.90,116.35,12829285,101640,1434748962.00,4538532,35.38,13.85,-0.65
December-2012,117.10,133.75,115.00,130.60,18041637,129562,2258045954.00,5889415,32.64,18.75,13.50
January-2013,131.15,137.00,112.80,115.75,18677800,128728,2329829823.00,5761457,30.85,24.20,-15.40
February-2013,116.00,117.35,98.50,99.35,23405702,134790,2527964027.00,10442557,44.62,18.85,-16.65
March-2013,99.00,102.50,86.90,91.50,23569441,152727,2246356987.00,7856691,33.33,15.60,-7.50
