Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
July-2013,270.00,285.00,208.45,208.45,5467716,8808,1335366839.00,5467716,100.00,76.55,-61.55
August-2013,192.35,216.00,172.00,198.15,2986006,62722,579974450.00,2301490,77.08,44.00,5.80
September-2013,200.00,231.70,166.00,182.70,1340271,44843,260929610.00,410198,30.61,65.70,-17.30
October-2013,182.00,224.10,182.00,214.50,3651017,84832,735068032.00,1456793,39.90,42.10,32.50
November-2013,215.70,237.80,208.00,223.30,2592854,61567,573902525.00,1092890,42.15,29.80,7.60
December-2013,224.00,252.00,213.85,238.80,2724806,59975,630548930.00,1124509,41.27,38.15,14.80
January-2014,239.00,253.50,202.50,206.45,1509065,36715,351351908.00,615399,40.78,51.00,-32.55
February-2014,207.80,207.80,188.00,191.40,2029430,25487,395816238.00,1460985,71.99,19.80,-16.40
March-2014,191.80,238.80,188.25,236.40,3975002,52421,860957932.00,2556470,64.31,50.55,44.60
April-2014,238.80,318.30,231.00,299.15,7790618,126280,2176422368.00,4750380,60.98,87.30,60.35
May-2014,301.00,406.90,281.00,389.70,3815705,114133,1307944446.00,2227678,58.38,125.90,88.70
June-2014,385.00,402.00,352.60,379.85,1050828,50018,404312773.00,620002,59.00,49.40,-5.15
July-2014,383.50,429.05,339.75,410.15,4203591,116595,1562488952.00,2995042,71.25,89.30,26.65
August-2014,401.00,412.25,372.55,377.00,3216848,59350,1253908247.00,2751228,85.53,39.70,-24.00
September-2014,381.65,442.00,381.65,402.20,1364621,66876,553819685.00,437959,32.09,60.35,20.55
October-2014,402.00,433.40,381.10,418.80,914108,38359,367643776.00,487721,53.35,52.30,16.80
November-2014,420.00,484.95,420.00,449.75,2102697,90919,951509580.00,909653,43.26,64.95,29.75
December-2014,453.50,474.75,401.10,459.05,1630610,90175,735794540.00,786024,48.20,73.65,5.55
January-2015,455.00,639.60,453.00,588.10,9805603,197317,5434144475.00,7247182,73.91,186.60,133.10
February-2015,588.45,650.60,561.10,623.15,3393309,174645,2089205135.00,1506711,44.40,89.50,34.70
March-2015,628.50,643.30,538.00,557.70,1621483,109909,942154324.00,651188,40.16,105.30,-70.80
April-2015,549.00,599.70,522.25,594.25,2111486,123129,1193981083.00,599727,28.40,77.45,45.25
May-2015,595.00,606.55,518.00,596.70,1405280,67959,804495457.00,448707,31.93,88.55,1.70
June-2015,594.00,627.25,542.75,622.40,5299199,65180,3112062528.00,3971017,74.94,84.50,28.40
July-2015,621.00,761.70,617.20,738.65,3619444,104139,2423208144.00,1828191,50.51,144.50,117.65
August-2015,767.95,820.00,686.00,750.25,2949692,113614,2280134117.00,1046608,35.48,134.00,-17.70
September-2015,722.00,797.35,690.00,791.75,5826432,91147,4248306938.00,4178169,71.71,107.35,69.75
October-2015,795.00,814.00,713.00,722.45,1475264,77996,1115031039.00,416601,28.24,101.00,-72.55
November-2015,717.00,729.00,590.60,687.50,4599503,141997,2946061813.00,1477698,32.13,138.40,-29.50
December-2015,690.00,741.70,641.00,737.45,1619245,60648,1134771575.00,430231,26.57,100.70,47.45
January-2016,731.00,749.00,642.55,706.30,1137711,61006,806403233.00,302478,26.59,106.45,-24.70
February-2016,704.00,718.00,551.00,575.05,2082436,74142,1254465039.00,972668,46.71,167.00,-128.95
March-2016,579.50,684.90,579.50,646.75,1530176,69846,980163927.00,528833,34.56,105.40,67.25
April-2016,650.00,709.90,600.10,690.90,4507001,73266,2997896513.00,3452108,76.59,109.80,40.90
May-2016,690.55,758.00,661.35,720.15,5689159,81293,3901164888.00,4412354,77.56,96.65,29.60
June-2016,725.00,765.00,625.00,671.10,1328100,62479,923330388.00,433510,32.64,140.00,-53.90
July-2016,673.50,785.60,672.05,764.05,5191817,125572,3740784094.00,2588002,49.85,113.55,90.55
