Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2011,3449.00,3493.95,3091.55,3116.30,2439518,153918,8036529263.00,513432,21.05,402.40,-332.70
February-2011,3133.00,3175.10,2973.90,3003.05,1689953,98607,5202185189.00,348996,20.65,201.20,-129.95
March-2011,3035.00,3260.15,2904.10,3236.75,2382349,119665,7287497560.00,780313,32.75,356.05,201.75
April-2011,3225.00,3316.85,2880.00,2905.95,6130813,371713,18415508784.00,1981863,32.33,436.85,-319.05
May-2011,2924.70,2952.95,2757.00,2791.85,2008750,141967,5747672802.00,602421,29.99,195.95,-132.85
June-2011,2794.00,2915.95,2660.55,2907.40,1817129,112421,5119681386.00,777588,42.79,255.40,113.40
July-2011,2930.00,3020.00,2709.00,2766.80,2588630,147262,7240041664.00,754820,29.16,311.00,-163.20
August-2011,2780.00,2819.95,2169.00,2342.80,3596743,205142,8448042453.00,1088445,30.26,650.95,-437.20
September-2011,2370.00,2567.90,2183.05,2533.80,3741340,209697,8881188568.00,945407,25.27,384.85,163.80
October-2011,2483.00,2971.30,2420.00,2875.20,4035782,220685,10783566156.00,1068275,26.47,551.30,392.20
November-2011,2840.10,2874.75,2505.35,2607.55,2729905,144940,7440428901.00,785966,28.79,369.40,-232.55
December-2011,2665.00,2800.00,2635.00,2765.05,2514861,149040,6852848827.00,692372,27.53,165.00,100.05
January-2012,2763.90,2895.30,2555.00,2743.35,3941842,262106,10627378231.00,1112627,28.23,340.30,-20.55
February-2012,2741.70,2990.00,2695.85,2875.40,1752324,118562,4980630340.00,587829,33.55,294.15,133.70
March-2012,2865.00,2915.35,2769.95,2864.95,1734301,85618,4943011972.00,823072,47.46,145.40,-0.05
April-2012,2865.00,2887.70,2200.00,2462.60,6073636,367470,14715754776.00,1974828,32.51,687.70,-402.40
May-2012,2466.00,2498.00,2293.10,2439.85,2463698,131391,5875726209.00,942115,38.24,204.90,-26.15
June-2012,2440.00,2544.40,2345.00,2502.55,2066903,89338,5077598891.00,1045666,50.59,199.40,62.55
July-2012,2497.00,2519.00,2101.65,2227.40,3853791,203114,8695990233.00,1631747,42.34,417.35,-269.60
August-2012,2229.00,2477.80,2186.10,2373.25,1483070,91752,3479420243.00,489183,32.98,291.70,144.25
September-2012,2371.00,2648.65,2310.00,2534.00,1506129,89602,3808078281.00,485238,32.22,338.65,163.00
October-2012,2548.10,2620.00,2307.70,2363.50,3780056,197397,9093139654.00,1334734,35.31,312.30,-184.60
November-2012,2360.00,2477.00,2278.90,2436.60,1931437,74246,4588697569.00,871902,45.14,198.10,76.60
December-2012,2442.00,2453.00,2245.10,2318.50,1518515,89535,3522039775.00,607382,40.00,207.90,-123.50
January-2013,2325.10,2835.00,2302.85,2788.75,4125812,218089,11050983056.00,1460161,35.39,532.15,463.65
February-2013,2789.00,2970.00,2740.00,2906.00,1450250,71606,4122675753.00,733753,50.59,230.00,117.00
March-2013,2890.00,3010.00,2815.00,2889.90,1247340,63708,3634541457.00,659940,52.91,195.00,-0.10
April-2013,2903.15,2995.00,2190.00,2234.45,5751022,364867,13573268648.00,1699150,29.55,805.00,-668.70
May-2013,2238.90,2431.75,2238.50,2407.60,1563351,103226,3674054709.00,719364,46.01,193.25,168.70
June-2013,2524.80,2624.90,2343.00,2493.25,1649998,132752,4076501671.00,491465,29.79,281.90,-31.55
July-2013,2460.00,2989.80,2392.85,2967.15,2750257,231123,7571477516.00,1132238,41.17,596.95,507.15
August-2013,2977.00,3128.90,2923.00,3100.30,1731022,131382,5235665701.00,878431,50.75,205.90,123.30
September-2013,3066.00,3172.70,2980.00,3015.45,1488330,101865,4539347158.00,821934,55.23,192.70,-50.55
October-2013,3022.00,3372.00,2994.00,3308.65,2835387,196148,9085762314.00,1111775,39.21,378.00,286.65
November-2013,3304.90,3447.90,3234.00,3353.50,1722220,73774,5706700767.00,1211573,70.35,213.90,48.60
December-2013,3354.00,3575.00,3310.00,3485.50,1539919,89132,5283063950.00,766672,49.79,265.00,131.50
January-2014,3491.00,3799.00,3417.30,3699.45,2124183,170410,7716958580.00,863530,40.65,381.70,208.45
February-2014,3685.00,3832.10,3540.60,3820.20,1131200,73730,4128554890.00,743645,65.74,291.50,135.20
March-2014,3823.00,3847.20,3217.00,3278.85,1553322,148147,5310358573.00,538757,34.68,630.20,-544.15
April-2014,3285.00,3371.80,3143.00,3177.20,1544090,155876,4998562433.00,868661,56.26,228.80,-107.80
May-2014,3182.50,3337.40,2894.00,2941.50,2616675,250844,7895085976.00,1469574,56.16,443.40,-241.00
June-2014,2950.00,3335.00,2950.00,3246.45,1989877,283571,6264772055.00,701866,35.27,385.00,296.45
July-2014,3246.00,3429.35,3188.20,3365.70,1268184,189218,4184581401.00,391791,30.89,241.15,119.70
August-2014,3360.00,3648.75,3332.00,3594.00,965171,134895,3420061998.00,345952,35.84,316.75,234.00
September-2014,3605.25,3792.95,3556.50,3747.65,1371037,139112,5047462707.00,681709,49.72,236.45,142.40
October-2014,3750.00,4070.00,3600.00,4051.45,2013556,250106,7712605031.00,668556,33.20,470.00,301.45
November-2014,4075.00,4399.00,4034.80,4359.25,1082469,160731,4576928180.00,396774,36.65,364.20,284.25
December-2014,4388.00,4401.00,1898.00,1971.20,7823318,308692,16131172595.00,4542076,58.06,2503.00,-2416.80
January-2015,1967.80,2222.00,1914.10,2142.75,5027583,315680,10292910321.00,2564625,51.01,307.90,174.95
February-2015,2140.00,2335.20,2103.05,2294.85,1851141,184241,4176644647.00,714517,38.60,232.15,154.85
March-2015,2300.00,2313.50,2130.00,2216.60,2303093,160082,5129611126.00,1246547,54.12,183.50,-83.40
April-2015,2209.40,2244.00,1932.65,1942.40,4363097,294903,9055567530.00,1719420,39.41,311.35,-267.00
May-2015,1961.00,2061.00,1910.00,2022.40,4304606,181304,8472856498.00,2846036,66.12,151.00,61.40
June-2015,2030.00,2063.00,968.50,985.35,3660511,138057,5181879843.00,1673269,45.71,1094.50,-1044.65
July-2015,990.00,1127.75,932.55,1078.05,5187880,199022,5371301354.00,1883530,36.31,195.20,88.05
August-2015,1080.00,1186.00,1045.00,1095.20,4063176,174928,4546301818.00,1379236,33.94,141.00,15.20
September-2015,1089.95,1165.35,1052.35,1160.45,2954461,128938,3265262758.00,1034043,35.00,113.00,70.50
October-2015,1169.90,1219.00,1087.10,1136.05,4661304,203312,5298183102.00,1681242,36.07,131.90,-33.85
November-2015,1130.00,1155.60,1012.25,1088.45,2840405,129306,3051941326.00,1131469,39.83,143.35,-41.55
December-2015,1088.50,1110.00,1023.50,1104.55,3107839,116575,3320055345.00,1127087,36.27,86.50,16.05
January-2016,1100.00,1169.70,1031.85,1164.85,4656171,172849,5205147285.00,1865482,40.06,137.85,64.85
February-2016,1170.00,1193.60,1067.00,1083.75,4550793,127359,5031908746.00,2690607,59.12,126.60,-86.25
March-2016,1098.00,1234.65,1089.00,1217.95,3844043,136336,4477084261.00,1020218,26.54,145.65,119.95
April-2016,1212.00,1267.90,1151.40,1210.85,9720735,167134,11509205326.00,7055354,72.58,116.50,-1.15
May-2016,1214.00,1270.00,1171.55,1249.85,2460696,108466,2968136419.00,1157935,47.06,98.45,35.85
June-2016,1241.00,1278.00,1156.00,1170.75,3533314,158718,4243291116.00,1607197,45.49,122.00,-70.25
July-2016,1180.00,1195.05,1056.00,1073.95,9618741,276004,10610859648.00,5682184,59.07,139.05,-106.05
August-2016,1074.00,1094.00,1009.20,1036.80,5318517,176918,5612162315.00,2794080,52.53,84.80,-37.20
September-2016,1036.00,1068.65,1024.00,1038.10,6188665,108725,6447769073.00,4549563,73.51,44.65,2.10
October-2016,1038.10,1080.70,994.00,1002.50,4603095,148407,4742809356.00,2088708,45.38,86.70,-35.60
November-2016,1009.85,1009.85,900.30,975.45,4382558,158784,4182676871.00,2073747,47.32,109.55,-34.40
December-2016,976.00,1020.95,957.90,1010.70,3696839,109798,3671052535.00,1881846,50.90,63.05,34.70
