Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2011,175.80,181.00,161.40,162.95,14648872,75008,2528559698.00,8802096,60.09,19.60,-12.85
February-2011,163.70,170.00,150.00,169.00,17673962,93866,2798780043.00,9493130,53.71,20.00,5.30
March-2011,171.15,183.00,165.50,181.45,21035731,80469,3648278420.00,11888111,56.51,17.50,10.30
April-2011,182.35,194.75,180.70,191.95,11461552,60501,2145461663.00,5655433,49.34,14.05,9.60
May-2011,193.30,193.75,177.80,193.35,14401280,90878,2712139485.00,6750200,46.87,15.95,0.05
June-2011,194.50,203.40,182.30,202.45,10832898,68204,2101243603.00,5715253,52.76,21.10,7.95
July-2011,203.45,211.35,194.40,208.30,11923732,80071,2429105225.00,6097505,51.14,16.95,4.85
August-2011,209.90,211.25,189.50,200.00,11009915,85112,2210068699.00,5062420,45.98,21.75,-9.90
September-2011,205.80,205.90,185.20,197.85,7645949,65625,1502470962.00,3328493,43.53,20.70,-7.95
October-2011,196.05,216.10,189.30,213.15,10050753,57857,2049128584.00,6353437,63.21,26.80,17.10
November-2011,210.50,215.35,189.40,200.70,12038617,57462,2443263049.00,8513565,70.72,25.95,-9.80
December-2011,204.75,208.00,192.25,201.30,15252162,52114,3083083339.00,12224289,80.15,15.75,-3.45
January-2012,203.00,211.40,197.70,203.35,7620316,63947,1561816664.00,3450371,45.28,13.70,0.35
February-2012,204.00,213.50,197.00,207.75,15412076,72872,3173004255.00,10251648,66.52,16.50,3.75
March-2012,208.00,227.75,203.60,226.85,21385115,107588,4645846416.00,11875240,55.53,24.15,18.85
April-2012,226.85,252.80,223.30,245.55,8168628,54457,1955370323.00,4381732,53.64,29.50,18.70
May-2012,246.40,247.85,224.25,230.25,9050396,73803,2123011844.00,4514131,49.88,23.60,-16.15
June-2012,230.00,259.95,225.00,258.95,6032587,59606,1473458902.00,2972394,49.27,34.95,28.95
July-2012,258.20,260.90,244.60,257.70,6247791,65798,1578124726.00,2762403,44.21,16.30,-0.50
August-2012,258.00,271.50,256.50,267.55,9017500,50612,2371608962.00,6682120,74.10,15.00,9.55
September-2012,268.50,272.50,251.10,271.90,6383364,69994,1677331360.00,3448133,54.02,21.40,3.40
October-2012,270.55,299.20,267.70,282.80,7819728,73386,2216951218.00,3267432,41.78,31.50,12.25
November-2012,282.55,299.00,273.05,298.25,4893112,51174,1396181687.00,2786093,56.94,25.95,15.70
