Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2011,201.00,203.15,185.00,188.90,4352288,48938,844595047.00,2172934,49.93,18.15,-12.10
February-2011,189.00,190.00,168.60,170.05,3930246,45742,696441123.00,1753103,44.61,21.40,-18.95
March-2011,172.50,194.90,171.05,193.00,3708698,46612,664977713.00,1592004,42.93,23.85,20.50
April-2011,193.00,193.00,180.10,181.95,3277079,38557,612371396.00,1426445,43.53,12.90,-11.05
May-2011,182.00,183.40,165.30,168.95,4868743,64323,844757539.00,1845459,37.90,18.10,-13.05
June-2011,169.65,188.40,169.20,186.85,3759261,48103,670897782.00,1393195,37.06,19.20,17.20
July-2011,186.85,192.30,175.80,176.30,5770919,37736,1068355710.00,3548182,61.48,16.50,-10.55
August-2011,175.55,181.90,162.65,169.55,4616177,39584,795338185.00,2821612,61.12,19.25,-6.00
September-2011,172.00,174.35,160.10,167.25,3651432,48744,607643001.00,1319193,36.13,14.25,-4.75
October-2011,166.70,183.35,162.25,179.35,3441171,37286,594639561.00,1520500,44.19,21.10,12.65
November-2011,178.50,181.80,152.00,162.05,3258649,34632,534139113.00,1744761,53.54,29.80,-16.45
December-2011,165.05,177.15,154.10,160.60,3784301,50424,615276280.00,1650485,43.61,23.05,-4.45
January-2012,160.30,178.70,155.35,171.85,4653457,47560,766512565.00,2266629,48.71,23.35,11.55
February-2012,172.15,190.30,170.10,180.85,3504308,40372,634725274.00,1350640,38.54,20.20,8.70
March-2012,181.90,182.35,160.20,162.70,3329966,40791,576464225.00,1615857,48.52,22.15,-19.20
April-2012,164.00,169.55,160.10,162.40,2068549,24491,342543008.00,1136857,54.96,9.45,-1.60
May-2012,162.50,163.15,138.95,146.90,5784708,49550,844959563.00,3383544,58.49,24.20,-15.60
June-2012,147.40,160.35,141.40,159.75,2978890,32434,448760913.00,1407283,47.24,18.95,12.35
July-2012,159.40,163.00,149.25,157.10,5818877,22363,892920430.00,4834428,83.08,13.75,-2.30
August-2012,157.50,174.85,156.25,168.10,12857262,30919,2079354689.00,11529037,89.67,18.60,10.60
September-2012,167.80,175.35,163.00,167.85,2956450,29034,497151998.00,1599127,54.09,12.35,0.05
October-2012,168.00,173.70,165.00,165.20,5290913,32521,894761556.00,3366049,63.62,8.70,-2.80
November-2012,165.75,170.70,157.05,162.10,3293745,25441,540674122.00,1424492,43.25,13.65,-3.65
December-2012,162.00,162.40,149.40,156.45,5686021,36542,881439338.00,3522829,61.96,13.00,-5.55
January-2013,156.45,167.25,152.20,156.60,6765758,44494,1071415208.00,4120810,60.91,15.05,0.15
February-2013,157.90,158.80,146.55,150.75,14531598,63795,2178959390.00,8763981,60.31,12.25,-7.15
March-2013,149.80,150.80,136.10,142.00,20153150,41895,2874833683.00,17726668,87.96,14.70,-7.80
April-2013,142.50,158.00,139.10,157.40,4879574,31661,714587394.00,3235375,66.30,18.90,14.90
May-2013,156.75,162.80,148.15,154.40,8179931,49276,1270130590.00,5408855,66.12,14.65,-2.35
June-2013,155.00,155.50,137.65,143.70,4700335,39266,685389063.00,2848933,60.61,17.85,-11.30
July-2013,143.00,149.00,128.10,130.60,4997491,51641,708188934.00,3257336,65.18,20.90,-12.40
August-2013,130.20,145.90,122.65,130.75,7464360,60697,996833354.00,4603851,61.68,23.25,0.55
September-2013,131.80,151.35,125.45,148.20,4470612,52989,623310702.00,2175232,48.66,25.90,16.40
October-2013,148.00,149.95,140.35,148.70,7201411,41064,1041006459.00,5419260,75.25,9.60,0.70
November-2013,148.00,157.15,145.00,147.35,4722168,61438,710933175.00,2709991,57.39,12.15,-0.65
December-2013,147.00,154.60,133.90,136.80,16717505,139482,2323655986.00,7716215,46.16,20.70,-10.20
January-2014,137.40,138.60,123.75,126.40,7817697,77624,1028890928.00,4243160,54.28,14.85,-11.00
February-2014,126.90,136.60,112.10,112.60,15476548,107522,1938775496.00,8947701,57.81,24.50,-14.30
March-2014,112.60,123.70,110.90,119.95,10486466,104730,1215276827.00,5360484,51.12,12.80,7.35
April-2014,120.20,125.85,115.50,116.25,7252241,90485,882728128.00,3742000,51.60,10.35,-3.95
May-2014,117.00,167.55,113.60,159.85,39578564,369395,5295214235.00,22343181,56.45,53.95,42.85
June-2014,160.55,168.80,150.05,155.90,20915680,243884,3341105204.00,8458316,40.44,18.75,-4.65
July-2014,156.75,163.00,142.80,145.00,18493791,187721,2783548354.00,9953535,53.82,20.20,-11.75
