Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2011,1294.00,1299.50,1101.40,1177.55,3328078,146102,3929504918.00,1446775,43.47,198.10,-116.45
February-2011,1193.40,1231.90,261.00,270.65,9625389,178811,3949549916.00,3552764,36.91,970.90,-922.75
March-2011,273.70,292.70,262.10,290.10,8753773,116961,2414361045.00,3190049,36.44,30.60,16.40
April-2011,291.00,325.50,278.90,308.90,10958664,113777,3326594664.00,6285421,57.36,46.60,17.90
May-2011,309.00,315.90,261.90,281.60,16530371,251501,4726891787.00,4509344,27.28,54.00,-27.40
June-2011,282.50,297.40,248.00,273.95,13346273,195246,3669126931.00,4562034,34.18,49.40,-8.55
July-2011,288.10,290.55,226.95,268.65,10854630,123204,3032695538.00,5067620,46.69,63.60,-19.45
August-2011,272.05,289.75,260.50,263.15,7810284,127442,2165136216.00,2464381,31.55,29.25,-8.90
September-2011,270.00,280.00,253.40,265.70,10851067,154848,2872192083.00,3645229,33.59,26.60,-4.30
October-2011,263.25,294.70,260.25,278.20,5419020,73681,1459920288.00,2040336,37.65,34.45,14.95
November-2011,276.00,288.30,241.90,265.80,6925636,100972,1819705620.00,2708243,39.10,46.40,-10.20
December-2011,271.30,277.00,245.00,256.95,5006011,78071,1298528017.00,2079045,41.53,32.00,-14.35
January-2012,259.00,282.60,253.20,275.85,6289623,90160,1691048232.00,2714480,43.16,29.40,16.85
February-2012,274.30,303.90,269.20,293.35,15004646,148440,4267311950.00,6761574,45.06,34.70,19.05
March-2012,294.95,296.50,254.10,267.30,8051652,118800,2228161898.00,3006485,37.34,42.40,-27.65
April-2012,268.00,275.75,258.00,269.70,3124227,52427,833087670.00,1078681,34.53,17.75,1.70
May-2012,271.00,271.00,240.10,253.70,4238090,73665,1074442578.00,1449889,34.21,30.90,-17.30
June-2012,252.15,285.55,244.00,284.70,3508856,63683,939324997.00,1229181,35.03,41.55,32.55
July-2012,284.80,292.55,273.40,285.80,3237524,60042,913864403.00,920038,28.42,19.15,1.00
