Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2011,1321.00,1334.30,1113.00,1148.25,9507436,288245,11460568259.00,1541656,16.22,221.30,-172.75
February-2011,1153.00,1258.00,1043.20,1081.80,14783186,448506,16821160141.00,1879787,12.72,214.80,-71.20
March-2011,1097.00,1260.00,1097.00,1247.50,8990876,278880,10453761078.00,1620983,18.03,163.00,150.50
April-2011,1244.00,1301.90,1188.50,1229.10,4488031,148871,5603311125.00,633053,14.11,113.40,-14.90
May-2011,1240.00,1243.90,1075.10,1092.50,8129852,279360,9336612121.00,1792649,22.05,168.80,-147.50
June-2011,1095.70,1097.00,925.00,993.50,9077883,294520,9057098253.00,2075078,22.86,172.00,-102.20
July-2011,1006.00,1077.00,941.75,947.40,5064329,172867,5101108638.00,1110146,21.92,135.25,-58.60
August-2011,954.00,966.75,695.00,741.70,10403186,305428,8164293797.00,2386268,22.94,271.75,-212.30
September-2011,751.00,792.40,137.65,156.10,39594376,441940,7866511397.00,9321437,23.54,654.75,-594.90
October-2011,154.30,207.90,145.40,198.45,48452466,451627,8644169079.00,11104079,22.92,62.50,44.15
November-2011,195.30,202.45,160.20,172.45,59023249,523881,10687179278.00,12412730,21.03,42.25,-22.85
December-2011,181.00,195.60,167.75,178.40,45479837,441427,8263755913.00,9797291,21.54,27.85,-2.60
January-2012,182.00,244.80,178.65,243.60,48836247,426127,10391493440.00,15441071,31.62,66.15,61.60
February-2012,244.80,292.00,240.60,270.80,51373748,470963,13525461119.00,14959753,29.12,51.40,26.00
March-2012,269.75,297.25,262.40,275.70,33381894,343171,9229848961.00,9536492,28.57,34.85,5.95
April-2012,280.00,320.60,273.85,316.75,25043607,279233,7464622585.00,7400508,29.55,46.75,36.75
May-2012,312.95,313.00,230.20,233.20,37413229,471623,10062691202.00,9168622,24.51,82.80,-79.75
June-2012,235.00,251.85,217.00,242.05,46738975,612532,11054977251.00,9296326,19.89,34.85,7.05
July-2012,239.90,248.15,202.95,225.90,31575184,372144,7255687651.00,9210579,29.17,45.20,-14.00
August-2012,224.50,249.75,216.25,233.75,29362600,354069,6960021924.00,8314102,28.32,33.50,9.25
September-2012,237.00,289.30,225.15,267.45,25896096,300492,6739985981.00,7972942,30.79,64.15,30.45
October-2012,267.30,283.65,245.35,254.65,18502941,228161,4962015308.00,5017748,27.12,38.30,-12.65
November-2012,257.00,285.50,256.20,274.25,22457418,263818,6116077420.00,5773175,25.71,29.30,17.25
December-2012,273.20,313.95,269.30,312.40,27719928,270911,8085235931.00,9543801,34.43,44.65,39.20
January-2013,314.65,337.05,282.05,298.00,27448667,273844,8698777182.00,10760652,39.20,55.00,-16.65
February-2013,298.00,312.00,270.15,287.40,18455001,208584,5430384739.00,4655179,25.22,41.85,-10.60
March-2013,288.00,311.00,265.15,269.30,18414465,213847,5342984670.00,6533141,35.48,45.85,-18.70
April-2013,268.90,300.90,252.10,299.45,16350279,202307,4435384242.00,4548959,27.82,48.80,30.55
May-2013,296.10,319.50,283.00,313.45,18131942,220928,5466580812.00,4602436,25.38,36.50,17.35
June-2013,310.00,317.40,263.10,281.45,20299421,260818,5871996545.00,7866540,38.75,54.30,-28.55
July-2013,280.00,303.10,277.15,290.55,19565956,285308,5669218129.00,7450149,38.08,25.95,10.55
August-2013,292.00,324.40,272.50,298.70,20077721,365198,5915789294.00,5821229,28.99,51.90,6.70
September-2013,296.60,354.90,292.15,332.35,20223867,308516,6732419807.00,5534150,27.36,62.75,35.75
October-2013,332.00,393.00,330.25,380.20,21660691,335507,8004544739.00,8727434,40.29,62.75,48.20
November-2013,382.50,405.00,358.00,398.60,19091152,286973,7361383942.00,7510361,39.34,47.00,16.10
December-2013,397.50,403.60,359.35,376.40,15382269,238060,5880698328.00,6359901,41.35,44.25,-21.10
January-2014,378.10,389.00,344.00,349.85,11678580,199507,4304450090.00,5222989,44.72,45.00,-28.25
February-2014,348.00,418.00,331.05,417.05,14744041,241898,5549984903.00,5497305,37.28,86.95,69.05
March-2014,413.60,420.30,379.15,398.35,8716294,159534,3465142223.00,2551230,29.27,41.15,-15.25
April-2014,403.00,437.70,399.70,414.45,7619136,178207,3184578122.00,2558324,33.58,38.00,11.45
May-2014,416.20,464.20,407.05,415.45,9194344,268136,4017122958.00,2750174,29.91,57.15,-0.75
June-2014,418.00,454.90,410.75,431.15,9137833,220927,3997412328.00,1851095,20.26,44.15,13.15
July-2014,432.00,488.05,432.00,446.90,8364340,212157,3882108517.00,2685193,32.10,56.05,14.90
August-2014,445.00,531.00,430.50,524.40,10523297,270744,5068635080.00,2516876,23.92,100.50,79.40
September-2014,526.00,544.50,491.05,502.75,9141043,224489,4709617884.00,3679930,40.26,53.45,-23.25
October-2014,502.65,537.00,468.15,535.65,5962478,190670,3004065231.00,1643900,27.57,68.85,33.00
November-2014,532.00,550.80,511.50,532.95,10827901,187613,5726276118.00,5970022,55.14,39.30,0.95
December-2014,538.50,540.00,469.00,496.10,7290215,215645,3662110251.00,2246181,30.81,71.00,-42.40
January-2015,492.60,608.40,489.40,584.95,8668754,314922,4693342919.00,2606301,30.07,119.00,92.35
February-2015,585.00,612.05,541.10,593.65,7940191,274739,4574053784.00,1739217,21.90,70.95,8.65
March-2015,598.00,600.50,518.55,549.95,6542336,240141,3645096971.00,1690631,25.84,81.95,-48.05
April-2015,550.00,573.15,506.95,508.45,7937445,212712,4297970100.00,3346704,42.16,66.20,-41.55
May-2015,513.40,530.95,463.90,481.60,11261563,209688,5669229117.00,5290827,46.98,67.05,-31.80
June-2015,482.80,483.00,418.00,434.55,15509821,196940,6823036485.00,6659577,42.94,65.00,-48.25
July-2015,436.95,447.40,366.25,384.35,17591395,249494,6979285531.00,6852595,38.95,81.15,-52.60
August-2015,385.00,395.60,304.10,340.15,28056514,293010,9942154357.00,11458826,40.84,91.50,-44.85
September-2015,335.15,359.00,279.15,298.45,64992266,274529,21108593544.00,43881615,67.52,79.85,-36.70
October-2015,300.10,396.90,291.75,384.45,18490823,262575,6653892506.00,4048779,21.90,105.15,84.35
November-2015,387.00,431.90,372.00,423.35,12876773,190994,5232802285.00,3425357,26.60,59.90,36.35
December-2015,425.50,427.10,360.50,391.25,11711334,165794,4567311122.00,2991240,25.54,66.60,-34.25
January-2016,393.80,402.90,323.35,336.70,17738047,213951,6211651474.00,6085731,34.31,79.55,-57.10
February-2016,340.00,344.60,266.00,300.25,22421111,267864,6897065367.00,7641246,34.08,78.60,-39.75
March-2016,300.30,393.50,300.30,386.30,14274415,216791,5087607521.00,3548563,24.86,93.20,86.00
April-2016,388.40,425.00,368.40,408.85,9162156,160950,3654026011.00,1855272,20.25,56.60,20.45
May-2016,410.00,463.90,376.05,458.20,18347837,268801,7431465308.00,5580188,30.41,87.85,48.20
June-2016,455.70,489.60,425.00,459.25,23047496,294472,10532192057.00,7760380,33.67,64.60,3.55
July-2016,463.00,513.50,454.00,503.00,15269479,197565,7432413773.00,5838926,38.24,59.50,40.00
August-2016,504.00,548.15,476.25,537.45,19255368,199555,9878956093.00,8424002,43.75,71.90,33.45
September-2016,540.05,598.60,517.20,534.75,19454513,189930,10876254962.00,8893937,45.72,81.40,-5.30
October-2016,542.90,571.05,510.65,532.35,9415442,130387,5144798229.00,2629170,27.92,60.40,-10.55
November-2016,533.00,549.20,443.65,459.35,13558398,201592,6667810262.00,3045830,22.46,105.55,-73.65
December-2016,458.00,478.15,429.00,471.35,10279248,144917,4722510373.00,2034780,19.80,49.15,13.35
January-2017,474.95,553.00,469.20,523.60,10130929,141189,5229743726.00,4206990,41.53,83.80,48.65
February-2017,525.55,544.80,435.00,456.15,14480959,213761,6880217446.00,5098763,35.21,109.80,-69.40
March-2017,457.50,484.30,448.00,465.95,12098007,155139,5676705742.00,4921595,40.68,36.30,8.45
April-2017,469.00,480.00,437.00,457.80,9035809,102251,4134165723.00,2867749,31.74,43.00,-11.20
May-2017,457.80,487.00,417.10,476.20,14234698,161045,6404086779.00,4190947,29.44,69.90,18.40
June-2017,477.00,485.95,428.00,432.50,93104805,134050,42199893913.00,87150363,93.60,57.95,-44.50
July-2017,433.70,468.00,426.10,444.50,10778762,141386,4842614980.00,4902233,45.48,41.90,10.80
August-2017,445.00,452.25,357.95,376.60,15060796,170330,6043575753.00,5748744,38.17,94.30,-68.40
September-2017,379.00,428.20,374.00,401.25,59388584,155712,24770001062.00,42097660,70.89,54.20,22.25
October-2017,428.25,439.90,409.95,428.55,7572208,90730,3219161261.00,2056895,27.16,29.95,0.30
November-2017,430.05,466.95,402.95,404.65,16850022,181489,7276832224.00,5037972,29.90,64.00,-25.40
December-2017,409.10,432.50,389.75,431.20,12338945,94808,5065578592.00,5515505,44.70,42.75,22.10
January-2018,432.20,443.55,395.30,399.25,11985096,111471,5058635086.00,4862191,40.57,48.25,-32.95
February-2018,401.00,403.85,357.00,370.20,13025465,148400,4895530195.00,4658624,35.77,46.85,-30.80
March-2018,367.90,376.25,324.50,327.45,12543946,117510,4350905409.00,5411557,43.14,51.75,-40.45
April-2018,335.00,372.40,326.10,340.20,14912163,156527,5188519103.00,5392274,36.16,46.30,5.20
May-2018,349.75,352.00,282.00,282.90,20860213,215049,6487028248.00,6516905,31.24,70.00,-66.85
June-2018,286.65,315.00,262.50,269.30,19914420,177682,5821298527.00,5856314,29.41,52.50,-17.35
July-2018,276.00,277.10,247.55,264.15,20149843,170148,5308844611.00,6441868,31.97,29.55,-11.85
August-2018,248.00,274.60,243.25,267.10,21224071,180044,5499053664.00,6120886,28.84,31.35,19.10
September-2018,271.70,282.00,219.65,223.45,23177759,182491,5917325192.00,7494611,32.34,62.35,-48.25
October-2018,224.30,232.75,164.55,178.65,46670998,312323,8666546016.00,13637104,29.22,68.20,-45.65
November-2018,179.20,200.75,170.50,171.95,31998212,188705,5911520931.00,8524753,26.64,30.25,-7.25
December-2018,173.70,180.45,154.70,172.60,30692434,164284,5213205413.00,7695315,25.07,25.75,-1.10
January-2019,173.70,187.55,165.40,181.25,27499616,139347,4908187978.00,6906889,25.12,22.15,7.55
February-2019,182.00,186.05,141.90,177.85,34756400,222486,5706510631.00,8578335,24.68,44.15,-4.15
March-2019,179.20,198.30,167.50,174.30,25646661,146654,4690806489.00,5768540,22.49,30.80,-4.90
April-2019,176.00,239.30,176.00,214.20,52000922,317317,11075934574.00,8226516,15.82,63.30,38.20
May-2019,212.90,213.70,167.50,172.50,38538967,247993,7123914905.00,6589988,17.10,46.20,-40.40
June-2019,170.00,177.00,152.10,162.60,22546594,137754,3702780191.00,4774415,21.18,24.90,-7.40
July-2019,163.75,172.40,132.50,135.60,35935335,201607,5532608555.00,6226767,17.33,39.90,-28.15
August-2019,135.80,136.25,106.20,116.75,60691488,267186,7232821184.00,6557464,10.80,30.05,-19.05
September-2019,111.65,138.45,106.00,117.45,76800392,288959,9523827434.00,8164636,10.63,32.45,5.80
October-2019,118.40,179.50,112.00,177.70,68291260,305015,9548346304.00,7572347,11.09,67.50,59.30
November-2019,175.10,178.75,160.00,161.45,36106751,168559,6127684575.00,4321105,11.97,18.75,-13.65
December-2019,161.00,187.90,157.45,185.10,42607212,243855,7369116330.00,4887366,11.47,30.45,24.10
January-2020,185.85,201.80,174.85,176.60,39341926,241109,7438311540.00,5291263,13.45,26.95,-9.25
February-2020,176.00,185.00,127.05,129.00,43765548,271605,7083787398.00,5728012,13.09,57.95,-47.00
