Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2011,1370.00,1413.00,1214.15,1241.20,405660,16715,548663897.00,161238,39.75,198.85,-128.80
February-2011,1250.00,1297.90,1143.00,1154.65,481057,24843,585631570.00,135443,28.16,154.90,-95.35
March-2011,1166.00,1349.55,1142.20,1330.35,617179,24715,759999659.00,220186,35.68,207.35,164.35
April-2011,1330.00,1344.70,1278.75,1303.05,384485,18989,505842897.00,131192,34.12,65.95,-26.95
May-2011,1324.90,1354.90,1175.60,1232.60,471335,32566,586613420.00,141978,30.12,179.30,-92.30
June-2011,1232.00,1318.90,1125.00,1303.60,298383,15089,373329793.00,117356,39.33,193.90,71.60
July-2011,1300.00,1330.00,1100.00,1285.50,282027,15618,366319516.00,89956,31.90,230.00,-14.50
August-2011,1290.00,1308.00,1007.00,1043.30,534339,32516,592750188.00,173212,32.42,301.00,-246.70
September-2011,1070.00,1079.00,93.50,99.70,2809225,68506,981217212.00,1013110,36.06,985.50,-970.30
October-2011,98.00,106.30,95.15,100.15,6471395,57347,651230827.00,2822375,43.61,11.15,2.15
November-2011,100.80,106.50,90.30,91.65,6354633,62189,620263157.00,2256114,35.50,16.20,-9.15
December-2011,93.70,101.00,80.65,87.25,8782359,75678,797871518.00,3294508,37.51,20.35,-6.45
January-2012,88.15,108.40,86.40,103.85,8224065,71232,812803180.00,2486614,30.24,22.00,15.70
February-2012,104.10,121.50,102.70,114.85,20857790,149922,2353097412.00,7552591,36.21,18.80,10.75
March-2012,114.95,117.25,93.05,100.85,13540168,102858,1408125745.00,5645829,41.70,24.20,-14.10
April-2012,101.20,109.25,83.00,105.50,8704012,72510,902200865.00,3400641,39.07,26.25,4.30
May-2012,106.00,106.45,85.80,93.55,8082822,74730,754438349.00,2313388,28.62,20.65,-12.45
June-2012,93.00,105.90,88.60,104.70,7732726,67177,737346545.00,2472703,31.98,17.30,11.70
July-2012,106.20,106.40,92.55,98.05,6103212,55664,610989263.00,2120551,34.74,13.85,-8.15
August-2012,98.00,103.00,95.00,99.60,6417668,48005,637158246.00,2696844,42.02,8.00,1.60
September-2012,100.00,110.55,94.05,106.95,13601585,72459,1385653469.00,7372765,54.21,16.50,6.95
October-2012,106.00,107.50,99.80,105.95,6964565,51831,727375214.00,2497227,35.86,7.70,-0.05
November-2012,105.75,108.25,96.35,107.55,5501482,37839,563544391.00,2406215,43.74,11.90,1.80
December-2012,108.00,113.20,104.20,110.35,8623498,47248,928631477.00,4684301,54.32,9.00,2.35
January-2013,110.80,112.50,100.55,101.20,10274012,37083,1098683205.00,7141804,69.51,11.95,-9.60
February-2013,101.80,103.40,92.90,94.60,9382241,38186,933469139.00,5822723,62.06,10.50,-7.20
March-2013,94.00,102.45,93.05,96.40,5062203,28534,496548870.00,2039671,40.29,9.40,2.40
April-2013,95.15,101.35,93.45,94.80,5299481,30254,507442848.00,2341484,44.18,7.90,-0.35
May-2013,94.60,95.40,87.05,89.25,6706027,38831,621791136.00,2692563,40.15,8.35,-5.35
June-2013,89.50,89.85,77.25,86.05,5661883,37926,472441756.00,1945482,34.36,12.60,-3.45
July-2013,89.20,95.15,82.00,87.95,4765419,43115,423577607.00,1531832,32.14,13.15,-1.25
August-2013,88.90,89.10,68.25,75.80,11987901,100677,907305372.00,2552958,21.30,20.85,-13.10
September-2013,77.00,85.00,69.80,81.10,10783512,90629,828995728.00,3377973,31.33,15.20,4.10
October-2013,81.60,86.00,77.60,82.05,8543459,66969,697812967.00,3235665,37.87,8.40,0.45
November-2013,81.40,85.80,76.60,79.50,8023760,59654,643949893.00,2482999,30.95,9.20,-1.90
December-2013,80.00,92.45,79.10,91.35,12852412,90673,1125640066.00,3538539,27.53,13.35,11.35
January-2014,91.00,91.80,71.45,73.95,10794951,80622,873876680.00,3965876,36.74,20.35,-17.05
February-2014,75.45,84.50,71.50,78.85,8593589,62567,672255835.00,1929366,22.45,13.00,3.40
March-2014,78.90,87.85,77.15,84.80,13435319,86739,1097226201.00,5434372,40.45,10.70,5.90
April-2014,85.00,87.85,77.40,78.05,12297373,78510,1026133103.00,4507642,36.66,10.45,-6.95
May-2014,78.90,109.45,75.85,103.85,28581152,246326,2773113367.00,10579478,37.02,33.60,24.95
June-2014,105.00,115.25,98.65,107.75,22167457,195632,2376636759.00,6090877,27.48,16.60,2.75
July-2014,107.25,112.10,97.20,97.95,15640780,156465,1649427219.00,4856247,31.05,14.90,-9.30
August-2014,97.35,97.95,86.25,86.90,10819446,114546,998482531.00,3380609,31.25,11.70,-10.45
September-2014,87.95,91.35,82.00,83.00,11318058,113033,986067578.00,3672626,32.45,9.35,-4.95
October-2014,83.25,94.30,79.80,93.75,9921089,71464,855279445.00,4837315,48.76,14.50,10.50
November-2014,94.00,94.90,85.50,93.00,7464380,70407,676895988.00,2280303,30.55,9.40,-1.00
December-2014,92.90,93.15,76.80,82.15,7794167,79008,656535414.00,2347707,30.12,16.35,-10.75
January-2015,81.85,91.50,78.20,90.55,8446902,84301,714063546.00,2889349,34.21,13.30,8.70
February-2015,91.10,92.40,78.00,86.95,13980683,125917,1195777136.00,3517901,25.16,14.40,-4.15
March-2015,85.50,88.35,73.60,77.10,7728189,81434,624331808.00,2503810,32.40,14.75,-8.40
April-2015,78.00,82.15,74.65,75.85,12038085,70021,954343892.00,2251918,18.71,7.50,-2.15
May-2015,77.50,79.80,70.55,74.75,8551773,59448,640773943.00,2572077,30.08,9.25,-2.75
June-2015,75.25,76.95,68.40,74.05,10924664,43907,792715435.00,5600433,51.26,8.55,-1.20
July-2015,74.15,76.75,67.00,68.60,8493002,34819,611514130.00,4654371,54.80,9.75,-5.55
August-2015,68.70,70.90,55.70,60.70,11058088,52914,714119820.00,4812726,43.52,15.20,-8.00
September-2015,60.55,67.45,55.55,65.05,6891581,38118,419761314.00,2126444,30.86,11.90,4.50
October-2015,64.95,72.45,64.95,68.90,6915742,32637,482275132.00,2152138,31.12,7.50,3.95
November-2015,68.80,69.90,65.65,66.85,6203179,25990,420225599.00,1519319,24.49,4.25,-1.95
December-2015,68.00,68.95,61.00,67.90,7359413,34442,478292918.00,2112008,28.70,7.95,-0.10
January-2016,68.00,70.75,59.95,60.35,6879622,31082,446761341.00,1778479,25.85,10.80,-7.65
February-2016,61.00,61.90,55.00,57.35,8574247,34954,504153565.00,2265077,26.42,6.90,-3.65
March-2016,56.70,65.05,56.70,64.65,10799756,32891,653093854.00,5191300,48.07,8.35,7.95
April-2016,64.80,72.45,60.60,70.55,20070952,63760,1340512014.00,8269978,41.20,11.85,5.75
May-2016,70.60,75.90,68.10,73.85,8970762,38306,644106665.00,2670078,29.76,7.80,3.25
June-2016,74.50,77.95,69.40,73.45,10001075,50031,741421426.00,3177948,31.78,8.55,-1.05
July-2016,74.00,75.50,69.70,72.00,6464716,37186,469067812.00,2407909,37.25,5.80,-2.00
August-2016,72.15,79.20,70.65,78.25,14913927,63192,1123998939.00,4630575,31.05,8.55,6.10
September-2016,79.90,80.35,71.80,75.30,13876339,38927,1053919078.00,7577817,54.61,8.55,-4.60
October-2016,75.45,84.45,75.45,78.15,7969610,37475,636333929.00,2930620,36.77,9.00,2.70
November-2016,78.25,79.50,67.10,73.90,6965933,45986,504170539.00,1985339,28.50,12.40,-4.35
December-2016,75.00,80.20,72.50,75.70,7932351,45419,602290049.00,2220936,28.00,7.70,0.70
January-2017,76.50,82.70,75.10,79.90,8932829,39560,701219528.00,1883694,21.09,7.60,3.40
February-2017,80.10,86.00,79.00,82.60,10364576,44403,863820382.00,3985383,38.45,7.00,2.50
March-2017,82.65,91.10,80.75,90.50,11556274,47658,988500029.00,7238088,62.63,10.35,7.85
April-2017,91.25,91.25,81.30,84.15,7754599,43224,661856921.00,2081743,26.85,9.95,-7.10
May-2017,84.00,86.40,79.50,81.00,7756324,35193,643092547.00,1880274,24.24,6.90,-3.00
June-2017,81.35,83.90,76.70,80.55,6292879,34081,505236931.00,1989732,31.62,7.20,-0.80
July-2017,80.50,84.10,79.90,81.85,5057660,25442,417932942.00,2060504,40.74,4.20,1.35
August-2017,81.85,83.55,75.90,79.10,5502989,31848,440414223.00,1788251,32.50,7.65,-2.75
September-2017,79.00,87.30,76.80,77.75,14664339,66572,1212538769.00,5305573,36.18,10.50,-1.25
October-2017,78.40,87.40,77.10,84.80,8472919,36638,698688761.00,3735918,44.09,10.30,6.40
November-2017,85.20,97.05,81.60,94.70,18704793,76142,1685445051.00,5392495,28.83,15.45,9.50
December-2017,95.00,96.20,87.15,93.85,26092510,50433,2385930477.00,11349496,43.50,9.05,-1.15
January-2018,94.05,101.75,88.20,89.10,20795983,73999,2011043937.00,5627112,27.06,13.55,-4.95
February-2018,89.20,90.85,80.00,84.60,9635186,46053,825469552.00,2729001,28.32,10.85,-4.60
March-2018,85.00,85.80,77.00,79.35,10342460,26790,831173870.00,4597591,44.45,8.80,-5.65
April-2018,78.10,88.95,78.10,88.15,5946275,24673,511969272.00,2533507,42.61,10.85,10.05
May-2018,88.55,89.50,75.15,81.20,8743425,27467,724148908.00,4554848,52.09,14.35,-7.35
June-2018,80.95,81.10,71.00,73.05,5992587,29645,457867349.00,2642901,44.10,10.10,-7.90
July-2018,73.15,74.90,66.65,74.40,8826319,35441,631045683.00,4137602,46.88,8.25,1.25
August-2018,74.50,77.40,67.00,76.60,6770832,33274,495660942.00,2259687,33.37,10.40,2.10
September-2018,77.00,78.95,65.55,65.95,8755100,41138,644729546.00,2129302,24.32,13.40,-11.05
