Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2011,684.20,713.80,612.70,637.75,31094255,545617,20326295257.00,7555149,24.30,101.10,-46.45
February-2011,637.00,661.00,575.80,605.95,37813127,658631,23563836105.00,8103501,21.43,85.20,-31.05
March-2011,611.90,636.00,577.15,620.50,26257130,506718,15895205302.00,5967872,22.73,58.85,8.60
April-2011,623.00,641.85,606.00,614.75,11115964,218257,6962762348.00,1915414,17.23,35.85,-8.25
May-2011,617.70,618.50,554.00,589.10,17977018,368252,10448066454.00,3407303,18.95,64.50,-28.60
June-2011,593.00,610.00,550.10,608.70,14642244,287414,8401153567.00,3099209,21.17,59.90,15.70
July-2011,614.20,615.90,564.10,565.10,10246508,202459,5998852166.00,2170215,21.18,51.80,-49.10
August-2011,570.10,574.85,419.10,468.55,25275117,479598,12187203872.00,7553071,29.88,155.75,-101.55
September-2011,471.80,503.80,414.20,415.25,22195932,444757,10169810748.00,5505849,24.81,89.60,-56.55
October-2011,410.00,491.80,391.10,482.95,17196679,361006,7470503429.00,3926986,22.84,100.70,72.95
November-2011,477.45,480.15,367.20,384.90,28923743,494631,11853590625.00,7941174,27.46,112.95,-92.55
December-2011,400.05,421.80,334.05,335.25,28667735,528263,10732657407.00,5291898,18.46,87.75,-64.80
January-2012,339.00,462.50,332.35,451.00,30890076,567031,12620623667.00,4644850,15.04,130.15,112.00
February-2012,452.00,500.90,432.00,471.75,32725014,616546,15369704129.00,5224200,15.96,68.90,19.75
March-2012,472.00,476.00,378.65,470.40,24700135,487765,11206552414.00,3573871,14.47,97.35,-1.60
April-2012,470.40,482.00,444.10,463.65,14703712,281885,6816598467.00,2102531,14.30,37.90,-6.75
May-2012,465.00,469.70,389.00,402.85,20978518,406929,8650834095.00,3220589,15.35,80.70,-62.15
June-2012,403.00,443.90,389.10,441.30,15139136,311614,6290230054.00,2758964,18.22,54.80,38.30
July-2012,442.60,454.90,382.15,413.60,14016152,289086,5864365581.00,3378603,24.11,72.75,-29.00
August-2012,415.00,416.70,358.30,362.50,16904844,330145,6642668134.00,4208538,24.90,58.40,-52.50
September-2012,365.25,415.00,347.55,400.75,17020331,326673,6571918309.00,4354784,25.59,67.45,35.50
October-2012,402.00,426.00,388.65,392.25,16456938,293226,6732333545.00,3777731,22.96,37.35,-9.75
November-2012,392.50,408.85,359.15,385.40,12052521,223027,4611000270.00,3617225,30.01,49.70,-7.10
December-2012,386.10,436.75,386.10,428.30,14715137,251703,6086053544.00,3539963,24.06,50.65,42.20
January-2013,431.10,448.10,397.10,404.80,15660911,268413,6592132522.00,2951734,18.85,51.00,-26.30
February-2013,405.50,411.85,338.80,342.35,14466523,265979,5435499166.00,3560070,24.61,73.05,-63.15
March-2013,341.60,362.75,300.85,312.30,14936885,267250,5034217546.00,3637535,24.35,61.90,-29.30
April-2013,314.80,325.00,292.70,302.85,17706982,295789,5410621929.00,3951713,22.32,32.30,-11.95
May-2013,304.05,326.95,290.35,291.80,19493547,313251,6060062759.00,4492248,23.04,36.60,-12.25
June-2013,292.00,302.25,261.55,273.80,15814324,305130,4425238379.00,3906379,24.70,40.70,-18.20
July-2013,274.45,286.35,202.50,215.70,20467453,411323,5018471361.00,5429033,26.53,83.85,-58.75
August-2013,217.45,289.50,195.40,274.25,35259250,691954,8796011989.00,6014660,17.06,94.10,56.80
