Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2011,1165.00,1221.00,1087.30,1157.15,3987730,149256,4657145463.00,1207942,30.29,133.70,-7.85
February-2011,1157.20,1195.95,1056.10,1112.95,3916850,150460,4394532714.00,1071504,27.36,139.85,-44.25
March-2011,1119.00,1196.50,1058.25,1182.50,4325660,150045,4796223789.00,1570960,36.32,138.25,63.50
April-2011,1183.00,1247.00,1141.15,1163.60,6222585,234106,7448919090.00,1663323,26.73,105.85,-19.40
May-2011,1165.50,1183.80,1108.15,1158.80,2855679,109458,3263166557.00,1256120,43.99,75.65,-6.70
June-2011,1158.95,1202.85,1056.60,1180.35,2845829,117170,3256845803.00,1062104,37.32,146.25,21.40
July-2011,1185.05,1204.90,1113.65,1134.45,3212450,120126,3687058624.00,1090618,33.95,91.25,-50.60
August-2011,1138.10,1149.80,902.90,1040.60,6350253,214425,6384270415.00,2389753,37.63,246.90,-97.50
September-2011,1061.00,1073.00,970.00,1037.50,4802182,194649,4918383582.00,1200223,24.99,103.00,-23.50
October-2011,1024.95,1154.90,1015.00,1114.20,5402851,197774,5787353386.00,1812557,33.55,139.90,89.25
November-2011,1100.00,1156.00,1042.00,1113.10,2998121,123726,3298256300.00,996622,33.24,114.00,13.10
December-2011,1135.00,1196.70,1114.75,1161.25,3202346,142089,3735520384.00,1032990,32.26,81.95,26.25
January-2012,1155.15,1209.80,1047.00,1130.50,4252739,189675,4743067484.00,1261969,29.67,162.80,-24.65
February-2012,1130.00,1279.20,1108.20,1221.05,2601987,116563,3162315055.00,982488,37.76,171.00,91.05
March-2012,1221.05,1230.00,1112.00,1167.85,2180648,109558,2551721918.00,792421,36.34,118.00,-53.20
April-2012,1172.50,1250.00,1046.55,1244.90,4529463,196686,5243315751.00,1213882,26.80,203.45,72.40
May-2012,1245.00,1294.80,1195.25,1245.80,3992227,145557,4941483913.00,1808007,45.29,99.55,0.80
June-2012,1235.00,1287.00,1190.00,1277.55,2325029,71252,2883102892.00,1266294,54.46,97.00,42.55
July-2012,1278.00,1285.00,1175.50,1240.65,6050386,134706,7388883750.00,3860706,63.81,109.50,-37.35
August-2012,1240.00,1378.50,1218.10,1347.30,1930023,73720,2500778316.00,825395,42.77,160.40,107.30
September-2012,1347.30,1438.00,1261.10,1294.00,2414184,107028,3245228409.00,936891,38.81,176.90,-53.30
October-2012,1298.00,1334.90,1269.95,1313.40,1915665,84554,2499017692.00,547446,28.58,64.95,15.40
November-2012,1315.00,1348.00,1257.15,1312.85,1138805,50443,1490663590.00,508560,44.66,90.85,-2.15
December-2012,1315.00,1322.00,1197.60,1258.55,2364528,82810,2958208345.00,938493,39.69,124.40,-56.45
January-2013,1268.00,1400.00,1255.00,1342.75,3123421,135159,4150853590.00,1030112,32.98,145.00,74.75
February-2013,1341.95,1520.00,1341.00,1514.75,2978109,93395,4244962503.00,1851473,62.17,179.00,172.80
March-2013,1512.20,1598.00,1490.25,1571.80,1876234,71807,2921487985.00,836287,44.57,107.75,59.60
April-2013,1558.00,1575.00,1364.00,1376.25,3260032,146483,4756936770.00,1096667,33.64,211.00,-181.75
May-2013,1375.00,1528.10,1374.00,1499.60,2090831,90443,3080791444.00,858376,41.05,154.10,124.60
June-2013,1500.00,1544.75,1382.10,1518.40,1973093,106102,2897551172.00,659893,33.44,162.65,18.40
July-2013,1508.00,1830.10,1465.25,1815.10,3459215,198011,5814895987.00,1461578,42.25,364.85,307.10
August-2013,1810.00,2040.00,1691.00,2023.15,3152017,197901,5845968214.00,1347897,42.76,349.00,213.15
September-2013,2018.00,2075.85,1895.10,1926.70,2536159,143588,5017396078.00,1071961,42.27,180.75,-91.30
October-2013,1927.00,2258.05,1911.10,2108.25,3278043,245791,6893263960.00,865224,26.39,346.95,181.25
November-2013,2110.00,2148.00,1970.10,2004.60,1490123,119722,3060506655.00,422677,28.37,177.90,-105.40
December-2013,2001.00,2183.30,1960.00,2170.95,2052348,124238,4240940830.00,782175,38.11,223.30,169.95
January-2014,2180.00,2384.20,2150.00,2236.20,2778322,211908,6292049948.00,920013,33.11,234.20,56.20
February-2014,2227.00,2277.00,2088.00,2272.80,1485563,117116,3219374936.00,525904,35.40,189.00,45.80
March-2014,2270.00,2296.90,2014.70,2128.25,3348870,164069,7157924698.00,1840590,54.96,282.20,-141.75
April-2014,2145.00,2270.00,2101.15,2189.40,1874192,194375,4093368788.00,672724,35.89,168.85,44.40
May-2014,2194.00,2253.65,2000.50,2144.20,3019206,210620,6494912099.00,1623806,53.78,253.15,-49.80
June-2014,2147.00,2427.00,2062.50,2419.45,2058687,190725,4571117481.00,674951,32.79,364.50,272.45
July-2014,2415.00,2613.35,2336.00,2577.30,1413667,178792,3494188408.00,348606,24.66,277.35,162.30
August-2014,2577.00,2588.00,2425.95,2524.60,1342004,144443,3341343394.00,530962,39.56,162.05,-52.40
September-2014,2525.00,2780.00,2515.00,2738.20,1523230,159205,4040513891.00,618002,40.57,265.00,213.20
October-2014,2749.00,2834.00,2415.65,2604.55,2510523,252007,6447161904.00,1076291,42.87,418.35,-144.45
November-2014,2645.00,2688.00,2551.00,2643.10,980896,144542,2553912388.00,376686,38.40,137.00,-1.90
December-2014,2643.00,2709.00,2348.25,2554.70,1253975,181739,3148813465.00,449156,35.82,360.75,-88.30
January-2015,2554.35,2599.05,2407.40,2481.00,2486487,207767,6255326910.00,1464377,58.89,191.65,-73.35
February-2015,2482.10,2727.00,2436.00,2675.30,1611720,200168,4158669890.00,586485,36.39,291.00,193.20
March-2015,2675.10,2810.00,2501.65,2547.05,1423069,199773,3736563832.00,447879,31.47,308.35,-128.05
April-2015,2565.00,2712.00,2402.00,2466.65,2452454,217528,6134339020.00,750624,30.61,310.00,-98.35
May-2015,2482.00,2646.95,2456.60,2610.60,2734559,128164,6908024564.00,1996279,73.00,190.35,128.60
June-2015,2610.25,2644.85,2477.00,2552.20,1116353,79795,2863794646.00,439177,39.34,167.85,-58.05
July-2015,2565.00,2646.65,2455.00,2510.00,1463153,113272,3707093157.00,594062,40.60,191.65,-55.00
August-2015,2509.90,2750.95,2485.80,2565.25,1095999,89269,2877889840.00,373202,34.05,265.15,55.35
September-2015,2567.00,2641.80,2493.90,2587.70,988569,71146,2530268671.00,442601,44.77,147.90,20.70
October-2015,2600.00,2769.00,2458.00,2497.30,1945200,127910,4954038097.00,933021,47.97,311.00,-102.70
November-2015,2497.00,2551.00,2333.00,2365.25,1240003,80626,3002038586.00,595947,48.06,218.00,-131.75
December-2015,2365.00,2464.50,2316.65,2439.20,1540410,85381,3677615778.00,788746,51.20,147.85,74.20
January-2016,2432.10,2436.35,2243.75,2391.20,1609051,100410,3718738226.00,777884,48.34,192.60,-40.90
February-2016,2392.00,2439.95,2119.00,2181.90,2318321,86524,5272622193.00,1675572,72.28,320.95,-210.10
March-2016,2182.50,2534.00,2163.50,2516.05,1087795,75429,2602677986.00,523538,48.13,370.50,333.55
April-2016,2505.05,2553.15,2404.95,2530.05,1744830,111777,4337151080.00,672762,38.56,148.20,25.00
May-2016,2530.05,2645.45,2432.00,2575.10,1263930,88646,3191311515.00,632351,50.03,213.45,45.05
June-2016,2577.90,2675.45,2455.00,2550.80,1303910,96187,3346796213.00,553475,42.45,220.45,-27.10
July-2016,2553.10,2632.00,2404.50,2618.55,1382846,114131,3444047578.00,495486,35.83,227.50,65.45
August-2016,2620.00,2740.00,2471.15,2512.55,1211478,72569,3198562213.00,558242,46.08,268.85,-107.45
September-2016,2529.00,2544.00,2287.00,2427.20,3997517,110720,9601488745.00,2962736,74.11,257.00,-101.80
October-2016,2440.00,2455.00,2298.85,2394.60,2096477,67645,4998977854.00,1402439,66.90,156.15,-45.40
November-2016,2394.00,2394.60,2054.70,2276.75,3258480,95325,7255677577.00,2213485,67.93,339.90,-117.25
December-2016,2290.00,2375.90,2151.00,2361.95,1180000,72142,2651828241.00,509294,43.16,224.90,71.95
January-2017,2365.00,2387.00,2206.55,2229.90,2200387,107088,5043979523.00,1096678,49.84,180.45,-135.10
February-2017,2224.35,2555.00,2154.30,2466.50,2671385,125884,6291895261.00,1284101,48.07,400.70,242.15
March-2017,2484.00,2584.00,2407.00,2431.10,1999462,75494,4994081705.00,1283129,64.17,177.00,-52.90
April-2017,2435.00,2448.00,2255.00,2272.10,1278563,62804,2980033944.00,551803,43.16,193.00,-162.90
May-2017,2297.00,2636.00,2271.45,2544.35,3292804,99267,8080775340.00,2322528,70.53,364.55,247.35
June-2017,2530.00,2707.40,2325.00,2364.35,2326625,96957,5809139477.00,1255028,53.94,382.40,-165.65
July-2017,2364.00,2583.70,2325.00,2494.05,1838875,96736,4475217091.00,794158,43.19,258.70,130.05
August-2017,2494.05,2547.00,2458.00,2496.75,1244780,33919,3100340936.00,642794,51.64,89.00,2.70
September-2017,2475.00,2539.70,2420.65,2437.00,1161151,32062,2882296601.00,709518,61.10,119.05,-38.00
October-2017,2435.00,2634.90,2425.00,2616.30,1354562,34100,3394131091.00,877854,64.81,209.90,181.30
November-2017,2622.00,2774.00,2581.10,2634.25,794965,41073,2145458619.00,277293,34.88,192.90,12.25
December-2017,2637.00,2711.70,2496.90,2700.40,812149,41086,2119940017.00,281227,34.63,214.80,63.40
January-2018,2689.80,3254.80,2622.70,3111.75,2171549,87343,6505736833.00,818486,37.69,632.10,421.95
February-2018,3120.00,3190.00,2894.25,3038.25,4953941,90590,14947932926.00,3795362,76.61,295.75,-81.75
March-2018,3041.00,3133.00,2782.30,2849.30,3808377,108150,11067672023.00,932579,24.49,350.70,-191.70
April-2018,2845.00,3560.00,2845.00,3531.40,3783069,155554,12353654148.00,1487518,39.32,715.00,686.40
May-2018,3533.00,3674.00,1726.10,1744.80,1755361,90867,5866401691.00,391169,22.28,1947.90,-1788.20
June-2018,1758.00,1886.20,1712.90,1847.20,7164804,199349,12988174444.00,3971682,55.43,173.30,89.20
