Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2011,492.00,494.95,425.00,438.45,4135881,93303,1918114739.00,1589853,38.44,69.95,-53.55
February-2011,438.35,459.80,407.35,438.40,3212452,81333,1392030513.00,1198137,37.30,52.45,0.05
March-2011,435.20,482.20,431.00,478.30,2652889,57728,1200722382.00,1159619,43.71,51.20,43.10
April-2011,477.50,490.15,440.00,450.25,2990230,70813,1374292564.00,1003008,33.54,50.15,-27.25
May-2011,450.30,453.50,428.00,446.65,1462614,40432,643740113.00,490256,33.52,25.50,-3.65
June-2011,446.65,450.60,384.00,417.60,1678643,47574,707524005.00,646597,38.52,66.60,-29.05
July-2011,422.05,434.80,388.55,389.95,2287511,54914,933454898.00,791122,34.58,46.25,-32.10
August-2011,391.70,397.00,310.20,335.05,3093036,68035,1067681802.00,1225525,39.62,86.80,-56.65
September-2011,343.05,359.75,312.65,340.70,3650885,73447,1242114996.00,1289641,35.32,47.10,-2.35
October-2011,337.90,386.00,324.15,366.45,2845501,58652,1013289736.00,944187,33.18,61.85,28.55
November-2011,366.00,389.00,360.10,378.15,4879303,54755,1825548442.00,2996481,61.41,28.90,12.15
December-2011,383.00,420.75,379.35,398.80,3319712,69975,1342232224.00,1140992,34.37,41.40,15.80
January-2012,399.00,424.90,383.25,413.25,2564019,54545,1049708673.00,808757,31.54,41.65,14.25
February-2012,412.55,452.50,410.00,431.75,1998194,42334,869195364.00,747805,37.42,42.50,19.20
March-2012,425.00,447.95,416.40,439.00,1584214,40260,680246378.00,523347,33.04,31.55,14.00
April-2012,439.90,450.70,400.00,405.10,2560837,63572,1074823299.00,632114,24.68,50.70,-34.80
May-2012,408.50,420.30,378.50,409.55,1695659,46856,678983876.00,544296,32.10,41.80,1.05
June-2012,410.00,414.60,387.55,399.30,1921020,32268,764858278.00,1116435,58.12,27.05,-10.70
July-2012,401.90,404.40,325.60,339.90,5990932,99627,2165750929.00,3277999,54.72,78.80,-62.00
August-2012,343.40,373.00,335.60,367.60,1665370,42843,590632321.00,668235,40.13,37.40,24.20
September-2012,368.00,395.00,358.00,381.30,1602870,38221,604471368.00,623961,38.93,37.00,13.30
October-2012,380.00,387.00,335.10,350.80,2534768,46987,892511406.00,1320055,52.08,51.90,-29.20
November-2012,351.00,395.10,348.80,392.95,3119288,65613,1149486628.00,1095747,35.13,46.30,41.95
December-2012,394.00,399.85,367.00,394.35,2462725,44996,948886570.00,1185183,48.12,32.85,0.35
January-2013,397.00,439.70,391.20,411.20,4453815,93086,1825654375.00,1539108,34.56,48.50,14.20
February-2013,410.00,425.85,385.20,416.50,1742929,39679,716881157.00,572425,32.84,40.65,6.50
March-2013,415.00,455.80,414.95,437.15,2693604,47386,1179874640.00,1296454,48.13,40.85,22.15
April-2013,438.00,462.85,327.55,347.90,8356796,128583,3281297381.00,2303646,27.57,135.30,-90.10
May-2013,348.25,361.50,315.30,326.55,3522811,49088,1208784646.00,1520214,43.15,46.20,-21.70
June-2013,332.00,351.70,319.40,349.80,4337269,57597,1487265421.00,2717862,62.66,32.30,17.80
July-2013,349.00,439.90,341.40,437.30,4309798,111849,1672164166.00,1491103,34.60,98.50,88.30
August-2013,439.70,495.00,427.50,483.90,4261264,132953,1955239651.00,1421430,33.36,67.50,44.20
September-2013,484.00,501.00,447.00,474.05,5451588,134515,2592611938.00,2611380,47.90,54.00,-9.95
October-2013,475.70,519.50,467.30,476.95,9277668,199389,4568783158.00,4210303,45.38,52.20,1.25
November-2013,477.00,497.45,465.40,470.95,4659505,89673,2244738322.00,2768951,59.43,32.05,-6.05
December-2013,471.00,561.25,466.95,559.05,3622382,93865,1885282553.00,1323550,36.54,94.30,88.05
January-2014,561.80,586.65,532.00,574.95,3293259,110975,1851906383.00,929186,28.21,54.65,13.15
February-2014,574.00,610.50,544.35,596.75,2637711,69165,1501017920.00,1389407,52.67,66.15,22.75
March-2014,595.00,599.90,528.95,542.60,2719014,88526,1523279442.00,860695,31.65,70.95,-52.40
April-2014,548.00,595.00,517.00,522.00,4784651,198781,2627508022.00,1543941,32.27,78.00,-26.00
May-2014,519.95,531.95,475.35,505.00,4474954,208215,2258636523.00,1462964,32.69,56.60,-14.95
June-2014,506.15,553.40,485.60,544.95,3895575,157069,2022852918.00,1477821,37.94,67.80,38.80
July-2014,547.00,579.80,528.00,543.65,3280855,156050,1806812243.00,996429,30.37,51.80,-3.35
August-2014,544.90,568.00,535.00,565.40,1597083,68972,878609327.00,539415,33.78,33.00,20.50
September-2014,570.00,599.20,557.00,596.35,2608886,107847,1512566783.00,863208,33.09,42.20,26.35
October-2014,598.00,621.50,548.00,563.45,3267818,120260,1906897033.00,1211714,37.08,73.50,-34.55
November-2014,566.00,589.55,548.25,585.50,2571382,105672,1451562531.00,1075842,41.84,41.30,19.50
December-2014,588.00,600.55,524.85,553.80,2312691,75550,1285862165.00,979853,42.37,75.70,-34.20
January-2015,553.00,614.00,539.15,606.30,3080980,122458,1778937008.00,1236089,40.12,74.85,53.30
February-2015,610.00,670.80,609.00,659.25,2593537,115746,1672804881.00,888350,34.25,61.80,49.25
March-2015,659.70,676.90,608.25,627.80,2092046,105900,1361246619.00,660407,31.57,68.65,-31.90
April-2015,625.35,635.70,512.55,538.55,3087583,151101,1767614319.00,1074422,34.80,123.15,-86.80
May-2015,545.00,577.00,525.75,561.60,2679084,77980,1464657265.00,1295966,48.37,51.25,16.60
June-2015,563.00,578.40,529.35,544.15,3034305,61664,1679476539.00,613590,20.22,49.05,-18.85
July-2015,546.00,594.00,540.35,569.15,3246292,66189,1840044027.00,1433309,44.15,53.65,23.15
August-2015,570.00,587.35,529.55,571.45,2055579,52594,1164638797.00,817191,39.75,57.80,1.45
September-2015,570.20,604.70,544.00,597.15,1802617,48430,1045437148.00,870631,48.30,60.70,26.95
October-2015,598.00,613.00,565.25,573.30,1467594,43244,854018280.00,373251,25.43,47.75,-24.70
November-2015,574.40,579.25,542.85,572.70,1080533,30669,611966309.00,379838,35.15,36.40,-1.70
December-2015,578.15,587.00,549.00,559.80,1590678,43296,894852382.00,807890,50.79,38.00,-18.35
January-2016,558.00,564.00,531.00,561.20,2444266,52128,1342018580.00,1226717,50.19,33.00,3.20
February-2016,562.05,573.25,508.90,519.90,1354435,38045,727039742.00,555413,41.01,64.35,-42.15
March-2016,523.25,567.00,522.50,563.35,2508616,36572,1361926856.00,1516011,60.43,44.50,40.10
