code,symbol
532921,ADANIPORTS
500820,ASIANPAINT
532215,AXISBANK
500547,BPCL
532977,BAJAJ-AUTO
532978,BAJAJFINSV
532454,BHARTIARTL
500825,BRITANNIA
500087,CIPLA
533278,COALINDIA
500096,DABUR
532488,DIVISLAB
500124,DRREDDY
505200,EICHERMOT
532424,GODREJCP
500300,GRASIM
500010,HDFC
538652,HCLTD
500180,HDFCBANK
540777,HDFCLIFE
500875,ITC
500112,SBIN
500325,RELIANCE
500570,TATAMOTORS
500400,TATAPOWER
532540,TCS
500312,ONGC
532555,NTPC
532174,ICICIBANK
507685,WIPRO
500470,TATASTEEL
500410,ACC
500440,HINDALCO
500790,NESTLEIND
500209,INFY
535789,IBULHSGFIN
540879,APOLLO
531381,ARIHANT
500043,BATAINDIA
500103,BHEL
532822,IDEA
